annotator,position,time_stamp
120,0,246.01722999999998
120,1,387.883931
120,2,220.48551
120,3,113.617834
120,4,113.05686000000001
124,0,148.894627
124,1,407.491517
124,2,1601.1468439999999
124,3,34.212068
124,4,35.645425
122,0,67.24887700000001
122,1,40.000493
122,2,54.420306999999994
122,3,135.38452
122,4,27.898109
121,0,51.054543
121,1,37.223795
121,2,13.715866
121,3,13.773288
121,4,11.071232
123,0,129.12996299999998
123,1,92.870775
123,2,161.690718
123,3,81.76668000000001
123,4,85.426823
125,0,62.566605
125,1,93.917226
125,2,77.006988
125,3,77.905666
125,4,89.256639
127,0,357.077729
127,1,209.62697
127,2,205.671951
127,3,187.502476
127,4,304.52913
126,0,186.231109
126,1,129.72693
126,2,56.112714000000004
126,3,77.514247
126,4,113.69996
129,0,2030.81041
129,1,276.677656
129,2,174.642829
129,3,217.235733
129,4,162.80173
128,0,194.610022
128,1,113.84327900000001
128,2,179.69874199999998
128,3,120.795603
128,4,114.110102
130,0,253.73002200000002
130,1,153.121907
130,2,105.322814
130,3,156.45573100000001
130,4,179.392083
131,0,108.117977
131,1,90.570176
131,2,91.946161
131,3,71.480711
131,4,68.254747
132,0,253.418912
132,1,185.79038300000002
132,2,147.440968
132,3,163.58289
132,4,72.75352600000001
134,0,68.133284
134,1,103.539893
134,2,140.705172
134,3,46.331031
134,4,55.03544599999999
136,0,146.508447
136,1,167.38038500000002
136,2,73.047978
136,3,167.656147
136,4,106.95531100000001
133,0,50.993561
133,1,28.772159999999996
133,2,42.014635999999996
133,3,30.219434999999997
133,4,25.547855
135,0,97.915351
135,1,93.03094200000001
135,2,84.313569
135,3,98.10130699999999
135,4,115.264665
137,0,236.19597000000002
137,1,61.671985
137,2,28.574178999999997
137,3,46.780946
137,4,46.618037
138,0,190.926853
138,1,360.561717
138,2,154.040047
138,3,163.411435
138,4,186.437931
139,0,307.324683
139,1,412.317497
139,2,241.95018599999997
139,3,119.452555
139,4,104.44188199999999
141,0,145.11571999999998
141,1,101.44730799999999
141,2,52.56018
141,3,64.08698000000001
141,4,31.388809000000002
140,0,75.150109
140,1,39.144232
140,2,33.106788
140,3,51.903696000000004
140,4,53.06068199999999
154,0,504.36356100000006
154,1,289.947076
154,2,250.205955
154,3,169.152576
154,4,113.22366299999999
143,0,73.820693
143,1,73.608857
143,2,78.680574
143,3,49.464690999999995
143,4,71.310827
148,0,246.52921800000001
148,1,91.606965
148,2,106.638452
148,3,132.496379
148,4,52.261398
142,0,58.592395999999994
142,1,34.251863
142,2,21.358072
142,3,27.643421999999997
142,4,31.828785999999997
156,0,604.634442
156,1,289.176087
156,2,310.539129
156,3,213.345279
156,4,379.153887
144,0,93.16601999999999
144,1,88.862577
144,2,59.62945500000001
144,3,90.033445
144,4,22.699092
145,0,87.742425
145,1,47.890392
145,2,55.80468199999999
145,3,78.090963
145,4,57.792995
151,0,129.321483
151,1,139.698887
151,2,108.639297
151,3,101.593917
151,4,95.151084
146,0,93.354515
146,1,43.739775
146,2,29.628177
146,3,54.27849200000001
146,4,46.478271
147,0,73.867738
147,1,69.201357
147,2,49.771384999999995
147,3,54.040293000000005
147,4,56.124455000000005
153,0,373.454831
153,1,91.74714399999999
153,2,62.389386
153,3,97.175851
153,4,96.693591
150,0,118.19560700000001
150,1,180.66215400000002
150,2,68.73249100000001
150,3,80.561699
150,4,80.33595
149,0,110.684628
149,1,58.34168100000001
149,2,56.299001000000004
149,3,53.839507999999995
149,4,67.051152
155,0,273.162689
155,1,163.302666
