,,p_value
__REFERENCE__,abssentrw,0.4537557
BART,__REFERENCE__,1.219236e-06
onmt_pg,__REFERENCE__,0.01073838
__REFERENCE__,seneca,1.962199e-07
abssentrw,BART,0.0628384
onmt_pg,abssentrw,0.03891599
abssentrw,seneca,0.3468932
BART,onmt_pg,0.2738249
BART,seneca,5.72796e-19
onmt_pg,seneca,7.02717e-06
__REFERENCE__,abssentrw,0.7026794
BART,__REFERENCE__,1.577898e-06
onmt_pg,__REFERENCE__,1.533492e-06
__REFERENCE__,seneca,0.05999195
BART,abssentrw,5.405001e-06
onmt_pg,abssentrw,0.0008760114
abssentrw,seneca,0.2681956
BART,onmt_pg,0.1297092
BART,seneca,4.656525e-07
onmt_pg,seneca,0.001457485
__REFERENCE__,abssentrw,0.0004036179
BART,__REFERENCE__,2.06197e-07
__REFERENCE__,onmt_pg,0.1035409
__REFERENCE__,seneca,2.673732e-09
BART,abssentrw,1.367009e-18
onmt_pg,abssentrw,1.645311e-08
abssentrw,seneca,0.7733047
BART,onmt_pg,2.924825e-05
BART,seneca,5.932775e-19
onmt_pg,seneca,9.784405e-10
__REFERENCE__,abssentrw,0.0002626622
BART,__REFERENCE__,1.017753e-05
onmt_pg,__REFERENCE__,0.01770037
__REFERENCE__,seneca,0.09112685
BART,abssentrw,1.291093e-13
onmt_pg,abssentrw,1.159356e-07
abssentrw,seneca,0.9984614
BART,onmt_pg,0.0002919592
BART,seneca,3.814322e-12
onmt_pg,seneca,0.006774943
__REFERENCE__,abssentrw,0.5213179
BART,__REFERENCE__,5.539891e-16
onmt_pg,__REFERENCE__,7.841827e-05
__REFERENCE__,seneca,0.1204596
BART,abssentrw,2.488992e-05
onmt_pg,abssentrw,0.0279348
abssentrw,seneca,0.1627179
BART,onmt_pg,1.120965e-06
BART,seneca,1.096167e-14
onmt_pg,seneca,6.360141e-05
abssentrw,__REFERENCE__,0.001215201
BART,__REFERENCE__,1.420512e-05
onmt_pg,__REFERENCE__,3.068557e-06
__REFERENCE__,seneca,1.076607e-07
BART,abssentrw,0.04494895
abssentrw,onmt_pg,0.07743389
abssentrw,seneca,3.025095e-13
BART,onmt_pg,0.9830774
BART,seneca,1.498222e-39
onmt_pg,seneca,9.894803e-17
__REFERENCE__,abssentrw,0.02215908
BART,__REFERENCE__,0.0002784564
__REFERENCE__,onmt_pg,0.2980757
__REFERENCE__,seneca,3.027211e-05
BART,abssentrw,0.0001758679
onmt_pg,abssentrw,0.00109037
abssentrw,seneca,0.6776058
BART,onmt_pg,0.001623489
BART,seneca,4.266965e-16
onmt_pg,seneca,3.169189e-05
__REFERENCE__,abssentrw,0.2299227
BART,__REFERENCE__,7.337364e-05
