,,p_value
__REFERENCE__,abssentrw,0.5482745
BART,__REFERENCE__,1.899995e-06
onmt_pg,__REFERENCE__,5.926841e-05
__REFERENCE__,seneca,0.009083658
BART,abssentrw,6.475864e-06
onmt_pg,abssentrw,0.000359483
abssentrw,seneca,0.09018731
BART,onmt_pg,0.1808939
BART,seneca,6.364247e-13
onmt_pg,seneca,6.180944e-10
__REFERENCE__,abssentrw,0.2108223
BART,__REFERENCE__,1.565647e-05
onmt_pg,__REFERENCE__,0.0004190783
__REFERENCE__,seneca,0.03355054
BART,abssentrw,0.003847619
onmt_pg,abssentrw,0.02994951
abssentrw,seneca,0.00828785
BART,onmt_pg,0.1991915
BART,seneca,2.154912e-13
onmt_pg,seneca,1.756702e-06
__REFERENCE__,abssentrw,0.3857041
BART,__REFERENCE__,0.000317758
onmt_pg,__REFERENCE__,0.02410266
__REFERENCE__,seneca,1.428988e-07
BART,abssentrw,0.0001588448
onmt_pg,abssentrw,0.01078057
abssentrw,seneca,6.726251e-05
BART,onmt_pg,0.06910168
BART,seneca,4.929327e-18
onmt_pg,seneca,3.008576e-11
__REFERENCE__,abssentrw,0.1706659
BART,__REFERENCE__,1.113021e-06
onmt_pg,__REFERENCE__,0.007209526
__REFERENCE__,seneca,0.01164044
BART,abssentrw,7.758433e-10
onmt_pg,abssentrw,6.432146e-05
abssentrw,seneca,0.3418294
BART,onmt_pg,0.004083047
BART,seneca,6.205869e-13
onmt_pg,seneca,1.245324e-07
__REFERENCE__,abssentrw,0.9889416
BART,__REFERENCE__,4.647512e-06
onmt_pg,__REFERENCE__,0.0004960982
__REFERENCE__,seneca,3.87919e-06
BART,abssentrw,1.695961e-05
onmt_pg,abssentrw,0.000251551
abssentrw,seneca,1.173583e-07
BART,onmt_pg,0.05038899
BART,seneca,1.449738e-13
onmt_pg,seneca,1.92627e-17
__REFERENCE__,abssentrw,0.8545025
__REFERENCE__,BART,0.1360523
onmt_pg,__REFERENCE__,0.01423671
__REFERENCE__,seneca,1.243463e-05
abssentrw,BART,0.1267305
onmt_pg,abssentrw,0.02336711
abssentrw,seneca,4.184567e-05
BART,onmt_pg,0.7083809
BART,seneca,1.343882e-05
onmt_pg,seneca,1.979884e-10
__REFERENCE__,abssentrw,0.8841316
BART,__REFERENCE__,2.649744e-06
onmt_pg,__REFERENCE__,0.003457864
__REFERENCE__,seneca,0.5633444
BART,abssentrw,2.21814e-05
onmt_pg,abssentrw,0.002793033
abssentrw,seneca,0.5173134
BART,onmt_pg,0.0202829
BART,seneca,1.504826e-06
onmt_pg,seneca,0.008284653
__REFERENCE__,abssentrw,0.01345092
BART,__REFERENCE__,0.001059049
__REFERENCE__,onmt_pg,0.0772342
__REFERENCE__,seneca,1.222027e-05
BART,abssentrw,1.064233e-08
onmt_pg,abssentrw,5.968873e-05
abssentrw,seneca,0.004779104
BART,onmt_pg,0.02332373
BART,seneca,2.152612e-18
onmt_pg,seneca,4.049018e-14
__REFERENCE__,abssentrw,0.3068462
BART,__REFERENCE__,3.096425e-10
onmt_pg,__REFERENCE__,0.0006788025
__REFERENCE__,seneca,0.01008096
BART,abssentrw,1.97102e-13
onmt_pg,abssentrw,3.123602e-06
abssentrw,seneca,0.09900135
BART,onmt_pg,0.00458176
BART,seneca,1.646408e-18
onmt_pg,seneca,2.790813e-09
__REFERENCE__,abssentrw,0.5077202
BART,__REFERENCE__,5.68716e-10
onmt_pg,__REFERENCE__,0.0001783894
__REFERENCE__,seneca,0.0482231
BART,abssentrw,9.253543e-08
onmt_pg,abssentrw,0.001829507
abssentrw,seneca,0.02275509
BART,onmt_pg,0.0006327203
BART,seneca,2.629637e-15
onmt_pg,seneca,2.23701e-07
__REFERENCE__,abssentrw,0.2407127
BART,__REFERENCE__,5.655332e-06
onmt_pg,__REFERENCE__,0.001677909
__REFERENCE__,seneca,5.88587e-06
BART,abssentrw,9.991824e-09
onmt_pg,abssentrw,2.871185e-05
abssentrw,seneca,0.0007456159
BART,onmt_pg,0.04510245
BART,seneca,2.756837e-22
onmt_pg,seneca,2.557951e-19
__REFERENCE__,abssentrw,0.04413385
BART,__REFERENCE__,2.467024e-05
onmt_pg,__REFERENCE__,0.008175618
__REFERENCE__,seneca,0.007155473
BART,abssentrw,9.669117e-11
onmt_pg,abssentrw,1.424507e-06
abssentrw,seneca,0.473488
BART,onmt_pg,0.03171288
BART,seneca,4.77457e-13
onmt_pg,seneca,3.669449e-06
__REFERENCE__,abssentrw,0.02165401
BART,__REFERENCE__,7.856251e-06
onmt_pg,__REFERENCE__,0.003329046
__REFERENCE__,seneca,0.000507096
BART,abssentrw,6.523808e-11
onmt_pg,abssentrw,2.914229e-09
abssentrw,seneca,0.285263
BART,onmt_pg,0.02166311
BART,seneca,7.921378e-15
onmt_pg,seneca,4.914585e-10
__REFERENCE__,abssentrw,0.9674536
BART,__REFERENCE__,3.096086e-05
onmt_pg,__REFERENCE__,0.02769387
__REFERENCE__,seneca,1.389207e-07
BART,abssentrw,0.0003525211
abssentrw,onmt_pg,0.07173863
abssentrw,seneca,6.787331e-06
BART,onmt_pg,0.06373266
BART,seneca,8.674831e-21
onmt_pg,seneca,1.461477e-15
__REFERENCE__,abssentrw,0.5737323
BART,__REFERENCE__,1.256464e-05
__REFERENCE__,onmt_pg,0.05709457
__REFERENCE__,seneca,1.12359e-07
BART,abssentrw,1.982697e-07
onmt_pg,abssentrw,0.04078726
abssentrw,seneca,4.778111e-05
BART,onmt_pg,0.0003791841
BART,seneca,7.614208e-23
onmt_pg,seneca,1.59683e-12
__REFERENCE__,abssentrw,0.5828067
BART,__REFERENCE__,2.142655e-06
onmt_pg,__REFERENCE__,0.04653334
__REFERENCE__,seneca,4.948922e-09
BART,abssentrw,9.436758e-06
onmt_pg,abssentrw,0.01346485
abssentrw,seneca,3.458326e-06
BART,onmt_pg,0.01532412
BART,seneca,1.202372e-21
onmt_pg,seneca,5.28894e-13
__REFERENCE__,abssentrw,0.9213646
BART,__REFERENCE__,2.666949e-10
onmt_pg,__REFERENCE__,0.001902607
__REFERENCE__,seneca,5.79383e-05
BART,abssentrw,1.158063e-06
onmt_pg,abssentrw,0.00281335
abssentrw,seneca,0.0008157487
BART,onmt_pg,0.001345195
BART,seneca,1.75331e-18
onmt_pg,seneca,1.700549e-10
__REFERENCE__,abssentrw,0.5394025
BART,__REFERENCE__,1.734439e-13
onmt_pg,__REFERENCE__,7.398768e-07
__REFERENCE__,seneca,0.1195787
BART,abssentrw,4.882276e-11
onmt_pg,abssentrw,6.774543e-06
abssentrw,seneca,0.0926171
BART,onmt_pg,0.001897516
BART,seneca,1.740611e-17
onmt_pg,seneca,2.004182e-07
__REFERENCE__,abssentrw,0.6470659
BART,__REFERENCE__,0.0004689057
onmt_pg,__REFERENCE__,0.03959865
__REFERENCE__,seneca,1.119571e-06
BART,abssentrw,7.640851e-05
onmt_pg,abssentrw,0.02260218
abssentrw,seneca,0.0002025646
BART,onmt_pg,0.02974678
BART,seneca,6.949462e-18
onmt_pg,seneca,1.047014e-10
__REFERENCE__,abssentrw,0.2347254
BART,__REFERENCE__,8.173243e-12
onmt_pg,__REFERENCE__,0.001322725
__REFERENCE__,seneca,3.1768e-06
BART,abssentrw,1.808155e-13
onmt_pg,abssentrw,3.751616e-06
abssentrw,seneca,0.00125891
BART,onmt_pg,0.00147701
BART,seneca,1.13375e-19
onmt_pg,seneca,7.314592e-11
__REFERENCE__,abssentrw,0.6960193
BART,__REFERENCE__,2.855032e-06
onmt_pg,__REFERENCE__,0.0009638063
__REFERENCE__,seneca,7.25011e-06
BART,abssentrw,1.3012e-05
onmt_pg,abssentrw,0.001513015
abssentrw,seneca,0.0002925759
BART,onmt_pg,0.04748878
BART,seneca,6.187344e-17
onmt_pg,seneca,2.90535e-13
__REFERENCE__,abssentrw,0.03476892
BART,__REFERENCE__,0.0003300422
__REFERENCE__,onmt_pg,0.1955677
__REFERENCE__,seneca,1.280705e-05
BART,abssentrw,3.951177e-07
onmt_pg,abssentrw,0.00211085
abssentrw,seneca,0.02693842
BART,onmt_pg,0.01932239
BART,seneca,4.369915e-12
onmt_pg,seneca,6.535612e-06
__REFERENCE__,abssentrw,0.02212262
BART,__REFERENCE__,2.711985e-09
onmt_pg,__REFERENCE__,0.0291897
__REFERENCE__,seneca,2.079969e-06
BART,abssentrw,5.504599e-14
onmt_pg,abssentrw,5.281566e-06
abssentrw,seneca,0.03582871
BART,onmt_pg,0.0005114516
BART,seneca,1.523055e-21
onmt_pg,seneca,4.300452e-09
__REFERENCE__,abssentrw,0.1347076
BART,__REFERENCE__,1.309495e-05
onmt_pg,__REFERENCE__,0.002603677
__REFERENCE__,seneca,0.01352232
BART,abssentrw,1.293717e-10
onmt_pg,abssentrw,8.17721e-08
abssentrw,seneca,0.2355958
BART,onmt_pg,0.02474139
BART,seneca,1.727355e-12
onmt_pg,seneca,1.409404e-10
__REFERENCE__,abssentrw,0.7397537
BART,__REFERENCE__,9.107851e-07
onmt_pg,__REFERENCE__,0.0043461
__REFERENCE__,seneca,0.0009536691
BART,abssentrw,2.640804e-08
onmt_pg,abssentrw,0.002240258
abssentrw,seneca,0.02389761
BART,onmt_pg,0.002654271
BART,seneca,2.561931e-12
onmt_pg,seneca,4.8574e-07
__REFERENCE__,abssentrw,0.2532876
BART,__REFERENCE__,2.864596e-06
onmt_pg,__REFERENCE__,0.002113238
__REFERENCE__,seneca,0.00471648
BART,abssentrw,7.832983e-10
onmt_pg,abssentrw,4.691473e-06
abssentrw,seneca,0.1057588
BART,onmt_pg,0.03217036
BART,seneca,4.68698e-13
onmt_pg,seneca,2.390645e-07
__REFERENCE__,abssentrw,0.09724823
BART,__REFERENCE__,4.488318e-06
onmt_pg,__REFERENCE__,0.01768341
__REFERENCE__,seneca,3.393288e-06
BART,abssentrw,4.713957e-09
onmt_pg,abssentrw,0.0001553271
abssentrw,seneca,0.01525401
BART,onmt_pg,0.04892049
BART,seneca,6.778829e-17
onmt_pg,seneca,3.039273e-08
__REFERENCE__,abssentrw,0.9828274
BART,__REFERENCE__,9.815634e-06
onmt_pg,__REFERENCE__,0.003277431
__REFERENCE__,seneca,4.200055e-10
BART,abssentrw,0.0002344516
onmt_pg,abssentrw,0.01609918
abssentrw,seneca,2.962186e-07
BART,onmt_pg,0.04881679
BART,seneca,2.632257e-24
onmt_pg,seneca,4.38765e-17
__REFERENCE__,abssentrw,0.6315863
BART,__REFERENCE__,5.140068e-07
onmt_pg,__REFERENCE__,2.897569e-05
__REFERENCE__,seneca,1.655602e-06
BART,abssentrw,8.258002e-07
onmt_pg,abssentrw,1.526929e-05
abssentrw,seneca,1.851341e-06
BART,onmt_pg,0.3177794
BART,seneca,1.977211e-23
onmt_pg,seneca,2.64375e-16
__REFERENCE__,abssentrw,0.001758972
BART,__REFERENCE__,0.001519907
onmt_pg,__REFERENCE__,0.009808177
__REFERENCE__,seneca,7.453623e-05
BART,abssentrw,9.520829e-09
onmt_pg,abssentrw,7.871164e-08
abssentrw,seneca,0.1971727
BART,onmt_pg,0.3927846
BART,seneca,7.132949e-12
onmt_pg,seneca,1.427438e-08
__REFERENCE__,abssentrw,0.03823703
BART,__REFERENCE__,8.865606e-05
__REFERENCE__,onmt_pg,0.3430245
__REFERENCE__,seneca,0.0008271018
BART,abssentrw,1.27138e-06
onmt_pg,abssentrw,0.00545829
abssentrw,seneca,0.06091318
BART,onmt_pg,0.003456725
BART,seneca,4.225675e-11
onmt_pg,seneca,8.719845e-06
__REFERENCE__,abssentrw,0.4375159
BART,__REFERENCE__,2.726434e-06
onmt_pg,__REFERENCE__,0.006521391
__REFERENCE__,seneca,0.002937697
BART,abssentrw,2.31179e-06
onmt_pg,abssentrw,0.002585359
abssentrw,seneca,0.05763779
BART,onmt_pg,0.009009373
BART,seneca,2.341433e-11
onmt_pg,seneca,2.407601e-08
__REFERENCE__,abssentrw,0.08428295
BART,__REFERENCE__,6.06976e-05
onmt_pg,__REFERENCE__,0.006992857
__REFERENCE__,seneca,1.989289e-11
BART,abssentrw,1.158883e-08
onmt_pg,abssentrw,5.040545e-05
abssentrw,seneca,1.593352e-05
BART,onmt_pg,0.006500956
BART,seneca,1.99186e-22
onmt_pg,seneca,5.136662e-21
__REFERENCE__,abssentrw,0.1623691
BART,__REFERENCE__,1.108128e-05
onmt_pg,__REFERENCE__,0.01509649
__REFERENCE__,seneca,3.250501e-08
BART,abssentrw,7.359965e-08
onmt_pg,abssentrw,0.000186239
abssentrw,seneca,6.978463e-06
BART,onmt_pg,0.06937663
BART,seneca,2.471268e-23
onmt_pg,seneca,3.203316e-19
__REFERENCE__,abssentrw,0.2963314
BART,__REFERENCE__,2.304582e-05
onmt_pg,__REFERENCE__,0.004849928
__REFERENCE__,seneca,2.664967e-06
BART,abssentrw,5.519604e-07
onmt_pg,abssentrw,1.28677e-05
abssentrw,seneca,1.675874e-05
BART,onmt_pg,0.3437156
BART,seneca,1.559545e-17
onmt_pg,seneca,3.741795e-17
__REFERENCE__,abssentrw,0.5514321
BART,__REFERENCE__,1.50674e-05
onmt_pg,__REFERENCE__,0.01767345
__REFERENCE__,seneca,0.0006099045
BART,abssentrw,4.420572e-07
onmt_pg,abssentrw,0.004424729
abssentrw,seneca,0.002689765
BART,onmt_pg,0.001248378
BART,seneca,2.140028e-15
onmt_pg,seneca,3.661476e-09
__REFERENCE__,abssentrw,0.7863044
BART,__REFERENCE__,2.158776e-07
onmt_pg,__REFERENCE__,0.0004591701
__REFERENCE__,seneca,3.045153e-06
BART,abssentrw,4.038954e-07
onmt_pg,abssentrw,0.004929998
abssentrw,seneca,4.858467e-07
BART,onmt_pg,0.01457528
BART,seneca,8.969263e-18
onmt_pg,seneca,2.559872e-14
__REFERENCE__,abssentrw,0.8405579
BART,__REFERENCE__,2.440726e-06
onmt_pg,__REFERENCE__,0.006923467
__REFERENCE__,seneca,8.655882e-06
BART,abssentrw,8.479881e-07
onmt_pg,abssentrw,0.001830385
abssentrw,seneca,9.915011e-07
BART,onmt_pg,0.002624634
BART,seneca,1.199103e-17
onmt_pg,seneca,5.501232e-16
__REFERENCE__,abssentrw,0.1039627
BART,__REFERENCE__,0.003711499
__REFERENCE__,onmt_pg,0.2948229
__REFERENCE__,seneca,7.697191e-06
BART,abssentrw,0.000129468
onmt_pg,abssentrw,0.003389382
abssentrw,seneca,0.009764151
BART,onmt_pg,0.05979027
BART,seneca,4.385371e-11
onmt_pg,seneca,4.925786e-07
__REFERENCE__,abssentrw,0.6342043
BART,__REFERENCE__,5.797047e-06
onmt_pg,__REFERENCE__,0.006418773
__REFERENCE__,seneca,2.048503e-05
BART,abssentrw,1.27847e-07
onmt_pg,abssentrw,0.001429565
abssentrw,seneca,0.0007862602
BART,onmt_pg,0.006693107
BART,seneca,1.622578e-22
onmt_pg,seneca,1.766422e-14
__REFERENCE__,abssentrw,0.2154331
BART,__REFERENCE__,3.590032e-05
onmt_pg,__REFERENCE__,0.02492749
__REFERENCE__,seneca,0.0004479564
BART,abssentrw,1.669086e-06
onmt_pg,abssentrw,0.0001631381
abssentrw,seneca,0.008888676
BART,onmt_pg,0.02542341
BART,seneca,1.465881e-15
onmt_pg,seneca,1.216982e-10
__REFERENCE__,abssentrw,0.1255833
BART,__REFERENCE__,7.097765e-05
onmt_pg,__REFERENCE__,0.008454151
__REFERENCE__,seneca,0.004208471
BART,abssentrw,1.294942e-08
onmt_pg,abssentrw,7.941234e-06
abssentrw,seneca,0.1110212
BART,onmt_pg,0.03495011
BART,seneca,1.518748e-12
onmt_pg,seneca,3.871239e-10
__REFERENCE__,abssentrw,0.4707656
BART,__REFERENCE__,6.09458e-08
onmt_pg,__REFERENCE__,0.001788569
__REFERENCE__,seneca,0.001534279
BART,abssentrw,6.871341e-06
onmt_pg,abssentrw,0.02525328
abssentrw,seneca,0.001319053
BART,onmt_pg,0.002543215
BART,seneca,4.088339e-13
onmt_pg,seneca,5.172124e-07
__REFERENCE__,abssentrw,0.52978
BART,__REFERENCE__,3.323436e-08
onmt_pg,__REFERENCE__,0.003957309
__REFERENCE__,seneca,0.0001568637
BART,abssentrw,7.14555e-07
onmt_pg,abssentrw,0.001378801
abssentrw,seneca,0.01019536
BART,onmt_pg,0.01106372
BART,seneca,1.462426e-13
onmt_pg,seneca,4.651228e-09
__REFERENCE__,abssentrw,0.05461626
BART,__REFERENCE__,1.074509e-07
onmt_pg,__REFERENCE__,0.02901207
__REFERENCE__,seneca,0.0004927821
BART,abssentrw,5.84944e-11
onmt_pg,abssentrw,1.571018e-05
abssentrw,seneca,0.1122774
BART,onmt_pg,0.0001361826
BART,seneca,2.135968e-15
onmt_pg,seneca,3.877198e-08
__REFERENCE__,abssentrw,0.3143742
BART,__REFERENCE__,1.051529e-05
onmt_pg,__REFERENCE__,0.001268244
__REFERENCE__,seneca,0.0002872041
BART,abssentrw,1.920825e-08
onmt_pg,abssentrw,5.376044e-05
abssentrw,seneca,0.01043806
BART,onmt_pg,0.07474692
BART,seneca,8.177712e-14
onmt_pg,seneca,3.468005e-11
__REFERENCE__,abssentrw,0.7224823
BART,__REFERENCE__,2.117571e-10
onmt_pg,__REFERENCE__,0.0009926143
__REFERENCE__,seneca,0.0003158521
BART,abssentrw,3.221696e-05
onmt_pg,abssentrw,0.03255905
abssentrw,seneca,0.0003172558
BART,onmt_pg,0.000176647
BART,seneca,4.414503e-13
onmt_pg,seneca,4.623805e-09
__REFERENCE__,abssentrw,0.0998245
BART,__REFERENCE__,0.002187831
__REFERENCE__,onmt_pg,0.3016873
__REFERENCE__,seneca,3.674829e-08
BART,abssentrw,5.839046e-05
onmt_pg,abssentrw,0.01278616
abssentrw,seneca,2.77005e-05
BART,onmt_pg,0.02398671
BART,seneca,2.801019e-13
onmt_pg,seneca,7.237935e-12
__REFERENCE__,abssentrw,0.01017516
BART,__REFERENCE__,3.81623e-06
__REFERENCE__,onmt_pg,0.09464026
__REFERENCE__,seneca,8.421947e-05
BART,abssentrw,2.163839e-09
onmt_pg,abssentrw,4.534763e-06
abssentrw,seneca,0.2979621
BART,onmt_pg,0.007515198
BART,seneca,6.971636e-17
onmt_pg,seneca,1.285931e-09
__REFERENCE__,abssentrw,0.3726596
BART,__REFERENCE__,9.397887e-05
onmt_pg,__REFERENCE__,0.02831563
__REFERENCE__,seneca,2.14422e-05
BART,abssentrw,3.093781e-06
onmt_pg,abssentrw,0.005553322
abssentrw,seneca,0.00416086
BART,onmt_pg,0.08541612
BART,seneca,7.719298e-14
onmt_pg,seneca,2.603115e-09
__REFERENCE__,abssentrw,0.6752985
BART,__REFERENCE__,4.288818e-06
onmt_pg,__REFERENCE__,0.0169193
__REFERENCE__,seneca,0.0001540742
BART,abssentrw,7.807514e-08
onmt_pg,abssentrw,0.0004194349
abssentrw,seneca,0.0005877242
BART,onmt_pg,0.01347249
BART,seneca,3.114285e-13
onmt_pg,seneca,5.476485e-08
__REFERENCE__,abssentrw,0.335352
BART,__REFERENCE__,1.024817e-06
onmt_pg,__REFERENCE__,0.01898962
__REFERENCE__,seneca,0.01920197
BART,abssentrw,4.800631e-07
onmt_pg,abssentrw,0.002853318
abssentrw,seneca,0.1511697
BART,onmt_pg,0.0005602606
BART,seneca,2.218009e-11
onmt_pg,seneca,3.915326e-06
__REFERENCE__,abssentrw,0.09159403
BART,__REFERENCE__,7.215775e-07
onmt_pg,__REFERENCE__,0.007194939
__REFERENCE__,seneca,0.02186546
BART,abssentrw,0.0005941057
abssentrw,onmt_pg,0.431744
abssentrw,seneca,0.001370923
BART,onmt_pg,0.0006848105
BART,seneca,2.214752e-10
onmt_pg,seneca,7.203679e-05
__REFERENCE__,abssentrw,0.008932172
BART,__REFERENCE__,0.0001580391
__REFERENCE__,onmt_pg,0.5142011
__REFERENCE__,seneca,6.508745e-05
BART,abssentrw,1.03956e-07
onmt_pg,abssentrw,0.007261477
abssentrw,seneca,0.02948658
BART,onmt_pg,0.0009176152
BART,seneca,1.771556e-14
onmt_pg,seneca,7.165736e-06
__REFERENCE__,abssentrw,0.6686058
BART,__REFERENCE__,1.304979e-09
onmt_pg,__REFERENCE__,2.913209e-05
__REFERENCE__,seneca,0.0402706
BART,abssentrw,8.248967e-08
onmt_pg,abssentrw,5.748791e-06
abssentrw,seneca,0.1841651
BART,onmt_pg,0.01916968
BART,seneca,1.218119e-14
onmt_pg,seneca,3.446253e-08
__REFERENCE__,abssentrw,0.001341028
