,,p_value
__REFERENCE__,abssentrw,3.515067e-06
__REFERENCE__,BART,0.1184088
__REFERENCE__,onmt_pg,0.05394919
__REFERENCE__,seneca,2.711291e-06
BART,abssentrw,0.02325833
onmt_pg,abssentrw,0.002284263
abssentrw,seneca,0.6478581
BART,onmt_pg,0.8301466
BART,seneca,0.006510531
onmt_pg,seneca,0.0005760735
__REFERENCE__,abssentrw,1.26916e-08
__REFERENCE__,BART,0.04963305
__REFERENCE__,onmt_pg,0.1158218
__REFERENCE__,seneca,4.632218e-07
BART,abssentrw,4.663753e-06
onmt_pg,abssentrw,2.5734e-05
abssentrw,seneca,0.1350583
BART,onmt_pg,0.9358246
BART,seneca,0.0001429281
onmt_pg,seneca,6.923924e-05
__REFERENCE__,abssentrw,5.434646e-10
__REFERENCE__,BART,0.009001805
__REFERENCE__,onmt_pg,6.433387e-05
__REFERENCE__,seneca,2.508584e-08
BART,abssentrw,2.644485e-06
onmt_pg,abssentrw,0.0003888583
abssentrw,seneca,0.1121782
BART,onmt_pg,0.08775861
BART,seneca,0.0002776854
onmt_pg,seneca,0.008997692
__REFERENCE__,abssentrw,4.331852e-10
__REFERENCE__,BART,0.4017106
__REFERENCE__,onmt_pg,0.01106983
__REFERENCE__,seneca,2.02338e-08
BART,abssentrw,3.04241e-08
onmt_pg,abssentrw,7.193662e-07
seneca,abssentrw,0.02511347
BART,onmt_pg,0.08063131
BART,seneca,2.287499e-06
onmt_pg,seneca,0.00324982
__REFERENCE__,abssentrw,1.685983e-06
__REFERENCE__,BART,0.09806491
__REFERENCE__,onmt_pg,0.07282469
__REFERENCE__,seneca,0.0001605985
BART,abssentrw,0.006160839
onmt_pg,abssentrw,0.0003482068
seneca,abssentrw,0.0499824
BART,onmt_pg,0.9504457
BART,seneca,0.06471067
onmt_pg,seneca,0.009574857
__REFERENCE__,abssentrw,6.696574e-05
__REFERENCE__,BART,0.2004147
__REFERENCE__,onmt_pg,0.2023934
__REFERENCE__,seneca,8.432262e-06
BART,abssentrw,0.01298619
onmt_pg,abssentrw,0.0008221392
abssentrw,seneca,0.8622681
BART,onmt_pg,0.9911595
BART,seneca,0.002525197
onmt_pg,seneca,0.001386782
__REFERENCE__,abssentrw,2.918377e-10
__REFERENCE__,BART,0.5351193
__REFERENCE__,onmt_pg,0.03145217
__REFERENCE__,seneca,1.296065e-05
BART,abssentrw,1.299865e-06
onmt_pg,abssentrw,8.582036e-06
seneca,abssentrw,0.01474696
BART,onmt_pg,0.1193589
BART,seneca,0.000520523
onmt_pg,seneca,0.01916725
__REFERENCE__,abssentrw,1.588919e-05
__REFERENCE__,BART,0.005046549
__REFERENCE__,onmt_pg,0.0004108658
__REFERENCE__,seneca,5.614137e-10
BART,abssentrw,0.02162151
onmt_pg,abssentrw,0.03935309
abssentrw,seneca,0.9082043
BART,onmt_pg,0.523615
BART,seneca,0.003523951
onmt_pg,seneca,0.00690395
__REFERENCE__,abssentrw,1.736917e-13
__REFERENCE__,BART,0.2290417
__REFERENCE__,onmt_pg,0.0008400655
__REFERENCE__,seneca,2.139367e-07
BART,abssentrw,8.51127e-08
onmt_pg,abssentrw,4.500356e-07
abssentrw,seneca,0.2978755
BART,onmt_pg,0.04062986
BART,seneca,1.917321e-05
onmt_pg,seneca,0.009413166
__REFERENCE__,abssentrw,1.756161e-09
__REFERENCE__,BART,0.08892381
__REFERENCE__,onmt_pg,0.03104354
__REFERENCE__,seneca,2.653643e-07
BART,abssentrw,0.0001988291
onmt_pg,abssentrw,6.183199e-06
abssentrw,seneca,0.07336154
BART,onmt_pg,0.7648392
BART,seneca,0.0006060321
onmt_pg,seneca,0.0008272219
__REFERENCE__,abssentrw,1.540615e-09
__REFERENCE__,BART,0.01519342
__REFERENCE__,onmt_pg,0.009714371
__REFERENCE__,seneca,2.724058e-07
BART,abssentrw,3.405937e-07
onmt_pg,abssentrw,4.005705e-07
seneca,abssentrw,0.002644805
BART,onmt_pg,0.6326397
BART,seneca,0.001029007
onmt_pg,seneca,0.008183586
__REFERENCE__,abssentrw,1.0
__REFERENCE__,BART,1.0
__REFERENCE__,onmt_pg,1.0
__REFERENCE__,seneca,1.0
abssentrw,BART,1.0
abssentrw,onmt_pg,1.0
abssentrw,seneca,1.0
BART,onmt_pg,1.0
BART,seneca,1.0
onmt_pg,seneca,1.0
__REFERENCE__,abssentrw,1.104132e-05
__REFERENCE__,BART,0.05089504
__REFERENCE__,onmt_pg,1.029537e-05
__REFERENCE__,seneca,3.014389e-09
BART,abssentrw,0.006901595
abssentrw,onmt_pg,0.2608533
abssentrw,seneca,0.8760117
BART,onmt_pg,0.01043721
BART,seneca,2.372651e-05
onmt_pg,seneca,0.08236195
__REFERENCE__,abssentrw,5.160675e-07
__REFERENCE__,BART,0.0685155
__REFERENCE__,onmt_pg,0.04818924
__REFERENCE__,seneca,8.867332e-06
BART,abssentrw,0.009636816
onmt_pg,abssentrw,0.001078387
abssentrw,seneca,0.3620915
BART,onmt_pg,0.8661433
