,,p_value
__REFERENCE__,abssentrw,2.929946e-14
__REFERENCE__,BART,0.003456403
__REFERENCE__,onmt_pg,9.98321e-10
__REFERENCE__,seneca,3.697388e-17
BART,abssentrw,1.009345e-07
onmt_pg,abssentrw,0.0007373613
abssentrw,seneca,0.453987
BART,onmt_pg,0.0004625482
BART,seneca,2.957177e-09
onmt_pg,seneca,0.0005624371
__REFERENCE__,abssentrw,8.405065e-09
__REFERENCE__,BART,0.1960878
__REFERENCE__,onmt_pg,0.07195907
__REFERENCE__,seneca,7.916539e-11
BART,abssentrw,3.985892e-08
onmt_pg,abssentrw,3.150877e-09
abssentrw,seneca,0.3779559
BART,onmt_pg,0.3918287
BART,seneca,3.151745e-08
onmt_pg,seneca,0.0001543591
__REFERENCE__,abssentrw,3.665633e-14
__REFERENCE__,BART,8.740164e-05
__REFERENCE__,onmt_pg,4.259496e-06
__REFERENCE__,seneca,1.7771e-08
BART,abssentrw,0.000274453
onmt_pg,abssentrw,0.001149366
abssentrw,seneca,0.06166599
BART,onmt_pg,0.5295635
BART,seneca,0.03483496
onmt_pg,seneca,0.05124706
__REFERENCE__,abssentrw,6.385387e-12
__REFERENCE__,BART,0.04752066
__REFERENCE__,onmt_pg,0.0004505428
__REFERENCE__,seneca,1.134569e-06
BART,abssentrw,2.257015e-06
onmt_pg,abssentrw,1.341661e-05
seneca,abssentrw,0.02516107
BART,onmt_pg,0.05110011
BART,seneca,0.0003257231
onmt_pg,seneca,0.01610854
__REFERENCE__,abssentrw,6.095072e-06
__REFERENCE__,BART,0.0006405214
__REFERENCE__,onmt_pg,0.001383375
__REFERENCE__,seneca,7.130668e-08
BART,abssentrw,0.004041842
onmt_pg,abssentrw,0.0005678959
abssentrw,seneca,0.1696386
BART,onmt_pg,0.8408577
BART,seneca,0.004080951
onmt_pg,seneca,0.002477415
__REFERENCE__,abssentrw,7.962976e-10
__REFERENCE__,BART,0.003524543
__REFERENCE__,onmt_pg,0.0004428771
__REFERENCE__,seneca,9.54043e-07
BART,abssentrw,3.382289e-05
onmt_pg,abssentrw,0.0001137589
seneca,abssentrw,0.04556091
BART,onmt_pg,0.3735789
BART,seneca,0.007280142
onmt_pg,seneca,0.01328996
__REFERENCE__,abssentrw,2.266181e-10
__REFERENCE__,BART,0.03102337
__REFERENCE__,onmt_pg,0.007982481
__REFERENCE__,seneca,3.212491e-06
BART,abssentrw,5.015395e-06
onmt_pg,abssentrw,1.506839e-05
abssentrw,seneca,0.5109826
BART,onmt_pg,0.4284965
BART,seneca,1.48285e-06
onmt_pg,seneca,7.322108e-05
__REFERENCE__,abssentrw,3.547756e-06
__REFERENCE__,BART,0.01163712
__REFERENCE__,onmt_pg,0.1467302
__REFERENCE__,seneca,0.000216239
