,,p_value
__REFERENCE__,abssentrw,1.583687e-15
__REFERENCE__,BART,0.008612134
__REFERENCE__,onmt_pg,0.01319972
__REFERENCE__,seneca,1.156413e-13
BART,abssentrw,3.045979e-08
onmt_pg,abssentrw,2.872179e-09
abssentrw,seneca,0.1947882
BART,onmt_pg,0.8765369
BART,seneca,3.109298e-07
onmt_pg,seneca,2.042543e-06
__REFERENCE__,abssentrw,8.848285e-14
__REFERENCE__,BART,0.0002959907
__REFERENCE__,onmt_pg,0.00162161
__REFERENCE__,seneca,8.906916e-13
BART,abssentrw,1.539921e-06
onmt_pg,abssentrw,2.655274e-10
abssentrw,seneca,0.4438969
BART,onmt_pg,0.7322658
BART,seneca,4.503567e-07
onmt_pg,seneca,1.192274e-07
__REFERENCE__,abssentrw,1.760071e-09
__REFERENCE__,BART,0.001548066
__REFERENCE__,onmt_pg,0.0005699476
__REFERENCE__,seneca,1.171658e-13
BART,abssentrw,3.078572e-05
onmt_pg,abssentrw,0.0003243465
abssentrw,seneca,0.9641778
BART,onmt_pg,0.4078435
BART,seneca,5.893392e-07
onmt_pg,seneca,3.896572e-05
__REFERENCE__,abssentrw,2.254307e-15
__REFERENCE__,BART,0.0131767
__REFERENCE__,onmt_pg,0.001657916
__REFERENCE__,seneca,1.320696e-08
BART,abssentrw,5.143061e-08
onmt_pg,abssentrw,5.564704e-08
seneca,abssentrw,0.01245069
BART,onmt_pg,0.4881235
BART,seneca,0.0003810786
onmt_pg,seneca,0.001656037
__REFERENCE__,abssentrw,1.782064e-23
__REFERENCE__,BART,0.001885829
__REFERENCE__,onmt_pg,9.433139e-05
__REFERENCE__,seneca,3.491865e-15
BART,abssentrw,5.41343e-10
onmt_pg,abssentrw,2.717323e-12
seneca,abssentrw,0.0002420684
BART,onmt_pg,0.5392226
BART,seneca,1.103979e-05
onmt_pg,seneca,0.0001378763
__REFERENCE__,abssentrw,8.228336e-16
__REFERENCE__,BART,0.001618204
__REFERENCE__,onmt_pg,1.863244e-05
__REFERENCE__,seneca,8.425925e-14
BART,abssentrw,1.361905e-08
onmt_pg,abssentrw,8.880443e-10
abssentrw,seneca,0.07209113
BART,onmt_pg,0.2145862
BART,seneca,2.896413e-07
onmt_pg,seneca,8.113039e-06
__REFERENCE__,abssentrw,8.694032e-17
__REFERENCE__,BART,1.605342e-06
__REFERENCE__,onmt_pg,6.488356e-08
__REFERENCE__,seneca,5.012683e-22
BART,abssentrw,1.862299e-05
onmt_pg,abssentrw,4.735481e-06
abssentrw,seneca,0.6924426
BART,onmt_pg,0.7124203
BART,seneca,5.162983e-10
onmt_pg,seneca,2.765189e-07
__REFERENCE__,abssentrw,4.585477e-18
__REFERENCE__,BART,0.008813923
__REFERENCE__,onmt_pg,1.165032e-05
__REFERENCE__,seneca,3.383633e-12
BART,abssentrw,3.470241e-10
onmt_pg,abssentrw,5.469138e-08
seneca,abssentrw,0.02176606
BART,onmt_pg,0.04923671
BART,seneca,1.418464e-07
onmt_pg,seneca,0.0007059154
__REFERENCE__,abssentrw,3.908636e-20
__REFERENCE__,BART,0.00246696
__REFERENCE__,onmt_pg,2.541714e-06
__REFERENCE__,seneca,9.043653e-10
BART,abssentrw,7.755315e-11
onmt_pg,abssentrw,1.482848e-10
seneca,abssentrw,4.938224e-05
BART,onmt_pg,0.03771867
BART,seneca,0.0003695005
onmt_pg,seneca,0.1091382
__REFERENCE__,abssentrw,1.079902e-17
__REFERENCE__,BART,0.008132144
__REFERENCE__,onmt_pg,0.001146104
__REFERENCE__,seneca,2.434831e-12
BART,abssentrw,2.197619e-10
onmt_pg,abssentrw,6.96257e-13
seneca,abssentrw,0.001205503
BART,onmt_pg,0.5138979
BART,seneca,8.223609e-06
onmt_pg,seneca,1.570204e-05
__REFERENCE__,abssentrw,2.667442e-12
__REFERENCE__,BART,0.01775259
__REFERENCE__,onmt_pg,2.090867e-05
__REFERENCE__,seneca,6.597908e-11
BART,abssentrw,1.109004e-06
onmt_pg,abssentrw,0.0009495729
abssentrw,seneca,0.6723181
BART,onmt_pg,0.01545957
BART,seneca,8.32639e-08
onmt_pg,seneca,0.0004322309
__REFERENCE__,abssentrw,1.169973e-16
__REFERENCE__,BART,0.001766382
__REFERENCE__,onmt_pg,2.708915e-05
__REFERENCE__,seneca,3.745579e-13
BART,abssentrw,4.059418e-08
onmt_pg,abssentrw,5.436326e-08
abssentrw,seneca,0.07074446
BART,onmt_pg,0.2060859
BART,seneca,2.418738e-07
onmt_pg,seneca,4.193446e-05
__REFERENCE__,abssentrw,3.326546e-20
__REFERENCE__,BART,0.0867199
__REFERENCE__,onmt_pg,0.0001090963
__REFERENCE__,seneca,1.133228e-13
BART,abssentrw,2.370946e-09
onmt_pg,abssentrw,2.563524e-09
abssentrw,seneca,0.08740885
BART,onmt_pg,0.02654973
BART,seneca,1.01233e-08
onmt_pg,seneca,2.667464e-07
__REFERENCE__,abssentrw,2.153318e-13
__REFERENCE__,BART,0.001881117
__REFERENCE__,onmt_pg,0.0001516317
__REFERENCE__,seneca,1.279654e-18
BART,abssentrw,2.710241e-08
onmt_pg,abssentrw,1.449113e-08
abssentrw,seneca,0.1439819
BART,onmt_pg,0.2943059
BART,seneca,3.146796e-09
onmt_pg,seneca,2.488647e-06
__REFERENCE__,abssentrw,1.0
__REFERENCE__,BART,1.0
__REFERENCE__,onmt_pg,1.0
__REFERENCE__,seneca,1.0
abssentrw,BART,1.0
abssentrw,onmt_pg,1.0
abssentrw,seneca,1.0
BART,onmt_pg,1.0
BART,seneca,1.0
onmt_pg,seneca,1.0
__REFERENCE__,abssentrw,9.382389e-13
__REFERENCE__,BART,0.0005115095
__REFERENCE__,onmt_pg,7.185763e-06
__REFERENCE__,seneca,6.674418e-11
BART,abssentrw,2.106261e-07
onmt_pg,abssentrw,2.593482e-06
abssentrw,seneca,0.1031358
BART,onmt_pg,0.1275916
BART,seneca,9.255288e-05
onmt_pg,seneca,0.007252866
__REFERENCE__,abssentrw,4.007451e-13
__REFERENCE__,BART,2.35927e-07
__REFERENCE__,onmt_pg,5.235993e-05
__REFERENCE__,seneca,4.065639e-12
BART,abssentrw,0.0005584804
onmt_pg,abssentrw,5.292453e-06
abssentrw,seneca,0.3021264
BART,onmt_pg,0.263688
BART,seneca,0.0009117526
onmt_pg,seneca,9.209975e-05
__REFERENCE__,abssentrw,2.059151e-16
__REFERENCE__,BART,1.959352e-05
__REFERENCE__,onmt_pg,5.504265e-05
__REFERENCE__,seneca,4.35924e-16
BART,abssentrw,4.521496e-06
onmt_pg,abssentrw,7.792572e-08
abssentrw,seneca,0.3173355
BART,onmt_pg,0.8045924
BART,seneca,5.420997e-07
onmt_pg,seneca,5.580632e-07
__REFERENCE__,abssentrw,1.601198e-18
__REFERENCE__,BART,0.0008346443
__REFERENCE__,onmt_pg,5.107641e-05
__REFERENCE__,seneca,1.062943e-17
BART,abssentrw,7.490725e-09
onmt_pg,abssentrw,9.698939e-09
abssentrw,seneca,0.1749509
BART,onmt_pg,0.5529471
BART,seneca,3.621247e-09
onmt_pg,seneca,2.992271e-08
__REFERENCE__,abssentrw,9.924066e-18
__REFERENCE__,BART,0.002373515
__REFERENCE__,onmt_pg,1.518863e-06
__REFERENCE__,seneca,4.143641e-13
BART,abssentrw,3.242795e-10
onmt_pg,abssentrw,7.465723e-09
seneca,abssentrw,0.002144373
BART,onmt_pg,0.02666974
BART,seneca,6.138621e-06
onmt_pg,seneca,0.01382911
