,,p_value
__REFERENCE__,abssentrw,1.246583e-27
__REFERENCE__,BART,0.001558605
__REFERENCE__,onmt_pg,1.247101e-05
__REFERENCE__,seneca,1.744595e-18
BART,abssentrw,8.661141e-15
onmt_pg,abssentrw,1.303829e-09
seneca,abssentrw,0.02203548
BART,onmt_pg,0.1520646
BART,seneca,2.141614e-09
onmt_pg,seneca,8.66959e-07
__REFERENCE__,abssentrw,1.0
__REFERENCE__,BART,1.0
__REFERENCE__,onmt_pg,1.0
__REFERENCE__,seneca,1.0
abssentrw,BART,1.0
abssentrw,onmt_pg,1.0
abssentrw,seneca,1.0
BART,onmt_pg,1.0
BART,seneca,1.0
onmt_pg,seneca,1.0
__REFERENCE__,abssentrw,1.0
__REFERENCE__,BART,1.0
__REFERENCE__,onmt_pg,1.0
__REFERENCE__,seneca,1.0
abssentrw,BART,1.0
abssentrw,onmt_pg,1.0
abssentrw,seneca,1.0
BART,onmt_pg,1.0
BART,seneca,1.0
onmt_pg,seneca,1.0
__REFERENCE__,abssentrw,1.752758e-19
__REFERENCE__,BART,0.01377543
__REFERENCE__,onmt_pg,0.005313674
__REFERENCE__,seneca,6.641748e-17
BART,abssentrw,1.575747e-10
onmt_pg,abssentrw,1.769857e-09
abssentrw,seneca,0.2524321
BART,onmt_pg,0.7107561
BART,seneca,7.004902e-10
onmt_pg,seneca,1.003642e-08
__REFERENCE__,abssentrw,4.00245e-15
__REFERENCE__,BART,0.00233332
__REFERENCE__,onmt_pg,0.000164782
__REFERENCE__,seneca,7.843793e-15
BART,abssentrw,3.485967e-08
onmt_pg,abssentrw,4.68891e-09
abssentrw,seneca,0.1027478
BART,onmt_pg,0.3916015
BART,seneca,8.339414e-08
onmt_pg,seneca,6.967074e-05
__REFERENCE__,abssentrw,6.353726e-19
__REFERENCE__,BART,0.01520425
__REFERENCE__,onmt_pg,0.0001508563
__REFERENCE__,seneca,3.427811e-15
BART,abssentrw,3.341895e-11
onmt_pg,abssentrw,1.644737e-10
seneca,abssentrw,0.01300154
BART,onmt_pg,0.1944491
BART,seneca,3.12111e-08
onmt_pg,seneca,1.006484e-06
__REFERENCE__,abssentrw,4.731679e-21
__REFERENCE__,BART,0.0007152758
__REFERENCE__,onmt_pg,3.853596e-05
__REFERENCE__,seneca,3.7394e-13
BART,abssentrw,7.028812e-09
onmt_pg,abssentrw,5.478634e-07
seneca,abssentrw,0.03622268
BART,onmt_pg,0.3001
BART,seneca,1.051219e-05
onmt_pg,seneca,0.000234533
__REFERENCE__,abssentrw,4.753584e-21
__REFERENCE__,BART,0.002105587
__REFERENCE__,onmt_pg,8.053033e-06
__REFERENCE__,seneca,4.176453e-19
BART,abssentrw,3.258832e-10
onmt_pg,abssentrw,1.581551e-12
seneca,abssentrw,0.03198473
BART,onmt_pg,0.1752388
BART,seneca,6.133094e-09
onmt_pg,seneca,2.139002e-07
__REFERENCE__,abssentrw,4.689637e-15
__REFERENCE__,BART,0.0004891437
__REFERENCE__,onmt_pg,1.021312e-05
__REFERENCE__,seneca,1.294369e-14
BART,abssentrw,2.572895e-06
onmt_pg,abssentrw,0.0005719748
abssentrw,seneca,0.9067527
BART,onmt_pg,0.2604342
BART,seneca,3.281951e-08
onmt_pg,seneca,9.486755e-06
__REFERENCE__,abssentrw,1.702642e-17
__REFERENCE__,BART,0.00193867
__REFERENCE__,onmt_pg,0.001536939
__REFERENCE__,seneca,1.418007e-11
BART,abssentrw,9.451695e-09
onmt_pg,abssentrw,9.440342e-11
seneca,abssentrw,0.008888668
BART,onmt_pg,0.9886408
BART,seneca,0.0001088882
onmt_pg,seneca,2.310566e-05
__REFERENCE__,abssentrw,1.0
__REFERENCE__,BART,1.0
__REFERENCE__,onmt_pg,1.0
__REFERENCE__,seneca,1.0
abssentrw,BART,1.0
abssentrw,onmt_pg,1.0
abssentrw,seneca,1.0
BART,onmt_pg,1.0
BART,seneca,1.0
onmt_pg,seneca,1.0
__REFERENCE__,abssentrw,2.858368e-18
__REFERENCE__,BART,0.0005970473
__REFERENCE__,onmt_pg,0.0001122885
__REFERENCE__,seneca,2.515655e-13
BART,abssentrw,2.11252e-11
onmt_pg,abssentrw,7.042853e-12
seneca,abssentrw,0.007436481
BART,onmt_pg,0.5229387
BART,seneca,4.698231e-07
onmt_pg,seneca,4.737946e-06
__REFERENCE__,abssentrw,9.303231e-25
__REFERENCE__,BART,2.818803e-05
__REFERENCE__,onmt_pg,2.988048e-08
__REFERENCE__,seneca,7.09443e-22
BART,abssentrw,5.889566e-14
onmt_pg,abssentrw,9.751773e-11
seneca,abssentrw,0.01773135
BART,onmt_pg,0.1289249
BART,seneca,7.907223e-10
onmt_pg,seneca,3.520429e-06
__REFERENCE__,abssentrw,2.242177e-12
__REFERENCE__,BART,0.04230252
__REFERENCE__,onmt_pg,4.151637e-05
__REFERENCE__,seneca,1.35927e-13
BART,abssentrw,2.35332e-07
onmt_pg,abssentrw,1.685746e-05
abssentrw,seneca,0.4409464
BART,onmt_pg,0.02657644
BART,seneca,3.891725e-09
onmt_pg,seneca,0.0001032705
__REFERENCE__,abssentrw,5.381968e-12
__REFERENCE__,BART,0.00180115
__REFERENCE__,onmt_pg,6.889168e-05
__REFERENCE__,seneca,2.500631e-12
BART,abssentrw,7.391534e-07
onmt_pg,abssentrw,5.032361e-07
seneca,abssentrw,0.03029622
BART,onmt_pg,0.1744919
BART,seneca,2.691669e-05
onmt_pg,seneca,0.0006049441
__REFERENCE__,abssentrw,5.758058e-17
__REFERENCE__,BART,0.0007746641
__REFERENCE__,onmt_pg,3.79941e-05
__REFERENCE__,seneca,5.351958e-12
BART,abssentrw,3.203306e-10
onmt_pg,abssentrw,5.617718e-11
seneca,abssentrw,0.000375267
BART,onmt_pg,0.1885606
BART,seneca,7.306175e-06
onmt_pg,seneca,0.0005790961
__REFERENCE__,abssentrw,1.446797e-18
__REFERENCE__,BART,0.005929208
__REFERENCE__,onmt_pg,1.60673e-07
__REFERENCE__,seneca,1.23069e-26
BART,abssentrw,5.476144e-09
onmt_pg,abssentrw,1.47504e-05
abssentrw,seneca,0.1842356
BART,onmt_pg,0.02010347
BART,seneca,3.58756e-16
onmt_pg,seneca,3.116009e-08
__REFERENCE__,abssentrw,1.201036e-12
__REFERENCE__,BART,0.06544676
__REFERENCE__,onmt_pg,4.708262e-05
__REFERENCE__,seneca,2.597378e-15
BART,abssentrw,9.119971e-08
onmt_pg,abssentrw,2.023811e-05
abssentrw,seneca,0.3498543
BART,onmt_pg,0.04648519
BART,seneca,8.807126e-08
onmt_pg,seneca,2.389967e-05
__REFERENCE__,abssentrw,1.574061e-26
__REFERENCE__,BART,0.00459719
__REFERENCE__,onmt_pg,4.171715e-07
__REFERENCE__,seneca,3.292746e-18
BART,abssentrw,5.501426e-18
onmt_pg,abssentrw,7.848649e-12
seneca,abssentrw,0.01323165
BART,onmt_pg,0.01288165
BART,seneca,8.47421e-10
onmt_pg,seneca,2.264283e-05
__REFERENCE__,abssentrw,2.020688e-24
__REFERENCE__,BART,0.01522376
__REFERENCE__,onmt_pg,1.700653e-07
__REFERENCE__,seneca,1.513987e-12
BART,abssentrw,3.347548e-17
onmt_pg,abssentrw,4.55021e-08
seneca,abssentrw,0.009807954
BART,onmt_pg,0.001309876
BART,seneca,4.376737e-08
onmt_pg,seneca,0.003461465
__REFERENCE__,abssentrw,2.944695e-23
__REFERENCE__,BART,7.581338e-05
__REFERENCE__,onmt_pg,3.015093e-07
__REFERENCE__,seneca,9.88953e-15
BART,abssentrw,3.569448e-09
onmt_pg,abssentrw,2.373132e-08
abssentrw,seneca,0.1421336
BART,onmt_pg,0.3339921
BART,seneca,4.622278e-07
onmt_pg,seneca,0.0001267359
__REFERENCE__,abssentrw,2.260379e-24
__REFERENCE__,BART,4.073571e-06
__REFERENCE__,onmt_pg,2.912416e-08
__REFERENCE__,seneca,4.188218e-18
BART,abssentrw,1.927622e-13
onmt_pg,abssentrw,4.629428e-11
seneca,abssentrw,0.005318788
BART,onmt_pg,0.2836839
BART,seneca,4.574228e-07
onmt_pg,seneca,2.827776e-05
__REFERENCE__,abssentrw,4.900792e-20
__REFERENCE__,BART,0.01317196
__REFERENCE__,onmt_pg,0.004642309
__REFERENCE__,seneca,1.326249e-09
BART,abssentrw,6.121807e-14
onmt_pg,abssentrw,2.999994e-12
seneca,abssentrw,0.02518785
BART,onmt_pg,0.7112006
BART,seneca,8.968625e-06
