,,p_value
abssentrw,__REFERENCE__,0.04096569
BART,__REFERENCE__,1.054035e-08
onmt_pg,__REFERENCE__,0.01310146
__REFERENCE__,seneca,8.672077e-05
BART,abssentrw,0.04313199
abssentrw,onmt_pg,0.9315932
abssentrw,seneca,0.0001595155
BART,onmt_pg,0.0008777585
BART,seneca,2.817367e-22
onmt_pg,seneca,1.138622e-06
__REFERENCE__,abssentrw,0.8312772
BART,__REFERENCE__,0.0003732235
onmt_pg,__REFERENCE__,0.03158625
__REFERENCE__,seneca,0.006711773
BART,abssentrw,1.060054e-05
abssentrw,onmt_pg,0.06007268
abssentrw,seneca,0.002765021
BART,onmt_pg,0.005174805
BART,seneca,2.424317e-13
onmt_pg,seneca,9.992949e-06
__REFERENCE__,abssentrw,0.6118348
BART,__REFERENCE__,1.966367e-06
onmt_pg,__REFERENCE__,6.924597e-05
__REFERENCE__,seneca,0.002948947
BART,abssentrw,4.590536e-05
onmt_pg,abssentrw,0.001195542
abssentrw,seneca,0.03655568
BART,onmt_pg,0.02798058
BART,seneca,1.132345e-17
onmt_pg,seneca,1.032928e-08
__REFERENCE__,abssentrw,0.9374493
BART,__REFERENCE__,6.625326e-10
onmt_pg,__REFERENCE__,0.02138285
__REFERENCE__,seneca,3.361102e-05
BART,abssentrw,3.805782e-09
onmt_pg,abssentrw,0.00562916
abssentrw,seneca,0.0003508034
BART,onmt_pg,0.0001630683
BART,seneca,3.787664e-29
onmt_pg,seneca,1.797921e-07
__REFERENCE__,abssentrw,0.02763525
BART,__REFERENCE__,6.048404e-07
onmt_pg,__REFERENCE__,0.01933281
__REFERENCE__,seneca,0.02219137
BART,abssentrw,1.096444e-07
onmt_pg,abssentrw,6.090744e-07
abssentrw,seneca,0.9546209
BART,onmt_pg,0.009890013
BART,seneca,4.467185e-16
onmt_pg,seneca,0.002779052
__REFERENCE__,abssentrw,0.7949508
BART,__REFERENCE__,3.224517e-10
onmt_pg,__REFERENCE__,0.001481255
__REFERENCE__,seneca,6.61812e-12
BART,abssentrw,5.320179e-05
onmt_pg,abssentrw,0.01473504
abssentrw,seneca,0.001096184
BART,onmt_pg,0.0009391216
BART,seneca,3.184426e-37
onmt_pg,seneca,2.138272e-24
__REFERENCE__,abssentrw,1.0
__REFERENCE__,BART,1.0
__REFERENCE__,onmt_pg,1.0
__REFERENCE__,seneca,1.0
abssentrw,BART,1.0
abssentrw,onmt_pg,1.0
abssentrw,seneca,1.0
BART,onmt_pg,1.0
BART,seneca,1.0
onmt_pg,seneca,1.0
__REFERENCE__,abssentrw,0.4741292
BART,__REFERENCE__,7.194971e-09
onmt_pg,__REFERENCE__,0.002149134
__REFERENCE__,seneca,0.1558414
BART,abssentrw,6.113036e-08
abssentrw,onmt_pg,0.1986008
abssentrw,seneca,0.04300466
BART,onmt_pg,5.003368e-05
BART,seneca,3.551224e-22
onmt_pg,seneca,0.006524707
__REFERENCE__,abssentrw,0.08918221
BART,__REFERENCE__,8.005728e-09
onmt_pg,__REFERENCE__,0.004435237
__REFERENCE__,seneca,3.093205e-05
BART,abssentrw,0.003864274
abssentrw,onmt_pg,0.3113798
abssentrw,seneca,4.077667e-07
BART,onmt_pg,0.0225967
BART,seneca,8.110115e-28
onmt_pg,seneca,2.92859e-10
__REFERENCE__,abssentrw,1.0
__REFERENCE__,BART,1.0
__REFERENCE__,onmt_pg,1.0
__REFERENCE__,seneca,1.0
abssentrw,BART,1.0
abssentrw,onmt_pg,1.0
abssentrw,seneca,1.0
BART,onmt_pg,1.0
BART,seneca,1.0
onmt_pg,seneca,1.0
__REFERENCE__,abssentrw,0.3332798
BART,__REFERENCE__,9.793552e-06
__REFERENCE__,onmt_pg,0.06476267
