,,p_value
__REFERENCE__,abssentrw,0.3165837
BART,__REFERENCE__,0.002247964
onmt_pg,__REFERENCE__,0.004842528
__REFERENCE__,seneca,0.0002861645
BART,abssentrw,0.04463496
abssentrw,onmt_pg,0.1475344
abssentrw,seneca,0.0003793912
BART,onmt_pg,0.2749456
BART,seneca,6.351829e-10
onmt_pg,seneca,2.746671e-10
__REFERENCE__,abssentrw,0.5556871
BART,__REFERENCE__,4.341194e-06
onmt_pg,__REFERENCE__,0.002258113
__REFERENCE__,seneca,0.4926228
BART,abssentrw,0.0002868043
onmt_pg,abssentrw,0.01383545
abssentrw,seneca,0.2820364
BART,onmt_pg,0.1221736
BART,seneca,9.441768e-08
onmt_pg,seneca,0.003610493
__REFERENCE__,abssentrw,0.1596087
BART,__REFERENCE__,9.321766e-05
__REFERENCE__,onmt_pg,0.09544415
__REFERENCE__,seneca,0.001536554
BART,abssentrw,0.0003403421
onmt_pg,abssentrw,0.002809283
abssentrw,seneca,0.1282897
BART,onmt_pg,0.02448119
BART,seneca,4.316909e-09
onmt_pg,seneca,6.012928e-06
__REFERENCE__,abssentrw,0.07348415
BART,__REFERENCE__,0.005354715
__REFERENCE__,onmt_pg,0.292103
__REFERENCE__,seneca,0.05968898
BART,abssentrw,0.0001356169
onmt_pg,abssentrw,0.005361459
abssentrw,seneca,0.625123
BART,onmt_pg,0.04890876
BART,seneca,2.455109e-05
onmt_pg,seneca,0.004077471
__REFERENCE__,abssentrw,1.0
__REFERENCE__,BART,1.0
__REFERENCE__,onmt_pg,1.0
__REFERENCE__,seneca,1.0
abssentrw,BART,1.0
abssentrw,onmt_pg,1.0
abssentrw,seneca,1.0
BART,onmt_pg,1.0
BART,seneca,1.0
onmt_pg,seneca,1.0
__REFERENCE__,abssentrw,0.5197291
BART,__REFERENCE__,0.00194128
__REFERENCE__,onmt_pg,0.06351998
__REFERENCE__,seneca,1.482169e-06
BART,abssentrw,0.005294446
onmt_pg,abssentrw,0.03334792
abssentrw,seneca,0.00531791
BART,onmt_pg,0.2650842
BART,seneca,4.129364e-09
onmt_pg,seneca,3.860854e-10
__REFERENCE__,abssentrw,0.3934636
BART,__REFERENCE__,0.008989664
__REFERENCE__,onmt_pg,0.08050061
__REFERENCE__,seneca,0.001623552
BART,abssentrw,0.002524034
onmt_pg,abssentrw,0.006907837
abssentrw,seneca,0.06919652
BART,onmt_pg,0.3034076
BART,seneca,6.12605e-11
onmt_pg,seneca,1.49422e-05
__REFERENCE__,abssentrw,0.38054
BART,__REFERENCE__,0.001295695
__REFERENCE__,onmt_pg,0.2413582
__REFERENCE__,seneca,0.0004382722
BART,abssentrw,0.0007498743
abssentrw,onmt_pg,0.07447698
abssentrw,seneca,0.0101659
BART,onmt_pg,0.03850157
BART,seneca,7.503205e-12
onmt_pg,seneca,8.415672e-06
__REFERENCE__,abssentrw,1.0
__REFERENCE__,BART,1.0
__REFERENCE__,onmt_pg,1.0
__REFERENCE__,seneca,1.0
abssentrw,BART,1.0
abssentrw,onmt_pg,1.0
abssentrw,seneca,1.0
BART,onmt_pg,1.0
BART,seneca,1.0
onmt_pg,seneca,1.0
