,,p_value
__REFERENCE__,abssentrw,0.5168957
BART,__REFERENCE__,1.286645e-08
onmt_pg,__REFERENCE__,0.01106244
__REFERENCE__,seneca,6.181612e-07
BART,abssentrw,2.057335e-09
onmt_pg,abssentrw,0.002896247
abssentrw,seneca,0.0002497717
BART,onmt_pg,0.0005343268
BART,seneca,1.078135e-24
onmt_pg,seneca,9.997706e-12
__REFERENCE__,abssentrw,0.4189083
BART,__REFERENCE__,2.083629e-05
onmt_pg,__REFERENCE__,0.007349034
__REFERENCE__,seneca,0.0003930015
BART,abssentrw,2.943699e-06
onmt_pg,abssentrw,5.702582e-05
abssentrw,seneca,0.01816561
BART,onmt_pg,0.1020955
BART,seneca,1.171891e-19
onmt_pg,seneca,4.908503e-07
__REFERENCE__,abssentrw,1.0
__REFERENCE__,BART,1.0
__REFERENCE__,onmt_pg,1.0
__REFERENCE__,seneca,1.0
abssentrw,BART,1.0
abssentrw,onmt_pg,1.0
abssentrw,seneca,1.0
BART,onmt_pg,1.0
BART,seneca,1.0
onmt_pg,seneca,1.0
__REFERENCE__,abssentrw,0.165659
BART,__REFERENCE__,4.392146e-08
onmt_pg,__REFERENCE__,0.01247915
__REFERENCE__,seneca,0.001860315
BART,abssentrw,1.759678e-11
onmt_pg,abssentrw,0.0001993882
abssentrw,seneca,0.02840569
BART,onmt_pg,0.001627099
BART,seneca,7.496873e-13
onmt_pg,seneca,1.251916e-06
__REFERENCE__,abssentrw,0.07011772
BART,__REFERENCE__,3.250001e-06
onmt_pg,__REFERENCE__,0.01066757
__REFERENCE__,seneca,2.680762e-07
BART,abssentrw,3.115009e-08
onmt_pg,abssentrw,0.0001189588
abssentrw,seneca,0.005771155
BART,onmt_pg,0.009137312
BART,seneca,8.622954e-26
onmt_pg,seneca,1.445227e-18
__REFERENCE__,abssentrw,0.07445204
BART,__REFERENCE__,3.667118e-08
onmt_pg,__REFERENCE__,0.0003525228
__REFERENCE__,seneca,6.992412e-06
BART,abssentrw,5.005449e-10
onmt_pg,abssentrw,1.890973e-07
abssentrw,seneca,0.015598
BART,onmt_pg,0.02855795
BART,seneca,3.014889e-22
onmt_pg,seneca,4.586402e-13
__REFERENCE__,abssentrw,0.03321113
BART,__REFERENCE__,4.301372e-08
__REFERENCE__,onmt_pg,0.3493556
__REFERENCE__,seneca,1.466196e-05
BART,abssentrw,8.135303e-11
onmt_pg,abssentrw,0.01141778
abssentrw,seneca,0.01694045
BART,onmt_pg,4.170469e-05
BART,seneca,7.056605e-25
onmt_pg,seneca,2.389856e-07
__REFERENCE__,abssentrw,0.4887478
BART,__REFERENCE__,1.504767e-05
onmt_pg,__REFERENCE__,0.03130481
__REFERENCE__,seneca,2.458052e-06
BART,abssentrw,5.592099e-06
onmt_pg,abssentrw,0.007474219
abssentrw,seneca,0.0001208507
BART,onmt_pg,0.02218222
BART,seneca,9.075723e-21
onmt_pg,seneca,1.401552e-12
__REFERENCE__,abssentrw,0.6404288
BART,__REFERENCE__,7.279756e-07
onmt_pg,__REFERENCE__,3.026728e-05
__REFERENCE__,seneca,5.923255e-05
BART,abssentrw,1.23509e-07
