,,p_value
__REFERENCE__,abssentrw,0.8403481
BART,__REFERENCE__,6.285326e-19
onmt_pg,__REFERENCE__,2.258213e-06
__REFERENCE__,seneca,0.02707151
BART,abssentrw,2.912396e-08
onmt_pg,abssentrw,7.241504e-06
abssentrw,seneca,0.1375529
BART,onmt_pg,0.0001406908
BART,seneca,3.532421e-22
onmt_pg,seneca,3.124125e-07
__REFERENCE__,abssentrw,1.0
__REFERENCE__,BART,1.0
__REFERENCE__,onmt_pg,1.0
__REFERENCE__,seneca,1.0
abssentrw,BART,1.0
abssentrw,onmt_pg,1.0
abssentrw,seneca,1.0
BART,onmt_pg,1.0
BART,seneca,1.0
onmt_pg,seneca,1.0
__REFERENCE__,abssentrw,0.6011637
BART,__REFERENCE__,7.745158e-13
onmt_pg,__REFERENCE__,5.147596e-07
__REFERENCE__,seneca,1.785689e-08
BART,abssentrw,8.31769e-07
onmt_pg,abssentrw,0.0001052338
abssentrw,seneca,5.68465e-07
BART,onmt_pg,0.004455362
BART,seneca,2.580934e-34
onmt_pg,seneca,2.455082e-22
__REFERENCE__,abssentrw,0.6290489
BART,__REFERENCE__,7.033166e-18
onmt_pg,__REFERENCE__,3.334825e-06
__REFERENCE__,seneca,0.02854064
BART,abssentrw,1.842203e-08
onmt_pg,abssentrw,0.01590979
abssentrw,seneca,0.0865021
BART,onmt_pg,3.814731e-06
BART,seneca,1.079684e-16
onmt_pg,seneca,1.833126e-08
__REFERENCE__,abssentrw,0.5179795
BART,__REFERENCE__,1.908901e-05
onmt_pg,__REFERENCE__,0.01455293
__REFERENCE__,seneca,1.993611e-07
BART,abssentrw,0.0005898968
onmt_pg,abssentrw,0.01316017
abssentrw,seneca,0.0009281401
BART,onmt_pg,0.0350789
BART,seneca,1.969562e-26
onmt_pg,seneca,8.476404e-10
__REFERENCE__,abssentrw,0.904458
BART,__REFERENCE__,1.772099e-14
onmt_pg,__REFERENCE__,1.479931e-05
__REFERENCE__,seneca,2.64253e-05
BART,abssentrw,4.745738e-11
onmt_pg,abssentrw,2.777879e-07
abssentrw,seneca,6.865469e-05
BART,onmt_pg,0.001485768
BART,seneca,6.237804e-32
onmt_pg,seneca,3.881504e-17
__REFERENCE__,abssentrw,0.7471067
BART,__REFERENCE__,4.982205e-12
onmt_pg,__REFERENCE__,6.004006e-05
__REFERENCE__,seneca,0.0006227328
BART,abssentrw,4.46296e-09
onmt_pg,abssentrw,0.0002378637
abssentrw,seneca,0.006670637
BART,onmt_pg,0.01366361
BART,seneca,1.747339e-17
onmt_pg,seneca,3.322931e-08
__REFERENCE__,abssentrw,0.4765191
BART,__REFERENCE__,6.575346e-06
onmt_pg,__REFERENCE__,2.158032e-05
__REFERENCE__,seneca,0.008225376
BART,abssentrw,3.615759e-06
onmt_pg,abssentrw,0.0001382867
abssentrw,seneca,0.07247397
BART,onmt_pg,0.02595852
BART,seneca,1.429112e-15
onmt_pg,seneca,6.467857e-08
__REFERENCE__,abssentrw,0.1747747
BART,__REFERENCE__,5.00041e-13
onmt_pg,__REFERENCE__,0.0001616246
__REFERENCE__,seneca,6.99062e-06
BART,abssentrw,1.588175e-10
onmt_pg,abssentrw,9.192642e-06
abssentrw,seneca,0.007647026
BART,onmt_pg,0.001240472
BART,seneca,1.365778e-30
onmt_pg,seneca,5.459606e-10
__REFERENCE__,abssentrw,0.02711759
BART,__REFERENCE__,9.639178e-10
onmt_pg,__REFERENCE__,0.01615737
__REFERENCE__,seneca,1.144083e-09
BART,abssentrw,2.903587e-14
onmt_pg,abssentrw,3.693441e-07
abssentrw,seneca,0.0003238263
BART,onmt_pg,0.00270478
BART,seneca,3.943508e-34
onmt_pg,seneca,9.42368e-12
__REFERENCE__,abssentrw,0.3237325
BART,__REFERENCE__,8.467635e-06
onmt_pg,__REFERENCE__,0.0002533653
__REFERENCE__,seneca,3.875239e-05
BART,abssentrw,5.668665e-09
onmt_pg,abssentrw,0.0006368737
abssentrw,seneca,0.002106412
BART,onmt_pg,0.02386575
BART,seneca,9.385016e-22
onmt_pg,seneca,1.548817e-10
__REFERENCE__,abssentrw,0.07617874
BART,__REFERENCE__,3.37911e-07
__REFERENCE__,onmt_pg,0.07361017
__REFERENCE__,seneca,0.01423603
BART,abssentrw,1.586569e-11
onmt_pg,abssentrw,9.418378e-05
abssentrw,seneca,0.4515192
BART,onmt_pg,0.0003521814
BART,seneca,8.76411e-16
onmt_pg,seneca,0.0005535238
__REFERENCE__,abssentrw,0.281349
BART,__REFERENCE__,1.419288e-06
onmt_pg,__REFERENCE__,0.02916811
