,,p_value
__REFERENCE__,abssentrw,3.427348e-06
__REFERENCE__,BART,0.5273631
__REFERENCE__,onmt_pg,0.4065724
__REFERENCE__,seneca,0.006646061
BART,abssentrw,3.33729e-06
onmt_pg,abssentrw,6.487947e-05
seneca,abssentrw,0.01658141
BART,onmt_pg,0.8566556
BART,seneca,0.02058742
onmt_pg,seneca,0.05171161
__REFERENCE__,abssentrw,2.626352e-06
__REFERENCE__,BART,0.04818133
__REFERENCE__,onmt_pg,0.006625383
__REFERENCE__,seneca,2.444733e-08
BART,abssentrw,0.002085203
onmt_pg,abssentrw,0.01176493
abssentrw,seneca,0.9872122
BART,onmt_pg,0.3374283
BART,seneca,9.378139e-05
onmt_pg,seneca,0.002645803
__REFERENCE__,abssentrw,2.813923e-07
__REFERENCE__,BART,0.1406359
__REFERENCE__,onmt_pg,0.00218754
__REFERENCE__,seneca,2.11079e-07
BART,abssentrw,0.0005014389
onmt_pg,abssentrw,0.005402984
abssentrw,seneca,0.6613746
BART,onmt_pg,0.2038726
BART,seneca,0.001601543
onmt_pg,seneca,0.0124049
__REFERENCE__,abssentrw,0.0002449635
__REFERENCE__,BART,0.9153175
__REFERENCE__,onmt_pg,0.372876
__REFERENCE__,seneca,0.0002608514
BART,abssentrw,0.0003363241
onmt_pg,abssentrw,0.007292832
abssentrw,seneca,0.7831733
BART,onmt_pg,0.349298
BART,seneca,0.0004977017
onmt_pg,seneca,0.00783374
__REFERENCE__,abssentrw,6.954438e-05
__REFERENCE__,BART,0.01531477
__REFERENCE__,onmt_pg,0.04127873
__REFERENCE__,seneca,2.687921e-05
BART,abssentrw,0.04306426
onmt_pg,abssentrw,0.01206104
abssentrw,seneca,0.5200199
BART,onmt_pg,0.6283675
BART,seneca,0.07553772
onmt_pg,seneca,0.01971016
__REFERENCE__,abssentrw,1.0
__REFERENCE__,BART,1.0
__REFERENCE__,onmt_pg,1.0
__REFERENCE__,seneca,1.0
abssentrw,BART,1.0
abssentrw,onmt_pg,1.0
abssentrw,seneca,1.0
BART,onmt_pg,1.0
BART,seneca,1.0
onmt_pg,seneca,1.0
__REFERENCE__,abssentrw,2.695177e-10
__REFERENCE__,BART,0.2284075
__REFERENCE__,onmt_pg,0.0002002686
__REFERENCE__,seneca,7.13327e-07
BART,abssentrw,1.571196e-05
onmt_pg,abssentrw,1.98615e-05
seneca,abssentrw,0.0275678
BART,onmt_pg,0.04758799
BART,seneca,0.001924848
onmt_pg,seneca,0.07238105
__REFERENCE__,abssentrw,0.0002356763
__REFERENCE__,BART,0.2001
__REFERENCE__,onmt_pg,0.1685216
__REFERENCE__,seneca,0.004130562
BART,abssentrw,0.0131229
onmt_pg,abssentrw,0.04568592
abssentrw,seneca,0.8264202
BART,onmt_pg,0.8075047
BART,seneca,0.03957425
onmt_pg,seneca,0.03664873
__REFERENCE__,abssentrw,0.00460788
__REFERENCE__,BART,0.05988088
__REFERENCE__,onmt_pg,0.0320019
__REFERENCE__,seneca,1.11307e-06
abssentrw,BART,0.3030547
abssentrw,onmt_pg,0.2796239
abssentrw,seneca,0.07217097
BART,onmt_pg,0.8938103
BART,seneca,0.0004127195
onmt_pg,seneca,0.0002675465
__REFERENCE__,abssentrw,3.772048e-13
__REFERENCE__,BART,0.2265561
__REFERENCE__,onmt_pg,0.01415826
__REFERENCE__,seneca,6.496649e-07
BART,abssentrw,6.484752e-10
onmt_pg,abssentrw,2.948509e-10
seneca,abssentrw,0.0001884392
BART,onmt_pg,0.1918178
BART,seneca,0.0001244978
onmt_pg,seneca,0.004214914
__REFERENCE__,abssentrw,2.286158e-08
__REFERENCE__,BART,0.05333295
__REFERENCE__,onmt_pg,0.01801172
__REFERENCE__,seneca,4.99985e-07
BART,abssentrw,0.000540051
onmt_pg,abssentrw,0.001555519
abssentrw,seneca,0.2135719
BART,onmt_pg,0.5679623
BART,seneca,0.001672378
onmt_pg,seneca,0.009592694
__REFERENCE__,abssentrw,0.0006998009
__REFERENCE__,BART,0.1266791
__REFERENCE__,onmt_pg,0.01733142
__REFERENCE__,seneca,3.194693e-06
abssentrw,BART,0.05444985
abssentrw,onmt_pg,0.1703259
abssentrw,seneca,0.7594304
BART,onmt_pg,0.3443898
BART,seneca,0.001736781
onmt_pg,seneca,0.03539608
__REFERENCE__,abssentrw,0.008326726
__REFERENCE__,BART,0.4305228
__REFERENCE__,onmt_pg,0.4310139
__REFERENCE__,seneca,0.01727119
abssentrw,BART,0.05684147
onmt_pg,abssentrw,0.02404548
abssentrw,seneca,0.7765682
BART,onmt_pg,0.959064
BART,seneca,0.1382959
onmt_pg,seneca,0.1168189
__REFERENCE__,abssentrw,2.687857e-05
__REFERENCE__,BART,0.647518
__REFERENCE__,onmt_pg,0.07083608
__REFERENCE__,seneca,7.079817e-05
BART,abssentrw,7.29825e-07
onmt_pg,abssentrw,0.0002311183
seneca,abssentrw,0.03786084
BART,onmt_pg,0.1302298
BART,seneca,1.437731e-05
onmt_pg,seneca,0.004693595
__REFERENCE__,abssentrw,2.299537e-08
__REFERENCE__,BART,0.02692428
__REFERENCE__,onmt_pg,2.008473e-05
__REFERENCE__,seneca,1.374209e-07
BART,abssentrw,0.0009421606
onmt_pg,abssentrw,0.00893217
abssentrw,seneca,0.1087267
BART,onmt_pg,0.06925164
BART,seneca,0.004804891
onmt_pg,seneca,0.1758399
__REFERENCE__,abssentrw,1.204684e-07
__REFERENCE__,BART,0.2454129
__REFERENCE__,onmt_pg,0.003787443
__REFERENCE__,seneca,7.83144e-06
BART,abssentrw,0.0008781265
abssentrw,onmt_pg,0.1000663
abssentrw,seneca,0.2156268
BART,onmt_pg,0.02254218
BART,seneca,0.005108532
onmt_pg,seneca,0.4009376
__REFERENCE__,abssentrw,0.001355836
__REFERENCE__,BART,0.6319998
__REFERENCE__,onmt_pg,0.06663551
__REFERENCE__,seneca,0.0006897445
BART,abssentrw,0.02589606
abssentrw,onmt_pg,0.1501752
abssentrw,seneca,0.7287581
BART,onmt_pg,0.1512677
BART,seneca,0.009014282
onmt_pg,seneca,0.1658413
__REFERENCE__,abssentrw,3.648379e-05
__REFERENCE__,BART,0.2014896
__REFERENCE__,onmt_pg,0.03347778
__REFERENCE__,seneca,0.001321572
BART,abssentrw,0.0007481519
onmt_pg,abssentrw,0.04271131
abssentrw,seneca,0.09729483
BART,onmt_pg,0.2845107
BART,seneca,0.02870638
onmt_pg,seneca,0.3863046
__REFERENCE__,abssentrw,3.868377e-05
__REFERENCE__,BART,0.2508028
__REFERENCE__,onmt_pg,0.4754056
__REFERENCE__,seneca,0.00747409
BART,abssentrw,0.004014655
onmt_pg,abssentrw,0.002395852
abssentrw,seneca,0.2177545
BART,onmt_pg,0.6450142
BART,seneca,0.07086755
onmt_pg,seneca,0.03895316
__REFERENCE__,abssentrw,9.890522e-05
__REFERENCE__,BART,0.1804185
__REFERENCE__,onmt_pg,0.003893146
__REFERENCE__,seneca,1.517499e-05
BART,abssentrw,0.0002790037
abssentrw,onmt_pg,0.2834995
abssentrw,seneca,0.630996
BART,onmt_pg,0.01525828
BART,seneca,2.761106e-05
onmt_pg,seneca,0.1424969
__REFERENCE__,abssentrw,5.384053e-07
__REFERENCE__,BART,0.9445548
__REFERENCE__,onmt_pg,0.3335032
__REFERENCE__,seneca,1.982454e-05
BART,abssentrw,5.954214e-06
onmt_pg,abssentrw,2.633643e-06
abssentrw,seneca,0.2132974
BART,onmt_pg,0.3354669
BART,seneca,1.942334e-05
onmt_pg,seneca,0.0008770627
__REFERENCE__,abssentrw,1.021377e-05
__REFERENCE__,BART,0.2344293
__REFERENCE__,onmt_pg,0.1228671
__REFERENCE__,seneca,2.33991e-06
BART,abssentrw,0.01323843
onmt_pg,abssentrw,0.01296435
abssentrw,seneca,0.8376856
BART,onmt_pg,0.7656432
BART,seneca,5.424436e-05
onmt_pg,seneca,0.0002379476
__REFERENCE__,abssentrw,2.02796e-08
__REFERENCE__,BART,0.0880805
