,,p_value
__REFERENCE__,abssentrw,2.205043e-06
__REFERENCE__,BART,5.768243e-05
__REFERENCE__,onmt_pg,4.673996e-08
__REFERENCE__,seneca,6.207607e-18
BART,abssentrw,0.004474041
onmt_pg,abssentrw,0.02255908
abssentrw,seneca,0.7674347
BART,onmt_pg,0.06172056
BART,seneca,5.01481e-06
onmt_pg,seneca,0.0004442874
__REFERENCE__,abssentrw,2.549567e-06
__REFERENCE__,BART,0.000497842
__REFERENCE__,onmt_pg,0.000601306
__REFERENCE__,seneca,5.408147e-09
BART,abssentrw,0.0004814821
onmt_pg,abssentrw,0.001316826
abssentrw,seneca,0.07976158
BART,onmt_pg,0.9348802
BART,seneca,3.965246e-05
onmt_pg,seneca,0.0001987526
__REFERENCE__,abssentrw,1.0
__REFERENCE__,BART,1.0
__REFERENCE__,onmt_pg,1.0
__REFERENCE__,seneca,1.0
abssentrw,BART,1.0
abssentrw,onmt_pg,1.0
abssentrw,seneca,1.0
BART,onmt_pg,1.0
BART,seneca,1.0
onmt_pg,seneca,1.0
__REFERENCE__,abssentrw,0.00334876
__REFERENCE__,BART,0.1610131
__REFERENCE__,onmt_pg,0.3932443
__REFERENCE__,seneca,0.0001442416
BART,abssentrw,0.026815
onmt_pg,abssentrw,0.02340493
abssentrw,seneca,0.545409
BART,onmt_pg,0.6996349
BART,seneca,0.0004582254
onmt_pg,seneca,1.33714e-05
__REFERENCE__,abssentrw,4.361438e-10
__REFERENCE__,BART,0.0003146972
__REFERENCE__,onmt_pg,4.513915e-09
__REFERENCE__,seneca,1.713151e-12
BART,abssentrw,1.300144e-05
onmt_pg,abssentrw,0.002248765
abssentrw,seneca,0.1800704
BART,onmt_pg,0.04193388
BART,seneca,1.476933e-05
onmt_pg,seneca,0.009864205
__REFERENCE__,abssentrw,1.0
__REFERENCE__,BART,1.0
__REFERENCE__,onmt_pg,1.0
__REFERENCE__,seneca,1.0
abssentrw,BART,1.0
abssentrw,onmt_pg,1.0
abssentrw,seneca,1.0
BART,onmt_pg,1.0
BART,seneca,1.0
onmt_pg,seneca,1.0
__REFERENCE__,abssentrw,5.192685e-10
__REFERENCE__,BART,0.0005412115
__REFERENCE__,onmt_pg,0.006620662
__REFERENCE__,seneca,8.406636e-13
BART,abssentrw,0.00032735
onmt_pg,abssentrw,0.0003151804
abssentrw,seneca,0.2115136
BART,onmt_pg,0.88911
BART,seneca,7.741116e-05
onmt_pg,seneca,5.794987e-05
__REFERENCE__,abssentrw,1.603499e-07
__REFERENCE__,BART,0.05361423
__REFERENCE__,onmt_pg,0.00037399
__REFERENCE__,seneca,2.752585e-05
BART,abssentrw,0.0006373599
onmt_pg,abssentrw,0.001032269
abssentrw,seneca,0.1441685
BART,onmt_pg,0.09198498
BART,seneca,0.005522172
onmt_pg,seneca,0.1055695
__REFERENCE__,abssentrw,9.087307e-10
__REFERENCE__,BART,0.02737228
__REFERENCE__,onmt_pg,0.01856945
__REFERENCE__,seneca,1.894662e-07
BART,abssentrw,1.088154e-08
onmt_pg,abssentrw,1.233881e-08
seneca,abssentrw,0.0287925
BART,onmt_pg,0.363816
BART,seneca,0.0006056072
onmt_pg,seneca,0.003134865
__REFERENCE__,abssentrw,5.76373e-10
__REFERENCE__,BART,0.264949
__REFERENCE__,onmt_pg,0.0002189845
__REFERENCE__,seneca,5.953491e-09
BART,abssentrw,2.09236e-06
onmt_pg,abssentrw,1.123061e-05
abssentrw,seneca,0.2115953
BART,onmt_pg,0.0125329
BART,seneca,1.027429e-07
onmt_pg,seneca,2.036863e-05
__REFERENCE__,abssentrw,2.616206e-11
__REFERENCE__,BART,0.1020878
__REFERENCE__,onmt_pg,0.0004511772
__REFERENCE__,seneca,0.0002123073
BART,abssentrw,9.916066e-06
onmt_pg,abssentrw,3.117372e-05
seneca,abssentrw,0.0006409527
BART,onmt_pg,0.16706
BART,seneca,0.0671406
onmt_pg,seneca,0.3058082
__REFERENCE__,abssentrw,2.186127e-07
