,,p_value
__REFERENCE__,abssentrw,0.3693493
BART,__REFERENCE__,3.43142e-23
onmt_pg,__REFERENCE__,0.0001808659
__REFERENCE__,seneca,7.8145e-10
BART,abssentrw,2.947065e-18
onmt_pg,abssentrw,2.986094e-06
abssentrw,seneca,3.744915e-06
BART,onmt_pg,1.082663e-09
BART,seneca,1.192523e-47
onmt_pg,seneca,1.106898e-20
__REFERENCE__,abssentrw,0.762585
BART,__REFERENCE__,3.448561e-12
onmt_pg,__REFERENCE__,0.001146713
__REFERENCE__,seneca,1.438532e-08
BART,abssentrw,8.287564e-09
onmt_pg,abssentrw,0.0005915326
abssentrw,seneca,4.9302e-08
BART,onmt_pg,5.823144e-05
BART,seneca,3.599292e-30
onmt_pg,seneca,3.207206e-19
__REFERENCE__,abssentrw,0.4158019
BART,__REFERENCE__,5.28182e-12
onmt_pg,__REFERENCE__,0.0002197648
__REFERENCE__,seneca,4.816764e-09
BART,abssentrw,5.091816e-13
onmt_pg,abssentrw,2.773121e-05
abssentrw,seneca,3.7739e-06
BART,onmt_pg,0.000392
BART,seneca,2.631676e-31
onmt_pg,seneca,1.403739e-18
__REFERENCE__,abssentrw,0.4492358
BART,__REFERENCE__,4.154731e-10
onmt_pg,__REFERENCE__,5.334355e-06
__REFERENCE__,seneca,4.268739e-12
BART,abssentrw,1.169198e-10
onmt_pg,abssentrw,4.855777e-07
abssentrw,seneca,1.164653e-07
BART,onmt_pg,0.002968909
BART,seneca,2.475135e-32
onmt_pg,seneca,4.257957e-24
__REFERENCE__,abssentrw,0.05181307
BART,__REFERENCE__,4.346583e-13
onmt_pg,__REFERENCE__,0.0002919489
__REFERENCE__,seneca,9.187243e-08
BART,abssentrw,8.618146e-21
onmt_pg,abssentrw,1.796033e-09
abssentrw,seneca,0.0001530637
BART,onmt_pg,3.26715e-05
BART,seneca,9.701689e-32
onmt_pg,seneca,2.234398e-22
__REFERENCE__,abssentrw,0.3991673
BART,__REFERENCE__,1.995794e-12
onmt_pg,__REFERENCE__,6.698619e-05
__REFERENCE__,seneca,3.749678e-07
BART,abssentrw,1.192361e-11
onmt_pg,abssentrw,3.821704e-07
abssentrw,seneca,7.891168e-05
BART,onmt_pg,0.005316951
BART,seneca,7.454738e-27
onmt_pg,seneca,8.614592e-22
__REFERENCE__,abssentrw,0.2777336
BART,__REFERENCE__,4.252367e-11
onmt_pg,__REFERENCE__,7.26123e-06
__REFERENCE__,seneca,6.842835e-06
BART,abssentrw,1.245844e-12
onmt_pg,abssentrw,2.666814e-08
abssentrw,seneca,0.004042606
BART,onmt_pg,0.02318425
BART,seneca,2.602884e-21
onmt_pg,seneca,1.256606e-12
__REFERENCE__,abssentrw,0.6748646
BART,__REFERENCE__,7.713282e-08
onmt_pg,__REFERENCE__,2.26221e-05
__REFERENCE__,seneca,2.696275e-06
BART,abssentrw,1.134071e-06
onmt_pg,abssentrw,0.0001642404
abssentrw,seneca,2.302103e-06
BART,onmt_pg,0.08810112
BART,seneca,4.366529e-17
onmt_pg,seneca,5.01716e-17
__REFERENCE__,abssentrw,0.001816933
BART,__REFERENCE__,1.150008e-07
__REFERENCE__,onmt_pg,0.0517556
__REFERENCE__,seneca,1.351759e-11
BART,abssentrw,2.793765e-17
onmt_pg,abssentrw,1.850819e-09
abssentrw,seneca,0.0001053595
BART,onmt_pg,0.001143524
BART,seneca,2.032589e-31
onmt_pg,seneca,2.102426e-15
__REFERENCE__,abssentrw,0.5483071
BART,__REFERENCE__,2.608961e-11
onmt_pg,__REFERENCE__,0.03804434
__REFERENCE__,seneca,1.178502e-06
BART,abssentrw,6.183276e-12
onmt_pg,abssentrw,0.001813696
abssentrw,seneca,1.318556e-05
BART,onmt_pg,3.797023e-07
BART,seneca,9.045932e-26
onmt_pg,seneca,2.417883e-10
__REFERENCE__,abssentrw,1.0
__REFERENCE__,BART,1.0
__REFERENCE__,onmt_pg,1.0
__REFERENCE__,seneca,1.0
abssentrw,BART,1.0
abssentrw,onmt_pg,1.0
abssentrw,seneca,1.0
BART,onmt_pg,1.0
BART,seneca,1.0
onmt_pg,seneca,1.0
__REFERENCE__,abssentrw,0.02209759
BART,__REFERENCE__,2.163538e-14
onmt_pg,__REFERENCE__,0.0004514006
__REFERENCE__,seneca,3.223483e-06
BART,abssentrw,2.653598e-24
onmt_pg,abssentrw,4.915979e-09
abssentrw,seneca,0.04839417
BART,onmt_pg,1.967926e-07
BART,seneca,7.619536e-27
onmt_pg,seneca,1.151872e-11
__REFERENCE__,abssentrw,0.2697654
BART,__REFERENCE__,2.497068e-09
__REFERENCE__,onmt_pg,0.08493069
__REFERENCE__,seneca,1.129671e-12
BART,abssentrw,3.832497e-12
onmt_pg,abssentrw,0.003695535
abssentrw,seneca,4.352697e-07
