,,p_value
__REFERENCE__,abssentrw,0.3483458
BART,__REFERENCE__,3.259515e-11
onmt_pg,__REFERENCE__,0.0002002621
__REFERENCE__,seneca,2.104377e-12
BART,abssentrw,3.360791e-11
onmt_pg,abssentrw,0.000175436
abssentrw,seneca,4.898006e-06
BART,onmt_pg,0.0032358
BART,seneca,2.696744e-31
onmt_pg,seneca,8.061699e-18
__REFERENCE__,abssentrw,0.0148756
BART,__REFERENCE__,8.599676e-10
onmt_pg,__REFERENCE__,0.000198721
__REFERENCE__,seneca,3.018287e-14
BART,abssentrw,1.402913e-15
onmt_pg,abssentrw,1.287285e-10
abssentrw,seneca,4.515284e-07
BART,onmt_pg,0.007148052
BART,seneca,7.214928e-46
onmt_pg,seneca,9.611093e-31
__REFERENCE__,abssentrw,0.4684138
BART,__REFERENCE__,1.565601e-16
onmt_pg,__REFERENCE__,1.00657e-07
__REFERENCE__,seneca,2.387684e-05
BART,abssentrw,1.569904e-14
onmt_pg,abssentrw,3.214439e-08
abssentrw,seneca,0.006988992
BART,onmt_pg,0.002492131
BART,seneca,8.119072e-31
onmt_pg,seneca,1.317242e-16
__REFERENCE__,abssentrw,0.03725867
BART,__REFERENCE__,8.698644e-15
onmt_pg,__REFERENCE__,0.0007340482
__REFERENCE__,seneca,7.521521e-09
BART,abssentrw,2.247398e-19
onmt_pg,abssentrw,2.941639e-08
abssentrw,seneca,0.001964924
BART,onmt_pg,2.645013e-06
BART,seneca,1.011094e-37
onmt_pg,seneca,5.159256e-16
__REFERENCE__,abssentrw,0.1447709
BART,__REFERENCE__,1.788892e-13
onmt_pg,__REFERENCE__,0.004027194
__REFERENCE__,seneca,5.214945e-09
BART,abssentrw,9.237098e-16
onmt_pg,abssentrw,5.204011e-05
abssentrw,seneca,0.0007919663
BART,onmt_pg,3.470625e-06
BART,seneca,1.297688e-37
onmt_pg,seneca,5.604829e-18
__REFERENCE__,abssentrw,0.21374
BART,__REFERENCE__,3.503054e-17
onmt_pg,__REFERENCE__,7.885248e-06
__REFERENCE__,seneca,6.183256e-15
BART,abssentrw,1.608238e-18
onmt_pg,abssentrw,3.533546e-09
abssentrw,seneca,1.838136e-09
BART,onmt_pg,2.474585e-05
BART,seneca,9.379379e-59
onmt_pg,seneca,1.010564e-31
__REFERENCE__,abssentrw,0.1129792
BART,__REFERENCE__,1.859633e-11
onmt_pg,__REFERENCE__,1.838872e-05
__REFERENCE__,seneca,7.035529e-09
BART,abssentrw,3.868803e-16
onmt_pg,abssentrw,2.895794e-08
abssentrw,seneca,5.06486e-05
BART,onmt_pg,0.002013206
BART,seneca,3.579409e-41
onmt_pg,seneca,3.346566e-22
__REFERENCE__,abssentrw,0.003448195
BART,__REFERENCE__,1.567586e-12
onmt_pg,__REFERENCE__,0.000692607
__REFERENCE__,seneca,1.717378e-05
BART,abssentrw,2.600708e-22
onmt_pg,abssentrw,1.745123e-11
abssentrw,seneca,0.1103115
BART,onmt_pg,0.0005941543
BART,seneca,3.946857e-28
onmt_pg,seneca,8.357782e-11
__REFERENCE__,abssentrw,0.6696272
BART,__REFERENCE__,1.96508e-16
onmt_pg,__REFERENCE__,2.39677e-05
__REFERENCE__,seneca,1.632566e-08
BART,abssentrw,3.278154e-18
onmt_pg,abssentrw,1.101166e-05
abssentrw,seneca,0.0002359194
BART,onmt_pg,1.547977e-05
BART,seneca,4.516539e-30
onmt_pg,seneca,2.841712e-16
__REFERENCE__,abssentrw,0.04283103
BART,__REFERENCE__,3.165047e-10
onmt_pg,__REFERENCE__,8.259138e-07
__REFERENCE__,seneca,2.553515e-11
BART,abssentrw,1.580738e-10
onmt_pg,abssentrw,1.012857e-10
abssentrw,seneca,0.000423504
BART,onmt_pg,0.1622782
BART,seneca,1.089743e-37
onmt_pg,seneca,2.20961e-24
__REFERENCE__,abssentrw,0.1575259
BART,__REFERENCE__,4.937189e-16
onmt_pg,__REFERENCE__,0.0008562918
__REFERENCE__,seneca,2.381008e-08
BART,abssentrw,2.702234e-14
onmt_pg,abssentrw,5.823829e-06
abssentrw,seneca,0.002662584
BART,onmt_pg,7.043495e-06
BART,seneca,3.037367e-40
onmt_pg,seneca,7.211162e-15
__REFERENCE__,abssentrw,0.6056798
BART,__REFERENCE__,1.551407e-15
onmt_pg,__REFERENCE__,7.042988e-08
__REFERENCE__,seneca,1.779162e-06
BART,abssentrw,3.386942e-16
onmt_pg,abssentrw,2.293591e-09
abssentrw,seneca,0.0007821105
BART,onmt_pg,0.0005037281
BART,seneca,5.287179e-37
onmt_pg,seneca,3.706943e-20
__REFERENCE__,abssentrw,0.08408917
BART,__REFERENCE__,1.821141e-17
onmt_pg,__REFERENCE__,1.645845e-07
__REFERENCE__,seneca,2.785661e-10
BART,abssentrw,1.139377e-17
onmt_pg,abssentrw,1.305653e-14
abssentrw,seneca,0.0001209027
BART,onmt_pg,0.006820077
BART,seneca,2.133294e-39
onmt_pg,seneca,3.68624e-21
__REFERENCE__,abssentrw,0.2133144
BART,__REFERENCE__,3.833553e-14
onmt_pg,__REFERENCE__,2.593851e-08
__REFERENCE__,seneca,3.567653e-10
BART,abssentrw,1.362644e-21
onmt_pg,abssentrw,4.902063e-12
abssentrw,seneca,6.093264e-05
BART,onmt_pg,0.005217761
BART,seneca,1.190976e-36
onmt_pg,seneca,2.35885e-25
__REFERENCE__,abssentrw,0.2035869
BART,__REFERENCE__,7.785306e-09
onmt_pg,__REFERENCE__,0.01676947
__REFERENCE__,seneca,4.414075e-14
BART,abssentrw,9.99112e-13
onmt_pg,abssentrw,0.0001513964
abssentrw,seneca,7.575922e-10
BART,onmt_pg,0.0002524772
BART,seneca,3.395758e-43
onmt_pg,seneca,4.014298e-19
__REFERENCE__,abssentrw,0.01675134
BART,__REFERENCE__,1.545182e-11
onmt_pg,__REFERENCE__,2.231611e-05
__REFERENCE__,seneca,1.389977e-09
BART,abssentrw,1.098498e-14
onmt_pg,abssentrw,4.238058e-10
abssentrw,seneca,0.001303809
BART,onmt_pg,0.001577074
BART,seneca,1.00403e-32
onmt_pg,seneca,1.861296e-18
__REFERENCE__,abssentrw,0.6723189
BART,__REFERENCE__,1.623293e-13
onmt_pg,__REFERENCE__,2.081447e-07
__REFERENCE__,seneca,3.334062e-10
BART,abssentrw,8.199002e-14
onmt_pg,abssentrw,4.534941e-07
abssentrw,seneca,4.013143e-09
BART,onmt_pg,0.0314369
BART,seneca,2.558685e-42
onmt_pg,seneca,5.751076e-29
__REFERENCE__,abssentrw,0.6322865
BART,__REFERENCE__,3.502456e-11
onmt_pg,__REFERENCE__,0.0002107493
__REFERENCE__,seneca,2.124833e-12
BART,abssentrw,1.031964e-10
onmt_pg,abssentrw,1.953675e-05
abssentrw,seneca,1.764673e-08
BART,onmt_pg,0.003933826
BART,seneca,2.173716e-43
onmt_pg,seneca,1.928053e-23
__REFERENCE__,abssentrw,0.006240638
BART,__REFERENCE__,1.726703e-12
onmt_pg,__REFERENCE__,0.0005539399
__REFERENCE__,seneca,2.904041e-13
BART,abssentrw,4.799158e-21
onmt_pg,abssentrw,9.319617e-11
abssentrw,seneca,7.699622e-05
BART,onmt_pg,2.987163e-05
BART,seneca,4.641539e-44
onmt_pg,seneca,2.494356e-23
__REFERENCE__,abssentrw,0.5975854
BART,__REFERENCE__,2.215087e-19
onmt_pg,__REFERENCE__,3.305106e-08
__REFERENCE__,seneca,2.171936e-06
BART,abssentrw,1.720115e-13
onmt_pg,abssentrw,1.534314e-06
abssentrw,seneca,8.294315e-07
