,,p_value
__REFERENCE__,abssentrw,2.63018e-09
__REFERENCE__,BART,0.02198175
__REFERENCE__,onmt_pg,0.01335557
__REFERENCE__,seneca,3.085797e-07
BART,abssentrw,1.949304e-06
onmt_pg,abssentrw,5.103442e-06
abssentrw,seneca,0.06580463
BART,onmt_pg,0.8589515
BART,seneca,0.000565692
onmt_pg,seneca,0.00126369
__REFERENCE__,abssentrw,3.829121e-12
__REFERENCE__,BART,0.01574932
__REFERENCE__,onmt_pg,0.0005085466
__REFERENCE__,seneca,1.110181e-10
BART,abssentrw,9.321813e-08
onmt_pg,abssentrw,5.230278e-07
abssentrw,seneca,0.07727107
BART,onmt_pg,0.2449651
BART,seneca,5.322368e-05
onmt_pg,seneca,0.008541996
__REFERENCE__,abssentrw,7.545695e-09
__REFERENCE__,BART,0.00782383
__REFERENCE__,onmt_pg,0.0174222
__REFERENCE__,seneca,7.374504e-07
BART,abssentrw,4.241505e-05
onmt_pg,abssentrw,9.6955e-06
seneca,abssentrw,0.01892385
BART,onmt_pg,0.9706703
BART,seneca,0.02955003
onmt_pg,seneca,0.04401164
__REFERENCE__,abssentrw,4.183706e-07
__REFERENCE__,BART,0.1373488
__REFERENCE__,onmt_pg,0.03394725
__REFERENCE__,seneca,1.496255e-08
BART,abssentrw,3.501479e-06
onmt_pg,abssentrw,0.0004515949
abssentrw,seneca,0.4749714
BART,onmt_pg,0.3623949
BART,seneca,1.959992e-05
onmt_pg,seneca,0.004489888
__REFERENCE__,abssentrw,2.144229e-06
__REFERENCE__,BART,0.00248571
__REFERENCE__,onmt_pg,0.003260002
__REFERENCE__,seneca,3.767968e-09
BART,abssentrw,0.01043918
onmt_pg,abssentrw,0.03552319
abssentrw,seneca,0.9715412
BART,onmt_pg,0.8175157
BART,seneca,0.001598306
onmt_pg,seneca,0.005472738
__REFERENCE__,abssentrw,1.897489e-14
__REFERENCE__,BART,0.02087452
__REFERENCE__,onmt_pg,0.002714581
__REFERENCE__,seneca,1.297548e-11
BART,abssentrw,1.120309e-08
onmt_pg,abssentrw,1.631828e-06
abssentrw,seneca,0.9527043
BART,onmt_pg,0.5640025
BART,seneca,2.990319e-09
onmt_pg,seneca,4.804376e-06
__REFERENCE__,abssentrw,3.586767e-10
__REFERENCE__,BART,0.1130684
__REFERENCE__,onmt_pg,0.00309265
__REFERENCE__,seneca,6.41702e-10
BART,abssentrw,9.352035e-08
onmt_pg,abssentrw,1.089461e-07
abssentrw,seneca,0.08766597
BART,onmt_pg,0.1102225
BART,seneca,1.827294e-07
onmt_pg,seneca,2.512411e-05
__REFERENCE__,abssentrw,1.183909e-05
__REFERENCE__,BART,0.9520353
__REFERENCE__,onmt_pg,0.3615105
__REFERENCE__,seneca,0.009364904
BART,abssentrw,9.059349e-05
onmt_pg,abssentrw,1.648818e-05
seneca,abssentrw,0.02672877
BART,onmt_pg,0.3794494
BART,seneca,0.01540077
onmt_pg,seneca,0.04447091
__REFERENCE__,abssentrw,5.722449e-12
__REFERENCE__,BART,0.02830803
__REFERENCE__,onmt_pg,8.018297e-05
__REFERENCE__,seneca,7.43449e-10
BART,abssentrw,4.450901e-06
onmt_pg,abssentrw,0.0005639373
abssentrw,seneca,0.5111032
BART,onmt_pg,0.06824838
BART,seneca,2.387742e-05
onmt_pg,seneca,0.008560849
__REFERENCE__,abssentrw,6.094639e-05
__REFERENCE__,BART,0.6369282
__REFERENCE__,onmt_pg,0.001728773
__REFERENCE__,seneca,1.315197e-06
BART,abssentrw,0.0008210375
abssentrw,onmt_pg,0.06854562
abssentrw,seneca,0.7840949
BART,onmt_pg,0.009237317
BART,seneca,1.386338e-05
onmt_pg,seneca,0.03089611
__REFERENCE__,abssentrw,1.756424e-11
__REFERENCE__,BART,7.760791e-05
__REFERENCE__,onmt_pg,2.515031e-05
__REFERENCE__,seneca,1.146176e-07
BART,abssentrw,6.260694e-05
onmt_pg,abssentrw,5.961638e-05
seneca,abssentrw,0.004606974
BART,onmt_pg,0.5353167
BART,seneca,0.1374636
onmt_pg,seneca,0.3716757
__REFERENCE__,abssentrw,3.332392e-11
__REFERENCE__,BART,0.03577773
__REFERENCE__,onmt_pg,0.06159601
__REFERENCE__,seneca,5.855922e-09
BART,abssentrw,1.976927e-05
onmt_pg,abssentrw,0.0002099818
abssentrw,seneca,0.05373267
BART,onmt_pg,0.9963178
BART,seneca,0.0004208191
onmt_pg,seneca,0.002747981
__REFERENCE__,abssentrw,1.371941e-12
__REFERENCE__,BART,0.01098936
__REFERENCE__,onmt_pg,0.0008900583
__REFERENCE__,seneca,1.611964e-08
BART,abssentrw,4.392827e-06
onmt_pg,abssentrw,0.0001541237
abssentrw,seneca,0.3794729
BART,onmt_pg,0.4944718
BART,seneca,4.759098e-05
onmt_pg,seneca,0.004747849
__REFERENCE__,abssentrw,1.016696e-12
__REFERENCE__,BART,0.3387805
__REFERENCE__,onmt_pg,0.003450542
__REFERENCE__,seneca,7.44681e-09
BART,abssentrw,5.343106e-10
onmt_pg,abssentrw,4.663945e-07
seneca,abssentrw,0.03513528
BART,onmt_pg,0.04910792
BART,seneca,1.653201e-06
onmt_pg,seneca,0.002298767
__REFERENCE__,abssentrw,4.953314e-14
__REFERENCE__,BART,0.004696119
__REFERENCE__,onmt_pg,0.01008932
__REFERENCE__,seneca,7.613901e-08
BART,abssentrw,1.77866e-07
onmt_pg,abssentrw,5.067933e-06
abssentrw,seneca,0.09350237
BART,onmt_pg,0.9870021
BART,seneca,0.0003907224
onmt_pg,seneca,0.0003206358
__REFERENCE__,abssentrw,2.726335e-12
__REFERENCE__,BART,0.03869021
__REFERENCE__,onmt_pg,0.02470626
__REFERENCE__,seneca,9.351626e-06
BART,abssentrw,3.62868e-11
onmt_pg,abssentrw,4.451043e-10
seneca,abssentrw,0.0007604408
BART,onmt_pg,0.7649811
BART,seneca,0.0006042423
onmt_pg,seneca,0.001767509
__REFERENCE__,abssentrw,6.481273e-12
__REFERENCE__,BART,0.09136944
__REFERENCE__,onmt_pg,0.001398676
__REFERENCE__,seneca,1.240436e-10
BART,abssentrw,6.433314e-07
onmt_pg,abssentrw,0.0001654082
abssentrw,seneca,0.4345734
BART,onmt_pg,0.096674
BART,seneca,5.538755e-07
onmt_pg,seneca,0.0006366417
__REFERENCE__,abssentrw,1.902232e-17
__REFERENCE__,BART,0.001461859
__REFERENCE__,onmt_pg,0.004480725
__REFERENCE__,seneca,1.985156e-12
BART,abssentrw,5.191374e-12
onmt_pg,abssentrw,7.365567e-14
seneca,abssentrw,0.0003669944
BART,onmt_pg,0.8198184
BART,seneca,8.274511e-06
onmt_pg,seneca,2.771799e-06
__REFERENCE__,abssentrw,3.101557e-07
__REFERENCE__,BART,0.0541382
__REFERENCE__,onmt_pg,0.0009920679
__REFERENCE__,seneca,4.225203e-08
BART,abssentrw,0.000658499
onmt_pg,abssentrw,0.01124258
abssentrw,seneca,0.7038746
BART,onmt_pg,0.1145843
BART,seneca,2.449427e-05
onmt_pg,seneca,0.002364812
__REFERENCE__,abssentrw,5.365189e-11
__REFERENCE__,BART,0.01443357
__REFERENCE__,onmt_pg,0.01683714
__REFERENCE__,seneca,1.616478e-06
BART,abssentrw,3.007851e-05
onmt_pg,abssentrw,2.01327e-08
abssentrw,seneca,0.1042172
BART,onmt_pg,0.7343218
BART,seneca,0.004404535
onmt_pg,seneca,0.004234046
__REFERENCE__,abssentrw,6.464481e-08
__REFERENCE__,BART,0.08907608
__REFERENCE__,onmt_pg,0.0005321734
__REFERENCE__,seneca,8.356873e-09
BART,abssentrw,0.0002088521
onmt_pg,abssentrw,0.02257315
abssentrw,seneca,0.870506
BART,onmt_pg,0.03732949
BART,seneca,5.008247e-05
onmt_pg,seneca,0.01364811
__REFERENCE__,abssentrw,2.607042e-16
__REFERENCE__,BART,0.4049082
__REFERENCE__,onmt_pg,0.0008564428
__REFERENCE__,seneca,5.182542e-08
BART,abssentrw,1.748892e-09
onmt_pg,abssentrw,4.175093e-07
seneca,abssentrw,0.005786153
BART,onmt_pg,0.02497198
BART,seneca,5.876766e-07
onmt_pg,seneca,0.01124145
__REFERENCE__,abssentrw,1.163521e-07
__REFERENCE__,BART,0.3291959
__REFERENCE__,onmt_pg,0.04910756
__REFERENCE__,seneca,4.80597e-07
BART,abssentrw,2.484805e-06
onmt_pg,abssentrw,1.088372e-05
abssentrw,seneca,0.08513318
BART,onmt_pg,0.3108306
BART,seneca,6.834312e-05
onmt_pg,seneca,0.001610451
__REFERENCE__,abssentrw,3.536171e-08
__REFERENCE__,BART,0.0284481
__REFERENCE__,onmt_pg,0.01241821
__REFERENCE__,seneca,6.107257e-05
BART,abssentrw,0.000112327
onmt_pg,abssentrw,0.0004218529
abssentrw,seneca,0.1918217
BART,onmt_pg,0.5298112
BART,seneca,0.006661543
onmt_pg,seneca,0.02008978
__REFERENCE__,abssentrw,1.260585e-08
__REFERENCE__,BART,0.1646753
__REFERENCE__,onmt_pg,0.02112821
__REFERENCE__,seneca,1.047499e-08
BART,abssentrw,6.598409e-08
onmt_pg,abssentrw,5.084978e-06
abssentrw,seneca,0.3121598
BART,onmt_pg,0.2974113
BART,seneca,2.654254e-05
onmt_pg,seneca,0.0005920087
__REFERENCE__,abssentrw,8.639479e-10
__REFERENCE__,BART,0.1525294
__REFERENCE__,onmt_pg,0.004472246
__REFERENCE__,seneca,5.734618e-08
BART,abssentrw,8.692277e-05
onmt_pg,abssentrw,0.0001824538
abssentrw,seneca,0.3114521
BART,onmt_pg,0.2079432
BART,seneca,4.092837e-05
onmt_pg,seneca,0.0009175738
__REFERENCE__,abssentrw,4.804894e-08
__REFERENCE__,BART,0.6159036
__REFERENCE__,onmt_pg,0.03103379
__REFERENCE__,seneca,3.646241e-07
BART,abssentrw,2.544633e-09
onmt_pg,abssentrw,5.512533e-07
abssentrw,seneca,0.1210794
BART,onmt_pg,0.03749343
BART,seneca,1.263138e-07
onmt_pg,seneca,0.001126327
__REFERENCE__,abssentrw,6.50231e-11
__REFERENCE__,BART,0.006766972
__REFERENCE__,onmt_pg,0.000428833
__REFERENCE__,seneca,4.009474e-14
BART,abssentrw,2.020157e-08
onmt_pg,abssentrw,5.51455e-07
abssentrw,seneca,0.4693825
BART,onmt_pg,0.3760964
BART,seneca,2.907098e-07
onmt_pg,seneca,5.483085e-06
__REFERENCE__,abssentrw,3.07684e-15
__REFERENCE__,BART,0.008298954
__REFERENCE__,onmt_pg,0.001787643
__REFERENCE__,seneca,2.018016e-09
BART,abssentrw,4.323932e-06
onmt_pg,abssentrw,4.156671e-08
abssentrw,seneca,0.05492879
BART,onmt_pg,0.7636951
BART,seneca,5.272106e-05
onmt_pg,seneca,0.0002691422
__REFERENCE__,abssentrw,3.000463e-10
__REFERENCE__,BART,0.04817397
__REFERENCE__,onmt_pg,0.05666501
__REFERENCE__,seneca,1.143433e-07
BART,abssentrw,2.821692e-07
onmt_pg,abssentrw,1.914556e-07
abssentrw,seneca,0.2437165
BART,onmt_pg,0.9490071
BART,seneca,0.000419645
onmt_pg,seneca,8.947006e-05
__REFERENCE__,abssentrw,1.020449e-07
__REFERENCE__,BART,0.2782978
__REFERENCE__,onmt_pg,0.04587891
__REFERENCE__,seneca,2.601414e-06
BART,abssentrw,3.318076e-07
