,,p_value
__REFERENCE__,abssentrw,5.317454e-14
__REFERENCE__,BART,0.02190789
__REFERENCE__,onmt_pg,0.04314051
__REFERENCE__,seneca,1.888987e-10
BART,abssentrw,1.169259e-07
onmt_pg,abssentrw,1.47751e-08
abssentrw,seneca,0.1021907
BART,onmt_pg,0.9956041
BART,seneca,1.859449e-06
onmt_pg,seneca,2.732936e-07
__REFERENCE__,abssentrw,1.577728e-15
__REFERENCE__,BART,0.005201395
__REFERENCE__,onmt_pg,0.0001090751
__REFERENCE__,seneca,1.284671e-11
BART,abssentrw,1.759421e-08
onmt_pg,abssentrw,1.730598e-06
seneca,abssentrw,0.01659657
BART,onmt_pg,0.1586125
BART,seneca,1.01589e-07
onmt_pg,seneca,0.0001522015
__REFERENCE__,abssentrw,2.367243e-11
__REFERENCE__,BART,0.004523772
__REFERENCE__,onmt_pg,0.0017795
__REFERENCE__,seneca,8.084401e-15
BART,abssentrw,4.56721e-06
onmt_pg,abssentrw,4.363759e-06
abssentrw,seneca,0.8661788
BART,onmt_pg,0.8078845
BART,seneca,3.315007e-10
onmt_pg,seneca,9.977208e-08
__REFERENCE__,abssentrw,1.393891e-09
__REFERENCE__,BART,0.05407004
__REFERENCE__,onmt_pg,3.405114e-06
__REFERENCE__,seneca,2.947748e-11
BART,abssentrw,2.562797e-07
onmt_pg,abssentrw,0.0002969232
abssentrw,seneca,0.1443155
BART,onmt_pg,0.004525947
BART,seneca,1.168079e-08
onmt_pg,seneca,0.001395964
__REFERENCE__,abssentrw,1.152999e-15
__REFERENCE__,BART,0.07443299
__REFERENCE__,onmt_pg,0.0009362442
__REFERENCE__,seneca,1.521754e-12
BART,abssentrw,4.717983e-08
onmt_pg,abssentrw,4.998997e-08
abssentrw,seneca,0.1436147
BART,onmt_pg,0.06323422
BART,seneca,7.558172e-08
onmt_pg,seneca,3.856464e-05
__REFERENCE__,abssentrw,2.570241e-11
__REFERENCE__,BART,0.02817183
__REFERENCE__,onmt_pg,0.0003879129
__REFERENCE__,seneca,7.10127e-11
BART,abssentrw,6.893052e-05
onmt_pg,abssentrw,0.0001311323
abssentrw,seneca,0.3646465
BART,onmt_pg,0.2260637
BART,seneca,0.0001331626
onmt_pg,seneca,0.0004192012
__REFERENCE__,abssentrw,1.228072e-21
__REFERENCE__,BART,0.0001169587
__REFERENCE__,onmt_pg,1.087603e-06
__REFERENCE__,seneca,4.364961e-12
BART,abssentrw,4.39476e-11
onmt_pg,abssentrw,1.555592e-08
abssentrw,seneca,0.1108392
BART,onmt_pg,0.1301209
BART,seneca,6.166249e-07
onmt_pg,seneca,0.000713033
__REFERENCE__,abssentrw,1.290126e-11
__REFERENCE__,BART,9.579442e-05
__REFERENCE__,onmt_pg,1.179597e-06
__REFERENCE__,seneca,7.993969e-12
BART,abssentrw,5.535861e-06
onmt_pg,abssentrw,3.922261e-06
abssentrw,seneca,0.06495494
BART,onmt_pg,0.2299707
BART,seneca,6.285713e-06
onmt_pg,seneca,0.0135481
__REFERENCE__,abssentrw,1.161183e-10
__REFERENCE__,BART,0.007252423
__REFERENCE__,onmt_pg,0.02502996
__REFERENCE__,seneca,1.815717e-09
BART,abssentrw,2.546763e-05
onmt_pg,abssentrw,1.701641e-08
abssentrw,seneca,0.07322274
BART,onmt_pg,0.6263101
BART,seneca,7.506786e-05
onmt_pg,seneca,5.431225e-05
__REFERENCE__,abssentrw,4.933899e-15
__REFERENCE__,BART,0.002044371
__REFERENCE__,onmt_pg,0.0003345283
__REFERENCE__,seneca,1.106181e-17
BART,abssentrw,2.703783e-07
onmt_pg,abssentrw,3.377254e-06
abssentrw,seneca,0.1765217
BART,onmt_pg,0.7508904
BART,seneca,1.295492e-06
onmt_pg,seneca,2.771259e-07
__REFERENCE__,abssentrw,6.479587e-10
__REFERENCE__,BART,0.000302753
__REFERENCE__,onmt_pg,0.0003082096
__REFERENCE__,seneca,2.14208e-11
BART,abssentrw,0.0003634427
onmt_pg,abssentrw,0.0001082672
abssentrw,seneca,0.1894128
BART,onmt_pg,0.7558341
BART,seneca,0.0003764949
onmt_pg,seneca,0.0006358601
__REFERENCE__,abssentrw,1.869857e-11
__REFERENCE__,BART,0.001119672
__REFERENCE__,onmt_pg,0.0003121414
__REFERENCE__,seneca,4.5604e-10
BART,abssentrw,3.75755e-05
onmt_pg,abssentrw,7.457826e-06
abssentrw,seneca,0.08622532
BART,onmt_pg,0.4752218
BART,seneca,0.0003958757
onmt_pg,seneca,0.0009480834
__REFERENCE__,abssentrw,2.22919e-09
__REFERENCE__,BART,0.001183234
__REFERENCE__,onmt_pg,0.0003882655
__REFERENCE__,seneca,4.055435e-13
BART,abssentrw,0.000181331
onmt_pg,abssentrw,0.002219808
abssentrw,seneca,0.5600773
BART,onmt_pg,0.5155718
BART,seneca,3.8048e-06
onmt_pg,seneca,0.000833943
__REFERENCE__,abssentrw,3.812054e-15
__REFERENCE__,BART,0.03627166
__REFERENCE__,onmt_pg,0.00106474
__REFERENCE__,seneca,4.226062e-11
BART,abssentrw,1.533181e-10
onmt_pg,abssentrw,1.992127e-09
abssentrw,seneca,0.0619358
BART,onmt_pg,0.1821037
