,,p_value
__REFERENCE__,abssentrw,2.76886e-11
__REFERENCE__,BART,0.03301512
__REFERENCE__,onmt_pg,0.0007002455
__REFERENCE__,seneca,1.522489e-07
BART,abssentrw,8.110264e-07
onmt_pg,abssentrw,1.975545e-05
abssentrw,seneca,0.1282452
BART,onmt_pg,0.1468414
BART,seneca,0.000121908
onmt_pg,seneca,0.01251285
__REFERENCE__,abssentrw,7.575435e-17
__REFERENCE__,BART,0.0004600244
__REFERENCE__,onmt_pg,0.0009418649
__REFERENCE__,seneca,6.793633e-13
BART,abssentrw,6.369857e-06
onmt_pg,abssentrw,7.949419e-08
abssentrw,seneca,0.1154829
BART,onmt_pg,0.6050568
BART,seneca,0.0003161621
onmt_pg,seneca,8.651824e-06
__REFERENCE__,abssentrw,4.755895e-09
__REFERENCE__,BART,0.7490144
__REFERENCE__,onmt_pg,0.02054934
__REFERENCE__,seneca,7.054856e-08
BART,abssentrw,4.748576e-10
onmt_pg,abssentrw,3.685574e-05
abssentrw,seneca,0.3350785
BART,onmt_pg,0.02283686
BART,seneca,5.49721e-08
onmt_pg,seneca,0.0002151653
__REFERENCE__,abssentrw,6.375066e-18
__REFERENCE__,BART,0.07687662
__REFERENCE__,onmt_pg,0.00307452
__REFERENCE__,seneca,9.59093e-10
BART,abssentrw,5.542326e-10
onmt_pg,abssentrw,1.508052e-08
abssentrw,seneca,0.1096615
BART,onmt_pg,0.2593499
BART,seneca,9.936571e-07
onmt_pg,seneca,8.669941e-05
__REFERENCE__,abssentrw,1.000683e-12
__REFERENCE__,BART,0.4188382
__REFERENCE__,onmt_pg,0.0002250528
__REFERENCE__,seneca,5.384892e-12
BART,abssentrw,5.588718e-09
onmt_pg,abssentrw,1.514102e-05
abssentrw,seneca,0.3955068
BART,onmt_pg,0.002892857
BART,seneca,1.923999e-11
onmt_pg,seneca,1.425749e-05
__REFERENCE__,abssentrw,5.430995e-20
__REFERENCE__,BART,0.2067484
__REFERENCE__,onmt_pg,0.004185643
__REFERENCE__,seneca,1.527789e-11
BART,abssentrw,2.239753e-19
onmt_pg,abssentrw,4.423524e-13
seneca,abssentrw,0.003153794
BART,onmt_pg,0.06859006
BART,seneca,6.944873e-10
onmt_pg,seneca,4.501299e-06
__REFERENCE__,abssentrw,3.868034e-16
__REFERENCE__,BART,0.005399834
__REFERENCE__,onmt_pg,1.120454e-07
__REFERENCE__,seneca,5.889937e-14
BART,abssentrw,9.335457e-08
onmt_pg,abssentrw,5.26626e-05
seneca,abssentrw,0.03647757
BART,onmt_pg,0.01279945
BART,seneca,2.860748e-06
onmt_pg,seneca,0.01161766
__REFERENCE__,abssentrw,7.077444e-10
__REFERENCE__,BART,0.04470359
__REFERENCE__,onmt_pg,0.007768837
__REFERENCE__,seneca,4.875804e-10
BART,abssentrw,1.697643e-05
onmt_pg,abssentrw,0.0001850443
abssentrw,seneca,0.9485663
BART,onmt_pg,0.4258152
BART,seneca,3.835626e-07
onmt_pg,seneca,6.560209e-06
__REFERENCE__,abssentrw,6.311208e-20
__REFERENCE__,BART,0.004815444
__REFERENCE__,onmt_pg,4.388262e-05
__REFERENCE__,seneca,1.547066e-17
BART,abssentrw,1.454617e-09
onmt_pg,abssentrw,1.191653e-08
abssentrw,seneca,0.2003531
BART,onmt_pg,0.2694094
BART,seneca,2.234117e-08
onmt_pg,seneca,1.361971e-06
__REFERENCE__,abssentrw,1.105236e-13
__REFERENCE__,BART,0.005211862
__REFERENCE__,onmt_pg,4.674576e-06
__REFERENCE__,seneca,1.074525e-12
BART,abssentrw,1.34141e-07
onmt_pg,abssentrw,0.000743175
abssentrw,seneca,0.6644983
BART,onmt_pg,0.04057103
BART,seneca,4.784954e-07
onmt_pg,seneca,0.002073513
__REFERENCE__,abssentrw,2.106095e-15
__REFERENCE__,BART,0.005826335
__REFERENCE__,onmt_pg,5.919931e-05
__REFERENCE__,seneca,4.248608e-13
BART,abssentrw,1.239495e-10
onmt_pg,abssentrw,1.177711e-08
abssentrw,seneca,0.1171798
BART,onmt_pg,0.143874
BART,seneca,4.940192e-08
onmt_pg,seneca,6.717175e-05
__REFERENCE__,abssentrw,2.854368e-17
__REFERENCE__,BART,0.01403257
__REFERENCE__,onmt_pg,1.492429e-05
__REFERENCE__,seneca,6.939603e-13
BART,abssentrw,9.262279e-12
onmt_pg,abssentrw,5.283484e-08
seneca,abssentrw,0.005856
BART,onmt_pg,0.04075141
BART,seneca,6.395548e-07
onmt_pg,seneca,0.002860997
__REFERENCE__,abssentrw,2.553834e-16
__REFERENCE__,BART,0.08964049
__REFERENCE__,onmt_pg,0.0005845736
__REFERENCE__,seneca,6.396064e-15
BART,abssentrw,1.311065e-09
onmt_pg,abssentrw,1.045064e-06
abssentrw,seneca,0.4495927
BART,onmt_pg,0.08850019
BART,seneca,9.64535e-09
onmt_pg,seneca,3.957847e-06
__REFERENCE__,abssentrw,1.015484e-16
__REFERENCE__,BART,0.0001094176
__REFERENCE__,onmt_pg,1.615383e-05
__REFERENCE__,seneca,8.065937e-12
BART,abssentrw,1.041088e-06
onmt_pg,abssentrw,4.28219e-06
abssentrw,seneca,0.2388013
BART,onmt_pg,0.5721124
