,,p_value
__REFERENCE__,abssentrw,0.003168745
__REFERENCE__,BART,0.4826296
__REFERENCE__,onmt_pg,0.6690085
__REFERENCE__,seneca,0.1157542
abssentrw,BART,0.08660844
onmt_pg,abssentrw,0.008871506
abssentrw,seneca,0.4230393
BART,onmt_pg,0.5715764
BART,seneca,0.1224142
onmt_pg,seneca,0.01871001
__REFERENCE__,abssentrw,1.0
__REFERENCE__,BART,1.0
__REFERENCE__,onmt_pg,1.0
__REFERENCE__,seneca,1.0
abssentrw,BART,1.0
abssentrw,onmt_pg,1.0
abssentrw,seneca,1.0
BART,onmt_pg,1.0
BART,seneca,1.0
onmt_pg,seneca,1.0
__REFERENCE__,abssentrw,0.6760074
__REFERENCE__,BART,0.06823076
__REFERENCE__,onmt_pg,0.9238025
__REFERENCE__,seneca,0.3473792
abssentrw,BART,0.06951264
abssentrw,onmt_pg,0.5278827
abssentrw,seneca,0.03201577
BART,onmt_pg,0.01742395
BART,seneca,0.003911256
onmt_pg,seneca,0.157005
abssentrw,__REFERENCE__,0.003683283
BART,__REFERENCE__,0.01902476
onmt_pg,__REFERENCE__,0.006263166
seneca,__REFERENCE__,0.04694441
abssentrw,BART,0.153048
abssentrw,onmt_pg,0.4159178
abssentrw,seneca,0.5410777
BART,onmt_pg,0.147287
BART,seneca,0.05809131
onmt_pg,seneca,0.07828662
__REFERENCE__,abssentrw,0.4901408
__REFERENCE__,BART,0.1057693
__REFERENCE__,onmt_pg,0.752887
__REFERENCE__,seneca,0.04943457
abssentrw,BART,0.1228716
abssentrw,onmt_pg,0.4170507
abssentrw,seneca,0.1681968
BART,onmt_pg,0.1169182
BART,seneca,0.001639464
onmt_pg,seneca,0.03041874
__REFERENCE__,abssentrw,0.5274017
BART,__REFERENCE__,0.0005492287
__REFERENCE__,onmt_pg,0.1134908
__REFERENCE__,seneca,0.8451917
BART,abssentrw,0.04574738
abssentrw,onmt_pg,0.5912444
abssentrw,seneca,0.6760563
BART,onmt_pg,0.07277456
BART,seneca,0.003544862
onmt_pg,seneca,0.3959895
__REFERENCE__,abssentrw,0.8405741
__REFERENCE__,BART,0.4064161
__REFERENCE__,onmt_pg,0.3388
__REFERENCE__,seneca,0.4964725
abssentrw,BART,0.5104669
abssentrw,onmt_pg,0.519658
abssentrw,seneca,0.4901299
BART,onmt_pg,0.8636056
BART,seneca,0.1698936
onmt_pg,seneca,0.1064093
__REFERENCE__,abssentrw,0.4832281
__REFERENCE__,BART,0.6045248
__REFERENCE__,onmt_pg,0.8165606
__REFERENCE__,seneca,0.545889
abssentrw,BART,0.3708288
abssentrw,onmt_pg,0.644387
abssentrw,seneca,0.9033257
BART,onmt_pg,0.3754296
BART,seneca,0.2426488
onmt_pg,seneca,0.6504267
__REFERENCE__,abssentrw,1.0
__REFERENCE__,BART,1.0
__REFERENCE__,onmt_pg,1.0
__REFERENCE__,seneca,1.0
abssentrw,BART,1.0
abssentrw,onmt_pg,1.0
abssentrw,seneca,1.0
BART,onmt_pg,1.0
BART,seneca,1.0
onmt_pg,seneca,1.0
__REFERENCE__,abssentrw,1.0
__REFERENCE__,BART,1.0
__REFERENCE__,onmt_pg,1.0
__REFERENCE__,seneca,1.0
abssentrw,BART,1.0
abssentrw,onmt_pg,1.0
abssentrw,seneca,1.0
BART,onmt_pg,1.0
BART,seneca,1.0
onmt_pg,seneca,1.0
__REFERENCE__,abssentrw,0.7973386
BART,__REFERENCE__,0.01459976
__REFERENCE__,onmt_pg,0.5144705
__REFERENCE__,seneca,0.06139315
BART,abssentrw,0.00472392
abssentrw,onmt_pg,0.6020355
abssentrw,seneca,0.01686415
BART,onmt_pg,0.01195522
BART,seneca,4.685345e-06
onmt_pg,seneca,0.0009335499
__REFERENCE__,abssentrw,0.4209247
__REFERENCE__,BART,0.1994359
__REFERENCE__,onmt_pg,0.5247082
__REFERENCE__,seneca,0.0009377676
abssentrw,BART,0.0709492
abssentrw,onmt_pg,0.7969549
abssentrw,seneca,0.01416233
BART,onmt_pg,0.1790157
BART,seneca,1.07237e-06
onmt_pg,seneca,0.02951729
__REFERENCE__,abssentrw,0.9789877
__REFERENCE__,BART,0.2494381
__REFERENCE__,onmt_pg,0.6484182
__REFERENCE__,seneca,6.330703e-05
abssentrw,BART,0.4539073
abssentrw,onmt_pg,0.5701592
abssentrw,seneca,0.01285967
BART,onmt_pg,0.8431118
BART,seneca,8.311767e-05
onmt_pg,seneca,0.00119908
__REFERENCE__,abssentrw,0.967355
