,,p_value
__REFERENCE__,abssentrw,0.8526965
BART,__REFERENCE__,2.025087e-07
onmt_pg,__REFERENCE__,0.0005398318
__REFERENCE__,seneca,4.18884e-05
BART,abssentrw,7.232967e-09
onmt_pg,abssentrw,0.0002220166
abssentrw,seneca,8.070506e-05
BART,onmt_pg,0.003126342
BART,seneca,2.273386e-25
onmt_pg,seneca,2.726532e-16
__REFERENCE__,abssentrw,0.3495525
BART,__REFERENCE__,2.958123e-08
onmt_pg,__REFERENCE__,0.005056508
__REFERENCE__,seneca,4.949055e-06
BART,abssentrw,8.732869e-08
onmt_pg,abssentrw,0.001069896
abssentrw,seneca,0.005201359
BART,onmt_pg,0.0004927543
BART,seneca,3.016788e-20
onmt_pg,seneca,1.313156e-12
__REFERENCE__,abssentrw,0.2613169
BART,__REFERENCE__,5.680984e-06
__REFERENCE__,onmt_pg,0.0852871
__REFERENCE__,seneca,1.99772e-09
BART,abssentrw,2.611455e-07
onmt_pg,abssentrw,0.005671985
abssentrw,seneca,1.272319e-05
BART,onmt_pg,0.0002438319
BART,seneca,7.074078e-21
onmt_pg,seneca,1.926589e-17
__REFERENCE__,abssentrw,0.04981815
BART,__REFERENCE__,1.709254e-10
onmt_pg,__REFERENCE__,3.91599e-05
__REFERENCE__,seneca,1.026149e-05
BART,abssentrw,3.259104e-13
onmt_pg,abssentrw,6.914879e-11
abssentrw,seneca,0.03506092
BART,onmt_pg,0.003019528
BART,seneca,1.721781e-30
onmt_pg,seneca,9.358028e-18
__REFERENCE__,abssentrw,0.1166789
BART,__REFERENCE__,6.828359e-15
onmt_pg,__REFERENCE__,0.0001504846
__REFERENCE__,seneca,6.288388e-06
BART,abssentrw,1.772325e-14
onmt_pg,abssentrw,6.714167e-09
abssentrw,seneca,0.001930545
BART,onmt_pg,0.0001197415
BART,seneca,1.729737e-30
onmt_pg,seneca,1.447229e-17
__REFERENCE__,abssentrw,0.09115173
BART,__REFERENCE__,3.346309e-11
onmt_pg,__REFERENCE__,0.0003010931
__REFERENCE__,seneca,4.987339e-06
BART,abssentrw,2.473829e-16
onmt_pg,abssentrw,2.068953e-08
abssentrw,seneca,0.01974598
BART,onmt_pg,0.001017871
BART,seneca,6.495207e-28
onmt_pg,seneca,1.393057e-13
__REFERENCE__,abssentrw,0.01882925
BART,__REFERENCE__,6.134775e-09
onmt_pg,__REFERENCE__,0.000934839
__REFERENCE__,seneca,2.010943e-08
BART,abssentrw,3.788387e-15
onmt_pg,abssentrw,1.975327e-06
abssentrw,seneca,7.929944e-05
BART,onmt_pg,0.001693911
BART,seneca,1.911664e-29
onmt_pg,seneca,1.353899e-15
__REFERENCE__,abssentrw,0.02341927
BART,__REFERENCE__,4.316294e-10
__REFERENCE__,onmt_pg,0.102941
__REFERENCE__,seneca,6.015108e-09
BART,abssentrw,2.497689e-18
onmt_pg,abssentrw,7.652263e-05
abssentrw,seneca,0.001202552
BART,onmt_pg,2.12634e-06
BART,seneca,4.58986e-41
onmt_pg,seneca,5.37537e-16
__REFERENCE__,abssentrw,0.4995054
BART,__REFERENCE__,5.563755e-07
onmt_pg,__REFERENCE__,0.0006276214
__REFERENCE__,seneca,1.704067e-08
BART,abssentrw,7.124951e-09
onmt_pg,abssentrw,0.0001142913
abssentrw,seneca,2.497055e-05
BART,onmt_pg,0.01678347
BART,seneca,1.479857e-26
onmt_pg,seneca,1.472249e-23
__REFERENCE__,abssentrw,0.001423316
BART,__REFERENCE__,4.829943e-11
onmt_pg,__REFERENCE__,8.612485e-06
__REFERENCE__,seneca,6.570134e-08
BART,abssentrw,5.426793e-20
