,,p_value
__REFERENCE__,abssentrw,0.3342528
BART,__REFERENCE__,0.003454911
onmt_pg,__REFERENCE__,0.0146358
__REFERENCE__,seneca,0.1537692
BART,abssentrw,1.633536e-05
onmt_pg,abssentrw,0.001925921
abssentrw,seneca,0.4493404
BART,onmt_pg,0.2419825
BART,seneca,2.059785e-08
onmt_pg,seneca,0.0005880711
__REFERENCE__,abssentrw,0.7171022
__REFERENCE__,BART,0.1203681
__REFERENCE__,onmt_pg,0.07752662
__REFERENCE__,seneca,0.0001280694
abssentrw,BART,0.06720016
abssentrw,onmt_pg,0.05158334
abssentrw,seneca,0.001043581
BART,onmt_pg,0.9784985
BART,seneca,4.531043e-09
onmt_pg,seneca,8.702646e-10
__REFERENCE__,abssentrw,1.0
__REFERENCE__,BART,1.0
__REFERENCE__,onmt_pg,1.0
__REFERENCE__,seneca,1.0
abssentrw,BART,1.0
abssentrw,onmt_pg,1.0
abssentrw,seneca,1.0
BART,onmt_pg,1.0
BART,seneca,1.0
onmt_pg,seneca,1.0
__REFERENCE__,abssentrw,0.2647666
BART,__REFERENCE__,0.0003458979
onmt_pg,__REFERENCE__,0.01164269
__REFERENCE__,seneca,1.113179e-06
BART,abssentrw,9.156962e-06
onmt_pg,abssentrw,8.180822e-05
abssentrw,seneca,7.488702e-05
BART,onmt_pg,0.3000841
BART,seneca,2.938756e-14
onmt_pg,seneca,9.918063e-13
__REFERENCE__,abssentrw,0.870231
BART,__REFERENCE__,0.006235945
__REFERENCE__,onmt_pg,0.05282375
__REFERENCE__,seneca,4.15866e-08
BART,abssentrw,0.005397271
abssentrw,onmt_pg,0.1073997
abssentrw,seneca,1.043593e-05
BART,onmt_pg,0.3446994
BART,seneca,4.658812e-17
onmt_pg,seneca,1.303283e-11
__REFERENCE__,abssentrw,0.9389217
BART,__REFERENCE__,0.01707856
__REFERENCE__,onmt_pg,0.1365272
__REFERENCE__,seneca,0.0005248438
BART,abssentrw,0.01014347
abssentrw,onmt_pg,0.2568814
abssentrw,seneca,0.004005229
BART,onmt_pg,0.1540951
BART,seneca,5.065341e-09
onmt_pg,seneca,4.484916e-06
__REFERENCE__,abssentrw,0.3132778
BART,__REFERENCE__,1.760261e-06
onmt_pg,__REFERENCE__,0.0003493547
__REFERENCE__,seneca,0.0141755
BART,abssentrw,1.434404e-08
onmt_pg,abssentrw,4.197257e-05
abssentrw,seneca,0.1378762
BART,onmt_pg,0.1924711
BART,seneca,1.492992e-08
onmt_pg,seneca,5.880683e-07
__REFERENCE__,abssentrw,0.009559092
BART,__REFERENCE__,0.01828062
__REFERENCE__,onmt_pg,0.08663967
__REFERENCE__,seneca,0.003546084
BART,abssentrw,2.42852e-05
onmt_pg,abssentrw,9.378957e-05
abssentrw,seneca,0.2750963
BART,onmt_pg,0.4300053
BART,seneca,2.532385e-08
onmt_pg,seneca,2.212611e-06
__REFERENCE__,abssentrw,0.3994837
BART,__REFERENCE__,0.0002250592
onmt_pg,__REFERENCE__,0.003668429
__REFERENCE__,seneca,0.002522905
BART,abssentrw,1.098162e-05
onmt_pg,abssentrw,0.002041823
abssentrw,seneca,0.08773914
BART,onmt_pg,0.1996384
BART,seneca,1.440104e-08
onmt_pg,seneca,6.313296e-08
__REFERENCE__,abssentrw,0.8998255
BART,__REFERENCE__,0.0003324965
onmt_pg,__REFERENCE__,0.01954701
__REFERENCE__,seneca,0.002594412
BART,abssentrw,0.000108353
onmt_pg,abssentrw,0.01266481
abssentrw,seneca,0.00161309
BART,onmt_pg,0.1403828
BART,seneca,2.165058e-10
onmt_pg,seneca,7.116451e-07
__REFERENCE__,abssentrw,1.0
__REFERENCE__,BART,1.0
__REFERENCE__,onmt_pg,1.0
__REFERENCE__,seneca,1.0
abssentrw,BART,1.0
abssentrw,onmt_pg,1.0
abssentrw,seneca,1.0
BART,onmt_pg,1.0
BART,seneca,1.0
onmt_pg,seneca,1.0
__REFERENCE__,abssentrw,0.8840428
BART,__REFERENCE__,0.001236908
__REFERENCE__,onmt_pg,0.1241138
__REFERENCE__,seneca,0.1243605
BART,abssentrw,0.0004563345
abssentrw,onmt_pg,0.07610951
abssentrw,seneca,0.3080943
BART,onmt_pg,0.07175448
BART,seneca,8.795237e-06
onmt_pg,seneca,0.002402209
__REFERENCE__,abssentrw,0.5235137
BART,__REFERENCE__,0.0003489882
onmt_pg,__REFERENCE__,0.0006209058
__REFERENCE__,seneca,0.00243854
BART,abssentrw,0.0003252064
onmt_pg,abssentrw,0.0004429813
abssentrw,seneca,0.1129963
BART,onmt_pg,0.8781064
BART,seneca,1.356021e-08
onmt_pg,seneca,2.255294e-08
__REFERENCE__,abssentrw,0.7158949
BART,__REFERENCE__,0.0003850053
onmt_pg,__REFERENCE__,0.002217336
__REFERENCE__,seneca,0.06425277
BART,abssentrw,0.0002040718
onmt_pg,abssentrw,0.004634987
abssentrw,seneca,0.01485362
BART,onmt_pg,0.3520632
BART,seneca,5.828742e-10
onmt_pg,seneca,6.27044e-06
__REFERENCE__,abssentrw,0.6291597
BART,__REFERENCE__,0.0004274896
onmt_pg,__REFERENCE__,0.0424906
__REFERENCE__,seneca,0.07872388
BART,abssentrw,1.84082e-05
onmt_pg,abssentrw,0.002532756
abssentrw,seneca,0.1743641
BART,onmt_pg,0.01459449
BART,seneca,1.2263e-11
onmt_pg,seneca,1.682213e-05
__REFERENCE__,abssentrw,0.9146179
BART,__REFERENCE__,0.0002953644
__REFERENCE__,onmt_pg,0.3015732
__REFERENCE__,seneca,0.004454171
BART,abssentrw,0.001995962
abssentrw,onmt_pg,0.2731989
abssentrw,seneca,0.01079228
BART,onmt_pg,0.02065227
BART,seneca,1.649829e-06
onmt_pg,seneca,0.0003102
__REFERENCE__,abssentrw,1.0
__REFERENCE__,BART,1.0
__REFERENCE__,onmt_pg,1.0
__REFERENCE__,seneca,1.0
abssentrw,BART,1.0
abssentrw,onmt_pg,1.0
abssentrw,seneca,1.0
BART,onmt_pg,1.0
BART,seneca,1.0
onmt_pg,seneca,1.0
__REFERENCE__,abssentrw,0.4187966
__REFERENCE__,BART,0.05465357
__REFERENCE__,onmt_pg,0.2472667
__REFERENCE__,seneca,0.001212158
BART,abssentrw,0.002295729
onmt_pg,abssentrw,0.03424727
abssentrw,seneca,0.007095801
BART,onmt_pg,0.2914152
BART,seneca,7.856527e-08
onmt_pg,seneca,2.205479e-08
__REFERENCE__,abssentrw,0.5788885
BART,__REFERENCE__,6.311057e-06
onmt_pg,__REFERENCE__,0.001136346
__REFERENCE__,seneca,0.0005729687
BART,abssentrw,0.000223466
onmt_pg,abssentrw,0.004714956
abssentrw,seneca,0.09921693
BART,onmt_pg,0.2019861
BART,seneca,1.351841e-13
onmt_pg,seneca,6.357006e-10
__REFERENCE__,abssentrw,0.963911
BART,__REFERENCE__,3.528591e-05
onmt_pg,__REFERENCE__,0.009454945
__REFERENCE__,seneca,0.05647739
BART,abssentrw,0.0001916417
onmt_pg,abssentrw,0.01245541
abssentrw,seneca,0.02455488
BART,onmt_pg,0.1209219
BART,seneca,8.759656e-09
onmt_pg,seneca,2.748846e-06
__REFERENCE__,abssentrw,1.0
__REFERENCE__,BART,1.0
__REFERENCE__,onmt_pg,1.0
__REFERENCE__,seneca,1.0
abssentrw,BART,1.0
abssentrw,onmt_pg,1.0
abssentrw,seneca,1.0
BART,onmt_pg,1.0
BART,seneca,1.0
onmt_pg,seneca,1.0
__REFERENCE__,abssentrw,0.4091526
BART,__REFERENCE__,0.01128631
onmt_pg,__REFERENCE__,0.02411076
__REFERENCE__,seneca,2.653577e-06
BART,abssentrw,2.019939e-05
onmt_pg,abssentrw,0.0002476444
abssentrw,seneca,0.001405478
BART,onmt_pg,0.7018102
BART,seneca,6.681461e-10
onmt_pg,seneca,2.395039e-10
__REFERENCE__,abssentrw,0.5966974
BART,__REFERENCE__,0.001982969
__REFERENCE__,onmt_pg,0.08412446
__REFERENCE__,seneca,0.001001579
BART,abssentrw,0.0004955526
onmt_pg,abssentrw,0.03251274
abssentrw,seneca,0.01259827
BART,onmt_pg,0.2979964
BART,seneca,6.075472e-11
onmt_pg,seneca,1.125778e-06
__REFERENCE__,abssentrw,0.5522089
BART,__REFERENCE__,6.768124e-05
onmt_pg,__REFERENCE__,0.002990812
__REFERENCE__,seneca,0.2859148
BART,abssentrw,5.790838e-06
onmt_pg,abssentrw,0.0009881262
abssentrw,seneca,0.4566923
BART,onmt_pg,0.1870409
BART,seneca,2.004922e-05
onmt_pg,seneca,0.009546255
__REFERENCE__,abssentrw,0.9944142
BART,__REFERENCE__,5.557323e-05
onmt_pg,__REFERENCE__,0.0001416256
__REFERENCE__,seneca,0.01024486
BART,abssentrw,0.0006111472
onmt_pg,abssentrw,0.003477967
abssentrw,seneca,0.03535363
BART,onmt_pg,0.1980816
BART,seneca,2.334647e-11
onmt_pg,seneca,2.201785e-08
__REFERENCE__,abssentrw,0.05769696
BART,__REFERENCE__,0.02320965
onmt_pg,__REFERENCE__,0.04776123
__REFERENCE__,seneca,5.712084e-07
BART,abssentrw,0.0005158175
onmt_pg,abssentrw,0.0001665236
abssentrw,seneca,0.006289311
BART,onmt_pg,0.4782997
BART,seneca,2.070219e-15
onmt_pg,seneca,5.085473e-15
__REFERENCE__,abssentrw,0.1676319
BART,__REFERENCE__,0.002602218
onmt_pg,__REFERENCE__,0.03452312
__REFERENCE__,seneca,8.192716e-05
BART,abssentrw,0.0006879039
onmt_pg,abssentrw,0.007687491
abssentrw,seneca,0.03431586
BART,onmt_pg,0.1671561
BART,seneca,3.029721e-15
onmt_pg,seneca,1.049818e-08
__REFERENCE__,abssentrw,0.1241967
__REFERENCE__,BART,0.09206149
onmt_pg,__REFERENCE__,0.04581802
__REFERENCE__,seneca,0.03132704
BART,abssentrw,0.0007493608
onmt_pg,abssentrw,6.871454e-05
abssentrw,seneca,0.2102906
BART,onmt_pg,0.7946728
BART,seneca,9.721799e-06
onmt_pg,seneca,9.163053e-07
__REFERENCE__,abssentrw,0.8050467
BART,__REFERENCE__,0.00858572
__REFERENCE__,onmt_pg,0.170079
__REFERENCE__,seneca,0.05177392
