,,p_value
__REFERENCE__,abssentrw,0.5224931
BART,__REFERENCE__,3.266493e-06
onmt_pg,__REFERENCE__,0.002006726
__REFERENCE__,seneca,4.423496e-08
BART,abssentrw,1.08629e-06
onmt_pg,abssentrw,0.000160469
abssentrw,seneca,1.922126e-05
BART,onmt_pg,0.09401275
BART,seneca,2.015703e-25
onmt_pg,seneca,1.660228e-15
__REFERENCE__,abssentrw,0.04591835
BART,__REFERENCE__,2.376033e-10
onmt_pg,__REFERENCE__,8.866937e-05
__REFERENCE__,seneca,3.256517e-06
BART,abssentrw,1.516466e-15
onmt_pg,abssentrw,2.136723e-09
abssentrw,seneca,0.006451689
BART,onmt_pg,0.0007189557
BART,seneca,1.3065e-38
onmt_pg,seneca,1.111196e-19
__REFERENCE__,abssentrw,0.1003056
BART,__REFERENCE__,6.85132e-15
onmt_pg,__REFERENCE__,0.0004060068
__REFERENCE__,seneca,1.249133e-05
BART,abssentrw,3.474888e-17
onmt_pg,abssentrw,2.504346e-06
abssentrw,seneca,0.05492176
BART,onmt_pg,2.495948e-05
BART,seneca,2.493389e-34
onmt_pg,seneca,7.6151e-14
__REFERENCE__,abssentrw,0.09635184
BART,__REFERENCE__,3.929322e-08
__REFERENCE__,onmt_pg,0.08014837
__REFERENCE__,seneca,2.114725e-11
BART,abssentrw,4.072241e-11
onmt_pg,abssentrw,0.0005215782
abssentrw,seneca,3.070756e-05
BART,onmt_pg,1.559146e-05
BART,seneca,1.783281e-37
onmt_pg,seneca,3.160968e-15
__REFERENCE__,abssentrw,0.4719883
BART,__REFERENCE__,3.07312e-08
onmt_pg,__REFERENCE__,0.01477227
__REFERENCE__,seneca,3.527609e-06
BART,abssentrw,1.187423e-09
onmt_pg,abssentrw,0.004634413
abssentrw,seneca,0.0003470043
BART,onmt_pg,0.0002536137
BART,seneca,1.407671e-18
onmt_pg,seneca,1.249638e-11
__REFERENCE__,abssentrw,0.7530874
BART,__REFERENCE__,5.027029e-15
onmt_pg,__REFERENCE__,0.0007640287
__REFERENCE__,seneca,6.728517e-06
BART,abssentrw,2.400048e-13
onmt_pg,abssentrw,0.0003318178
