,,p_value
__REFERENCE__,abssentrw,0.07448872
BART,__REFERENCE__,2.552696e-07
onmt_pg,__REFERENCE__,0.01334183
__REFERENCE__,seneca,0.0002742718
BART,abssentrw,3.452692e-10
onmt_pg,abssentrw,3.25279e-05
abssentrw,seneca,0.07615733
BART,onmt_pg,0.005005004
BART,seneca,9.638868e-15
onmt_pg,seneca,1.538731e-10
__REFERENCE__,abssentrw,0.08749469
BART,__REFERENCE__,4.233586e-13
onmt_pg,__REFERENCE__,0.004110896
__REFERENCE__,seneca,1.102673e-06
BART,abssentrw,1.805887e-16
onmt_pg,abssentrw,0.0001478549
abssentrw,seneca,0.002076219
BART,onmt_pg,0.0002435738
BART,seneca,2.211122e-30
onmt_pg,seneca,1.037858e-09
__REFERENCE__,abssentrw,0.0005812991
BART,__REFERENCE__,1.781628e-08
onmt_pg,__REFERENCE__,4.148832e-07
__REFERENCE__,seneca,1.243916e-08
BART,abssentrw,1.900458e-13
onmt_pg,abssentrw,1.287974e-14
abssentrw,seneca,0.03053918
BART,onmt_pg,0.3037941
BART,seneca,1.479175e-29
onmt_pg,seneca,8.459125e-34
__REFERENCE__,abssentrw,0.03386101
BART,__REFERENCE__,2.363116e-06
__REFERENCE__,onmt_pg,0.08664555
__REFERENCE__,seneca,2.239269e-05
BART,abssentrw,4.220692e-11
onmt_pg,abssentrw,0.0003124319
abssentrw,seneca,0.003607416
BART,onmt_pg,0.0001119492
BART,seneca,6.165494e-24
onmt_pg,seneca,2.369283e-12
__REFERENCE__,abssentrw,0.4477791
BART,__REFERENCE__,5.733607e-11
onmt_pg,__REFERENCE__,3.108703e-05
__REFERENCE__,seneca,1.959264e-09
BART,abssentrw,2.040098e-09
onmt_pg,abssentrw,1.3815e-05
abssentrw,seneca,5.090618e-06
BART,onmt_pg,0.004567109
BART,seneca,5.503861e-29
onmt_pg,seneca,8.667542e-21
__REFERENCE__,abssentrw,0.9591003
BART,__REFERENCE__,6.314776e-11
onmt_pg,__REFERENCE__,0.0002227303
__REFERENCE__,seneca,1.393717e-08
BART,abssentrw,3.137376e-09
onmt_pg,abssentrw,0.0009730723
abssentrw,seneca,2.807993e-09
BART,onmt_pg,0.006272163
BART,seneca,1.093519e-30
onmt_pg,seneca,9.56046e-17
__REFERENCE__,abssentrw,0.4678097
BART,__REFERENCE__,2.500594e-09
onmt_pg,__REFERENCE__,0.002696707
__REFERENCE__,seneca,1.143185e-11
BART,abssentrw,1.089131e-09
onmt_pg,abssentrw,0.002377864
abssentrw,seneca,1.28519e-06
BART,onmt_pg,0.0001455704
BART,seneca,6.870502e-25
onmt_pg,seneca,1.028346e-14
__REFERENCE__,abssentrw,0.3668856
BART,__REFERENCE__,8.350416e-15
onmt_pg,__REFERENCE__,3.231046e-06
__REFERENCE__,seneca,0.0004092783
BART,abssentrw,2.364797e-15
onmt_pg,abssentrw,4.652403e-07
abssentrw,seneca,0.01955236
BART,onmt_pg,6.323623e-07
BART,seneca,3.308139e-25
onmt_pg,seneca,5.016337e-14
__REFERENCE__,abssentrw,0.6985301
BART,__REFERENCE__,3.833835e-11
onmt_pg,__REFERENCE__,0.0003637968
__REFERENCE__,seneca,0.0001025
BART,abssentrw,9.534637e-12
onmt_pg,abssentrw,0.0004681392
abssentrw,seneca,0.001714525
BART,onmt_pg,2.815708e-05
BART,seneca,1.988678e-24
onmt_pg,seneca,1.819022e-11
__REFERENCE__,abssentrw,0.1420092
BART,__REFERENCE__,2.845075e-07
onmt_pg,__REFERENCE__,1.335647e-05
__REFERENCE__,seneca,1.424846e-06
BART,abssentrw,1.011241e-10
onmt_pg,abssentrw,3.853214e-08
abssentrw,seneca,0.007352809
BART,onmt_pg,0.02230015
BART,seneca,5.211016e-17
onmt_pg,seneca,1.963661e-17
__REFERENCE__,abssentrw,0.7152893
BART,__REFERENCE__,6.304528e-15
onmt_pg,__REFERENCE__,5.607023e-07
__REFERENCE__,seneca,4.452197e-07
BART,abssentrw,3.217204e-14
onmt_pg,abssentrw,5.716705e-07
abssentrw,seneca,3.391533e-06
BART,onmt_pg,0.0002202371
BART,seneca,2.807353e-29
onmt_pg,seneca,8.381197e-25
__REFERENCE__,abssentrw,0.8989375
BART,__REFERENCE__,4.459194e-11
onmt_pg,__REFERENCE__,0.0003439921
__REFERENCE__,seneca,6.99213e-06
BART,abssentrw,2.212381e-08
onmt_pg,abssentrw,0.0007736526
abssentrw,seneca,9.453061e-05
BART,onmt_pg,0.0009060635
BART,seneca,1.217152e-19
onmt_pg,seneca,9.74264e-15
__REFERENCE__,abssentrw,0.02565861
BART,__REFERENCE__,1.444216e-08
onmt_pg,__REFERENCE__,0.002134713
__REFERENCE__,seneca,7.409388e-08
BART,abssentrw,2.170857e-14
onmt_pg,abssentrw,1.684836e-06
abssentrw,seneca,0.005407696
BART,onmt_pg,0.0001615274
BART,seneca,5.316485e-28
onmt_pg,seneca,7.387499e-16
__REFERENCE__,abssentrw,0.8789005
BART,__REFERENCE__,2.852438e-10
onmt_pg,__REFERENCE__,0.0002164898
__REFERENCE__,seneca,0.0001143361
BART,abssentrw,7.699249e-09
onmt_pg,abssentrw,5.921441e-05
abssentrw,seneca,0.0002998392
BART,onmt_pg,0.00087394
BART,seneca,5.769464e-21
onmt_pg,seneca,1.890059e-13
__REFERENCE__,abssentrw,0.3725699
BART,__REFERENCE__,5.60252e-10
onmt_pg,__REFERENCE__,3.160038e-05
__REFERENCE__,seneca,4.654674e-06
BART,abssentrw,6.291683e-07
onmt_pg,abssentrw,0.0005963456
abssentrw,seneca,1.394653e-06
BART,onmt_pg,0.05280395
BART,seneca,9.60803e-23
onmt_pg,seneca,8.787905e-17
__REFERENCE__,abssentrw,0.1412301
BART,__REFERENCE__,1.044772e-05
__REFERENCE__,onmt_pg,0.08731446
__REFERENCE__,seneca,9.675244e-06
BART,abssentrw,8.501709e-11
onmt_pg,abssentrw,0.0009910371
abssentrw,seneca,0.0004269954
BART,onmt_pg,0.000695341
BART,seneca,1.224126e-16
onmt_pg,seneca,2.652669e-10
__REFERENCE__,abssentrw,0.5419075
BART,__REFERENCE__,9.889439e-08
onmt_pg,__REFERENCE__,0.0007648565
__REFERENCE__,seneca,0.0004128519
BART,abssentrw,1.860791e-07
onmt_pg,abssentrw,0.0001736639
abssentrw,seneca,0.01602676
BART,onmt_pg,0.002621926
BART,seneca,1.972066e-19
onmt_pg,seneca,5.569326e-11
__REFERENCE__,abssentrw,0.9337141
BART,__REFERENCE__,5.287655e-09
onmt_pg,__REFERENCE__,0.0002476263
__REFERENCE__,seneca,0.0009800758
BART,abssentrw,6.094399e-09
onmt_pg,abssentrw,3.4821e-05
abssentrw,seneca,0.005690273
BART,onmt_pg,0.01796326
BART,seneca,5.57967e-14
onmt_pg,seneca,7.237264e-10
__REFERENCE__,abssentrw,0.5216672
BART,__REFERENCE__,1.59001e-08
__REFERENCE__,onmt_pg,0.1005407
__REFERENCE__,seneca,0.0006287928
BART,abssentrw,8.94273e-08
onmt_pg,abssentrw,0.01349518
abssentrw,seneca,0.002814809
BART,onmt_pg,5.76908e-06
BART,seneca,2.816446e-19
onmt_pg,seneca,1.768851e-08
__REFERENCE__,abssentrw,0.7638119
BART,__REFERENCE__,9.497836e-07
onmt_pg,__REFERENCE__,1.665311e-06
__REFERENCE__,seneca,0.0005050489
BART,abssentrw,9.578028e-07
onmt_pg,abssentrw,3.284549e-05
abssentrw,seneca,0.0001285582
BART,onmt_pg,0.1488901
BART,seneca,1.279223e-19
onmt_pg,seneca,1.017545e-14
__REFERENCE__,abssentrw,0.8504744
BART,__REFERENCE__,8.100279e-07
onmt_pg,__REFERENCE__,0.04360199
__REFERENCE__,seneca,7.76212e-09
BART,abssentrw,7.047228e-05
onmt_pg,abssentrw,0.03743237
abssentrw,seneca,2.071137e-06
BART,onmt_pg,0.003492642
BART,seneca,6.978311e-28
onmt_pg,seneca,7.038116e-15
__REFERENCE__,abssentrw,0.392309
BART,__REFERENCE__,2.313462e-07
onmt_pg,__REFERENCE__,0.0001387814
__REFERENCE__,seneca,0.0004283854
BART,abssentrw,6.229437e-11
onmt_pg,abssentrw,2.648646e-06
abssentrw,seneca,0.001572598
BART,onmt_pg,0.03654289
BART,seneca,2.971864e-19
onmt_pg,seneca,5.120515e-16
__REFERENCE__,abssentrw,0.2149034
BART,__REFERENCE__,4.097711e-07
onmt_pg,__REFERENCE__,0.01515782
__REFERENCE__,seneca,5.379759e-07
BART,abssentrw,1.914111e-08
onmt_pg,abssentrw,0.000108954
abssentrw,seneca,3.003738e-05
BART,onmt_pg,0.001909598
BART,seneca,1.120137e-20
onmt_pg,seneca,2.54341e-12
__REFERENCE__,abssentrw,0.3643785
BART,__REFERENCE__,1.710349e-09
onmt_pg,__REFERENCE__,0.000549307
__REFERENCE__,seneca,0.0001538377
BART,abssentrw,2.271484e-08
onmt_pg,abssentrw,3.156221e-05
abssentrw,seneca,0.004992578
BART,onmt_pg,0.05577534
BART,seneca,2.660463e-22
onmt_pg,seneca,3.46679e-13
__REFERENCE__,abssentrw,0.2124831
BART,__REFERENCE__,1.995745e-07
onmt_pg,__REFERENCE__,0.007934086
__REFERENCE__,seneca,1.109462e-08
BART,abssentrw,3.209789e-08
onmt_pg,abssentrw,0.0003389072
abssentrw,seneca,0.0004401408
BART,onmt_pg,0.00307699
BART,seneca,1.530286e-20
onmt_pg,seneca,2.604082e-15
__REFERENCE__,abssentrw,0.8815454
BART,__REFERENCE__,3.743387e-10
onmt_pg,__REFERENCE__,0.0001338054
__REFERENCE__,seneca,8.45212e-05
BART,abssentrw,1.423339e-10
onmt_pg,abssentrw,0.000150743
abssentrw,seneca,0.0002397686
BART,onmt_pg,5.721978e-05
BART,seneca,3.163181e-21
onmt_pg,seneca,9.554527e-14
__REFERENCE__,abssentrw,0.008044614
BART,__REFERENCE__,3.460332e-08
onmt_pg,__REFERENCE__,0.0002472708
__REFERENCE__,seneca,2.866009e-07
BART,abssentrw,4.934728e-11
onmt_pg,abssentrw,4.237672e-09
abssentrw,seneca,0.0103263
BART,onmt_pg,0.2113054
BART,seneca,3.670932e-22
onmt_pg,seneca,2.473355e-19
__REFERENCE__,abssentrw,0.04073977
BART,__REFERENCE__,6.181368e-06
onmt_pg,__REFERENCE__,0.00285269
__REFERENCE__,seneca,3.75945e-05
BART,abssentrw,3.65593e-12
onmt_pg,abssentrw,1.557855e-08
abssentrw,seneca,0.04234109
BART,onmt_pg,0.01972948
BART,seneca,5.095327e-15
onmt_pg,seneca,3.698211e-11
__REFERENCE__,abssentrw,0.527693
BART,__REFERENCE__,1.310311e-12
onmt_pg,__REFERENCE__,0.0009044029
__REFERENCE__,seneca,2.868635e-11
BART,abssentrw,1.514815e-11
onmt_pg,abssentrw,1.62156e-05
abssentrw,seneca,9.471016e-06
BART,onmt_pg,0.0006841601
BART,seneca,1.979583e-31
onmt_pg,seneca,1.92149e-16
__REFERENCE__,abssentrw,0.9110048
BART,__REFERENCE__,5.971636e-12
onmt_pg,__REFERENCE__,0.0007920486
__REFERENCE__,seneca,5.299484e-05
BART,abssentrw,1.029571e-11
onmt_pg,abssentrw,0.0002458025
abssentrw,seneca,0.0002907403
BART,onmt_pg,0.0002957017
BART,seneca,8.379809e-25
onmt_pg,seneca,1.792987e-09
__REFERENCE__,abssentrw,0.5296428
BART,__REFERENCE__,5.522701e-06
__REFERENCE__,onmt_pg,0.144312
__REFERENCE__,seneca,0.000950166
BART,abssentrw,9.646259e-06
onmt_pg,abssentrw,0.0448042
abssentrw,seneca,0.01803105
BART,onmt_pg,0.0006078983
BART,seneca,7.736547e-18
onmt_pg,seneca,1.763965e-06
__REFERENCE__,abssentrw,0.8241361
BART,__REFERENCE__,9.739906e-14
onmt_pg,__REFERENCE__,0.000377924
__REFERENCE__,seneca,3.250944e-06
BART,abssentrw,3.029209e-10
onmt_pg,abssentrw,0.0004096841
abssentrw,seneca,4.208744e-05
BART,onmt_pg,2.009792e-05
BART,seneca,1.480632e-27
onmt_pg,seneca,7.41371e-15
__REFERENCE__,abssentrw,0.1852879
BART,__REFERENCE__,0.0002409554
onmt_pg,__REFERENCE__,0.004272913
__REFERENCE__,seneca,1.745967e-10
BART,abssentrw,8.651277e-06
onmt_pg,abssentrw,0.000190421
abssentrw,seneca,4.505715e-07
BART,onmt_pg,0.1798729
BART,seneca,1.330949e-23
onmt_pg,seneca,5.516166e-18
__REFERENCE__,abssentrw,0.5289574
BART,__REFERENCE__,2.169898e-11
onmt_pg,__REFERENCE__,5.331566e-05
__REFERENCE__,seneca,2.351539e-08
BART,abssentrw,1.061833e-09
onmt_pg,abssentrw,0.0004666565
abssentrw,seneca,4.819226e-05
BART,onmt_pg,0.0004036671
BART,seneca,6.279836e-25
onmt_pg,seneca,3.619109e-20
__REFERENCE__,abssentrw,0.1566289
BART,__REFERENCE__,1.484946e-06
__REFERENCE__,onmt_pg,0.088622
__REFERENCE__,seneca,1.709464e-06
BART,abssentrw,2.687037e-10
onmt_pg,abssentrw,0.003195921
abssentrw,seneca,0.004135903
BART,onmt_pg,0.000115499
BART,seneca,2.27587e-20
onmt_pg,seneca,1.996191e-09
__REFERENCE__,abssentrw,0.6488957
BART,__REFERENCE__,2.642671e-08
onmt_pg,__REFERENCE__,0.0003302853
__REFERENCE__,seneca,6.383338e-05
BART,abssentrw,1.954079e-09
onmt_pg,abssentrw,3.895927e-05
abssentrw,seneca,0.0005905303
BART,onmt_pg,0.006575989
BART,seneca,1.659999e-22
onmt_pg,seneca,1.117558e-13
__REFERENCE__,abssentrw,0.8124452
BART,__REFERENCE__,3.044684e-09
onmt_pg,__REFERENCE__,2.084377e-08
__REFERENCE__,seneca,8.77201e-05
BART,abssentrw,1.134086e-08
onmt_pg,abssentrw,3.062165e-07
abssentrw,seneca,0.0002412614
BART,onmt_pg,0.2201375
BART,seneca,2.386933e-19
onmt_pg,seneca,1.186469e-16
__REFERENCE__,abssentrw,0.6704706
BART,__REFERENCE__,6.630068e-10
onmt_pg,__REFERENCE__,1.636129e-05
__REFERENCE__,seneca,9.090774e-05
BART,abssentrw,9.992136e-12
onmt_pg,abssentrw,4.692626e-07
abssentrw,seneca,0.002203489
BART,onmt_pg,0.004692298
BART,seneca,2.815016e-24
onmt_pg,seneca,2.019346e-16
__REFERENCE__,abssentrw,0.04358882
BART,__REFERENCE__,6.485258e-09
onmt_pg,__REFERENCE__,0.01080269
__REFERENCE__,seneca,1.608431e-07
BART,abssentrw,5.229328e-13
onmt_pg,abssentrw,3.556502e-06
abssentrw,seneca,0.001663353
BART,onmt_pg,0.0003375217
BART,seneca,1.898183e-25
onmt_pg,seneca,5.788375e-16
__REFERENCE__,abssentrw,0.4360959
BART,__REFERENCE__,4.665696e-10
onmt_pg,__REFERENCE__,0.007870185
__REFERENCE__,seneca,0.0001011443
BART,abssentrw,6.31717e-09
abssentrw,onmt_pg,0.08301598
abssentrw,seneca,6.48919e-05
BART,onmt_pg,2.107949e-06
BART,seneca,8.628216e-25
onmt_pg,seneca,5.669864e-10
__REFERENCE__,abssentrw,6.716272e-05
BART,__REFERENCE__,1.028795e-06
__REFERENCE__,onmt_pg,0.0638953
__REFERENCE__,seneca,9.573305e-11
BART,abssentrw,1.159155e-16
onmt_pg,abssentrw,8.482124e-11
abssentrw,seneca,0.0082144
BART,onmt_pg,0.0003210054
BART,seneca,1.357638e-22
onmt_pg,seneca,3.744784e-15
__REFERENCE__,abssentrw,0.3416054
BART,__REFERENCE__,6.540057e-09
onmt_pg,__REFERENCE__,4.612797e-06
__REFERENCE__,seneca,2.043476e-09
BART,abssentrw,9.962574e-12
