,,p_value
__REFERENCE__,abssentrw,0.020858
__REFERENCE__,BART,0.464212
__REFERENCE__,onmt_pg,0.4251069
__REFERENCE__,seneca,0.001403306
BART,abssentrw,0.004081177
onmt_pg,abssentrw,0.0067834
abssentrw,seneca,0.7586105
BART,onmt_pg,0.9764169
BART,seneca,0.01974671
onmt_pg,seneca,0.008555696
__REFERENCE__,abssentrw,0.01078118
__REFERENCE__,BART,0.4016025
__REFERENCE__,onmt_pg,0.2238206
__REFERENCE__,seneca,0.1769006
abssentrw,BART,0.1156951
abssentrw,onmt_pg,0.3199683
abssentrw,seneca,0.6713178
BART,onmt_pg,0.1657212
BART,seneca,0.1194186
onmt_pg,seneca,0.6450193
__REFERENCE__,abssentrw,0.07418446
__REFERENCE__,BART,0.8259374
__REFERENCE__,onmt_pg,0.7140981
__REFERENCE__,seneca,0.1430613
abssentrw,BART,0.06809117
abssentrw,onmt_pg,0.2231925
abssentrw,seneca,0.7456827
BART,onmt_pg,0.8937527
BART,seneca,0.128704
onmt_pg,seneca,0.3382248
__REFERENCE__,abssentrw,0.04728563
__REFERENCE__,BART,0.1023286
__REFERENCE__,onmt_pg,0.009360829
__REFERENCE__,seneca,0.009259215
abssentrw,BART,0.5199802
abssentrw,onmt_pg,0.9931686
abssentrw,seneca,0.9290376
BART,onmt_pg,0.6388171
BART,seneca,0.7513115
onmt_pg,seneca,0.9259228
__REFERENCE__,abssentrw,1.0
__REFERENCE__,BART,1.0
__REFERENCE__,onmt_pg,1.0
__REFERENCE__,seneca,1.0
abssentrw,BART,1.0
abssentrw,onmt_pg,1.0
abssentrw,seneca,1.0
BART,onmt_pg,1.0
BART,seneca,1.0
onmt_pg,seneca,1.0
__REFERENCE__,abssentrw,1.0
__REFERENCE__,BART,1.0
__REFERENCE__,onmt_pg,1.0
__REFERENCE__,seneca,1.0
abssentrw,BART,1.0
abssentrw,onmt_pg,1.0
abssentrw,seneca,1.0
BART,onmt_pg,1.0
BART,seneca,1.0
onmt_pg,seneca,1.0
__REFERENCE__,abssentrw,0.06068748
__REFERENCE__,BART,0.1614785
__REFERENCE__,onmt_pg,0.7577632
__REFERENCE__,seneca,0.01522139
abssentrw,BART,0.7566464
abssentrw,onmt_pg,0.244335
abssentrw,seneca,0.1504725
onmt_pg,BART,0.04347696
BART,seneca,0.5660854
onmt_pg,seneca,0.1187349
__REFERENCE__,abssentrw,0.6258033
__REFERENCE__,BART,0.460462
__REFERENCE__,onmt_pg,0.3820488
__REFERENCE__,seneca,0.6495805
abssentrw,BART,0.7450539
abssentrw,onmt_pg,0.2220047
abssentrw,seneca,0.4941485
BART,onmt_pg,0.3334073
BART,seneca,0.373659
onmt_pg,seneca,0.7561326
__REFERENCE__,abssentrw,0.03711752
__REFERENCE__,BART,0.6593966
__REFERENCE__,onmt_pg,0.6646716
__REFERENCE__,seneca,0.1534623
abssentrw,BART,0.2827898
onmt_pg,abssentrw,0.02053723
abssentrw,seneca,0.6655077
BART,onmt_pg,0.9681966
BART,seneca,0.367057
onmt_pg,seneca,0.1961827
__REFERENCE__,abssentrw,0.001490771
__REFERENCE__,BART,0.5013543
__REFERENCE__,onmt_pg,0.9922556
__REFERENCE__,seneca,0.6443014
BART,abssentrw,0.02993651
abssentrw,onmt_pg,0.1977034
seneca,abssentrw,0.008811604
BART,onmt_pg,0.5283633
BART,seneca,0.6984528
onmt_pg,seneca,0.7739322
__REFERENCE__,abssentrw,0.6203918
__REFERENCE__,BART,0.2525139
__REFERENCE__,onmt_pg,0.7525711
__REFERENCE__,seneca,0.770855
abssentrw,BART,0.5343731
abssentrw,onmt_pg,0.7507731
abssentrw,seneca,0.9205993
BART,onmt_pg,0.414832
BART,seneca,0.4206991
onmt_pg,seneca,0.934673
__REFERENCE__,abssentrw,0.4054591
__REFERENCE__,BART,0.1812194
__REFERENCE__,onmt_pg,0.3272051
__REFERENCE__,seneca,0.1697962
abssentrw,BART,0.7249669
abssentrw,onmt_pg,0.9312294
abssentrw,seneca,0.4655902
BART,onmt_pg,0.8615371
BART,seneca,0.479973
onmt_pg,seneca,0.5712774
__REFERENCE__,abssentrw,0.02220947
__REFERENCE__,BART,0.1973664
__REFERENCE__,onmt_pg,0.2830591
__REFERENCE__,seneca,0.3274243
abssentrw,BART,0.2188339
abssentrw,onmt_pg,0.133493
abssentrw,seneca,0.1167169
BART,onmt_pg,0.9076237
BART,seneca,0.9738604
onmt_pg,seneca,0.8862184
__REFERENCE__,abssentrw,0.989169
__REFERENCE__,BART,0.881908
__REFERENCE__,onmt_pg,0.217192
__REFERENCE__,seneca,0.2779068
abssentrw,BART,0.9087583
abssentrw,onmt_pg,0.1338867
abssentrw,seneca,0.4373351
BART,onmt_pg,0.1692867
BART,seneca,0.371257
onmt_pg,seneca,0.05634103
__REFERENCE__,abssentrw,0.05541067
__REFERENCE__,BART,0.5631947
__REFERENCE__,onmt_pg,0.3758812
__REFERENCE__,seneca,0.1401019
BART,abssentrw,0.01552643
onmt_pg,abssentrw,0.0137192
abssentrw,seneca,0.08686535
BART,onmt_pg,0.6279006
BART,seneca,0.129942
onmt_pg,seneca,0.1540478
__REFERENCE__,abssentrw,0.2588314
__REFERENCE__,BART,0.09780325
__REFERENCE__,onmt_pg,0.4537706
__REFERENCE__,seneca,0.2567587
abssentrw,BART,0.7929252
abssentrw,onmt_pg,0.6734267
abssentrw,seneca,0.771865
BART,onmt_pg,0.4053043
BART,seneca,0.4992646
onmt_pg,seneca,0.8315219
__REFERENCE__,abssentrw,0.5360618
__REFERENCE__,BART,0.8004894
__REFERENCE__,onmt_pg,0.8385001
__REFERENCE__,seneca,0.09117326
abssentrw,BART,0.8444486
abssentrw,onmt_pg,0.4982145
abssentrw,seneca,0.3762633
BART,onmt_pg,0.5968346
BART,seneca,0.3642209
onmt_pg,seneca,0.09164707
__REFERENCE__,abssentrw,0.3978128
__REFERENCE__,BART,0.8737639
__REFERENCE__,onmt_pg,0.3865542
__REFERENCE__,seneca,0.1223003
abssentrw,BART,0.4596239
abssentrw,onmt_pg,0.8381155
abssentrw,seneca,0.5125742
BART,onmt_pg,0.4737306
BART,seneca,0.211728
onmt_pg,seneca,0.1731911
__REFERENCE__,abssentrw,0.02498041
__REFERENCE__,BART,0.6382262
__REFERENCE__,onmt_pg,0.8365188
__REFERENCE__,seneca,0.3955665
abssentrw,BART,0.07052261
abssentrw,onmt_pg,0.1139117
abssentrw,seneca,0.05560607
BART,onmt_pg,0.7461085
BART,seneca,0.3270632
onmt_pg,seneca,0.4295783
__REFERENCE__,abssentrw,0.4364841
__REFERENCE__,BART,0.4936825
__REFERENCE__,onmt_pg,0.8356569
__REFERENCE__,seneca,0.585741
abssentrw,BART,0.3100749
abssentrw,onmt_pg,0.6955867
abssentrw,seneca,0.8410937
BART,onmt_pg,0.5132373
BART,seneca,0.4049571
onmt_pg,seneca,0.7397227
__REFERENCE__,abssentrw,0.3122639
__REFERENCE__,BART,0.7189895
__REFERENCE__,onmt_pg,0.9797145
__REFERENCE__,seneca,0.1200893
abssentrw,BART,0.4338173
abssentrw,onmt_pg,0.352669
abssentrw,seneca,0.4185992
BART,onmt_pg,0.7130256
BART,seneca,0.1601271
onmt_pg,seneca,0.282529
__REFERENCE__,abssentrw,0.2018649
__REFERENCE__,BART,0.2740958
__REFERENCE__,onmt_pg,0.4105101
__REFERENCE__,seneca,0.005270361
abssentrw,BART,0.9751482
abssentrw,onmt_pg,0.725829
abssentrw,seneca,0.4982355
BART,onmt_pg,0.672401
BART,seneca,0.3763645
onmt_pg,seneca,0.130516
__REFERENCE__,abssentrw,0.2829346
__REFERENCE__,BART,0.5742441
__REFERENCE__,onmt_pg,0.1699865
__REFERENCE__,seneca,0.1451753
abssentrw,BART,0.5089572
abssentrw,onmt_pg,0.8020179
abssentrw,seneca,0.8753791
BART,onmt_pg,0.4053237
BART,seneca,0.2950617
onmt_pg,seneca,0.9232988
__REFERENCE__,abssentrw,0.0004545003
__REFERENCE__,BART,0.2847362
__REFERENCE__,onmt_pg,0.4203598
__REFERENCE__,seneca,0.007464077
BART,abssentrw,0.0005171771
onmt_pg,abssentrw,0.0002069709
seneca,abssentrw,0.04399621
BART,onmt_pg,0.715382
BART,seneca,0.2237194
onmt_pg,seneca,0.09795489
__REFERENCE__,abssentrw,1.0
__REFERENCE__,BART,1.0
__REFERENCE__,onmt_pg,1.0
__REFERENCE__,seneca,1.0
abssentrw,BART,1.0
abssentrw,onmt_pg,1.0
abssentrw,seneca,1.0
BART,onmt_pg,1.0
BART,seneca,1.0
onmt_pg,seneca,1.0
__REFERENCE__,abssentrw,0.1686983
__REFERENCE__,BART,0.6791465
__REFERENCE__,onmt_pg,0.8622926
__REFERENCE__,seneca,0.1402807
abssentrw,BART,0.2641909
abssentrw,onmt_pg,0.4597503
abssentrw,seneca,0.5674034
BART,onmt_pg,0.5658058
BART,seneca,0.1814964
onmt_pg,seneca,0.5204041
__REFERENCE__,abssentrw,1.0
__REFERENCE__,BART,1.0
__REFERENCE__,onmt_pg,1.0
__REFERENCE__,seneca,1.0
abssentrw,BART,1.0
abssentrw,onmt_pg,1.0
abssentrw,seneca,1.0
BART,onmt_pg,1.0
BART,seneca,1.0
onmt_pg,seneca,1.0
__REFERENCE__,abssentrw,0.4244013
__REFERENCE__,BART,0.4806081
__REFERENCE__,onmt_pg,0.8175694
__REFERENCE__,seneca,0.009712367
abssentrw,BART,0.7491712
abssentrw,onmt_pg,0.6423052
abssentrw,seneca,0.4944929
BART,onmt_pg,0.7647661
BART,seneca,0.06319989
onmt_pg,seneca,0.1465353
__REFERENCE__,abssentrw,0.4399536
__REFERENCE__,BART,0.5535544
__REFERENCE__,onmt_pg,0.6516114
__REFERENCE__,seneca,0.6622297
abssentrw,BART,0.683805
abssentrw,onmt_pg,0.6941739
abssentrw,seneca,0.7881555
BART,onmt_pg,0.8903293
BART,seneca,0.9840857
onmt_pg,seneca,0.8871836
__REFERENCE__,abssentrw,1.0
__REFERENCE__,BART,1.0
__REFERENCE__,onmt_pg,1.0
__REFERENCE__,seneca,1.0
abssentrw,BART,1.0
abssentrw,onmt_pg,1.0
abssentrw,seneca,1.0
BART,onmt_pg,1.0
BART,seneca,1.0
onmt_pg,seneca,1.0
__REFERENCE__,abssentrw,0.01377209
__REFERENCE__,BART,0.9185925
__REFERENCE__,onmt_pg,0.4297622
__REFERENCE__,seneca,0.9373314
BART,abssentrw,0.003593724
abssentrw,onmt_pg,0.07242426
seneca,abssentrw,0.04444574
BART,onmt_pg,0.4443173
BART,seneca,0.994569
onmt_pg,seneca,0.585301
__REFERENCE__,abssentrw,0.2220941
__REFERENCE__,BART,0.2489218
__REFERENCE__,onmt_pg,0.1294387
__REFERENCE__,seneca,0.5425853
abssentrw,BART,0.6928397
abssentrw,onmt_pg,0.8548354
abssentrw,seneca,0.553831
BART,onmt_pg,0.7437582
BART,seneca,0.7917534
onmt_pg,seneca,0.5269305
__REFERENCE__,abssentrw,0.08291189
__REFERENCE__,BART,0.8397389
__REFERENCE__,onmt_pg,0.9631323
__REFERENCE__,seneca,0.7236587
abssentrw,BART,0.1738785
abssentrw,onmt_pg,0.06561552
abssentrw,seneca,0.1639512
BART,onmt_pg,0.8447017
BART,seneca,0.8842817
onmt_pg,seneca,0.5422766
__REFERENCE__,abssentrw,0.03317364
__REFERENCE__,BART,0.8475111
__REFERENCE__,onmt_pg,0.7175561
__REFERENCE__,seneca,0.07818788
abssentrw,BART,0.07285709
onmt_pg,abssentrw,0.01134326
abssentrw,seneca,0.6353117
BART,onmt_pg,0.8535468
BART,seneca,0.05723225
onmt_pg,seneca,0.1461596
__REFERENCE__,abssentrw,1.0
__REFERENCE__,BART,1.0
__REFERENCE__,onmt_pg,1.0
__REFERENCE__,seneca,1.0
abssentrw,BART,1.0
abssentrw,onmt_pg,1.0
abssentrw,seneca,1.0
BART,onmt_pg,1.0
BART,seneca,1.0
onmt_pg,seneca,1.0
__REFERENCE__,abssentrw,1.0
__REFERENCE__,BART,1.0
__REFERENCE__,onmt_pg,1.0
__REFERENCE__,seneca,1.0
abssentrw,BART,1.0
abssentrw,onmt_pg,1.0
abssentrw,seneca,1.0
BART,onmt_pg,1.0
BART,seneca,1.0
onmt_pg,seneca,1.0
__REFERENCE__,abssentrw,0.02247701
__REFERENCE__,BART,0.9013008
__REFERENCE__,onmt_pg,0.9408935
__REFERENCE__,seneca,0.4285785
BART,abssentrw,0.001304733
onmt_pg,abssentrw,0.0005432251
seneca,abssentrw,0.04819095
BART,onmt_pg,0.777309
BART,seneca,0.3577048
onmt_pg,seneca,0.4876603
__REFERENCE__,abssentrw,0.0009883831
__REFERENCE__,BART,0.9165679
__REFERENCE__,onmt_pg,0.09547644
__REFERENCE__,seneca,0.4750592
BART,abssentrw,0.01825763
onmt_pg,abssentrw,0.02864178
seneca,abssentrw,0.008298932
BART,onmt_pg,0.1553183
BART,seneca,0.518351
onmt_pg,seneca,0.4838029
__REFERENCE__,abssentrw,1.0
__REFERENCE__,BART,1.0
__REFERENCE__,onmt_pg,1.0
__REFERENCE__,seneca,1.0
abssentrw,BART,1.0
abssentrw,onmt_pg,1.0
abssentrw,seneca,1.0
BART,onmt_pg,1.0
BART,seneca,1.0
onmt_pg,seneca,1.0
__REFERENCE__,abssentrw,0.09196032
__REFERENCE__,BART,0.8094768
__REFERENCE__,onmt_pg,0.7146808
__REFERENCE__,seneca,0.773383
BART,abssentrw,0.02301298
abssentrw,onmt_pg,0.08172795
abssentrw,seneca,0.223223
BART,onmt_pg,0.4988953
BART,seneca,0.5524169
onmt_pg,seneca,0.9292989
__REFERENCE__,abssentrw,0.01324504
__REFERENCE__,BART,0.07815205
__REFERENCE__,onmt_pg,0.06657939
__REFERENCE__,seneca,0.04921529
abssentrw,BART,0.06549284
abssentrw,onmt_pg,0.2509303
abssentrw,seneca,0.3105618
BART,onmt_pg,0.7274691
BART,seneca,0.4508632
onmt_pg,seneca,0.7014954
__REFERENCE__,abssentrw,0.1332397
__REFERENCE__,BART,0.6213729
__REFERENCE__,onmt_pg,0.5121255
