,,p_value
__REFERENCE__,abssentrw,5.45288e-06
__REFERENCE__,BART,0.3218745
__REFERENCE__,onmt_pg,0.01356768
__REFERENCE__,seneca,0.003239066
BART,abssentrw,5.139248e-05
onmt_pg,abssentrw,0.0004128453
seneca,abssentrw,0.001290244
BART,onmt_pg,0.05755301
BART,seneca,0.03750433
onmt_pg,seneca,0.9510952
__REFERENCE__,abssentrw,0.02248305
__REFERENCE__,BART,0.02692326
__REFERENCE__,onmt_pg,0.7210582
__REFERENCE__,seneca,0.0001232133
abssentrw,BART,0.5425686
abssentrw,onmt_pg,0.05460419
abssentrw,seneca,0.4249796
BART,onmt_pg,0.1483108
BART,seneca,0.04507642
onmt_pg,seneca,0.002384956
__REFERENCE__,abssentrw,8.010605e-06
__REFERENCE__,BART,0.145154
__REFERENCE__,onmt_pg,0.003401291
__REFERENCE__,seneca,5.899011e-05
BART,abssentrw,0.002240095
abssentrw,onmt_pg,0.07023376
abssentrw,seneca,0.3983706
BART,onmt_pg,0.1170646
BART,seneca,0.01434633
onmt_pg,seneca,0.3717859
__REFERENCE__,abssentrw,5.308357e-08
__REFERENCE__,BART,0.3990189
__REFERENCE__,onmt_pg,0.001181046
__REFERENCE__,seneca,0.008269927
BART,abssentrw,0.0002776338
abssentrw,onmt_pg,0.05035575
abssentrw,seneca,0.1119222
BART,onmt_pg,0.00882013
BART,seneca,0.0261161
onmt_pg,seneca,0.9611609
__REFERENCE__,abssentrw,1.316246e-05
__REFERENCE__,BART,0.1487632
__REFERENCE__,onmt_pg,0.2218575
__REFERENCE__,seneca,8.983777e-06
BART,abssentrw,0.003463674
onmt_pg,abssentrw,0.002989472
abssentrw,seneca,0.3225079
BART,onmt_pg,0.9752291
BART,seneca,0.001099303
onmt_pg,seneca,0.01924152
__REFERENCE__,abssentrw,0.00100818
__REFERENCE__,BART,0.1841
__REFERENCE__,onmt_pg,0.02203393
__REFERENCE__,seneca,0.0003575384
BART,abssentrw,0.01135571
abssentrw,onmt_pg,0.06004727
abssentrw,seneca,0.8307786
BART,onmt_pg,0.1533341
BART,seneca,0.00339365
onmt_pg,seneca,0.07955062
__REFERENCE__,abssentrw,0.01090708
__REFERENCE__,BART,0.09988892
__REFERENCE__,onmt_pg,0.3444729
__REFERENCE__,seneca,0.003394682
abssentrw,BART,0.06058821
onmt_pg,abssentrw,0.02816578
abssentrw,seneca,0.9155799
BART,onmt_pg,0.5619776
BART,seneca,0.01948255
onmt_pg,seneca,0.02461022
__REFERENCE__,abssentrw,0.01286939
__REFERENCE__,BART,0.519141
__REFERENCE__,onmt_pg,0.01522754
__REFERENCE__,seneca,0.02984091
abssentrw,BART,0.05857373
abssentrw,onmt_pg,0.6438105
abssentrw,seneca,0.506095
BART,onmt_pg,0.07305171
BART,seneca,0.06856589
onmt_pg,seneca,0.7304075
__REFERENCE__,abssentrw,0.01550787
__REFERENCE__,BART,0.5791824
__REFERENCE__,onmt_pg,0.5349428
__REFERENCE__,seneca,0.05952168
BART,abssentrw,0.04393234
abssentrw,onmt_pg,0.08842153
abssentrw,seneca,0.5118026
BART,onmt_pg,0.3327812
BART,seneca,0.04382291
onmt_pg,seneca,0.217496
__REFERENCE__,abssentrw,1.0
__REFERENCE__,BART,1.0
__REFERENCE__,onmt_pg,1.0
__REFERENCE__,seneca,1.0
abssentrw,BART,1.0
abssentrw,onmt_pg,1.0
abssentrw,seneca,1.0
BART,onmt_pg,1.0
BART,seneca,1.0
onmt_pg,seneca,1.0
__REFERENCE__,abssentrw,2.989806e-05
__REFERENCE__,BART,0.1548112
__REFERENCE__,onmt_pg,0.01081395
__REFERENCE__,seneca,1.455111e-09
BART,abssentrw,0.001130039
onmt_pg,abssentrw,0.001108872
abssentrw,seneca,0.7514934
BART,onmt_pg,0.2323685
BART,seneca,4.429388e-06
onmt_pg,seneca,1.292466e-05
__REFERENCE__,abssentrw,5.23259e-05
__REFERENCE__,BART,0.9308717
__REFERENCE__,onmt_pg,0.2973317
__REFERENCE__,seneca,0.001548258
BART,abssentrw,3.364776e-06
onmt_pg,abssentrw,2.041555e-05
seneca,abssentrw,0.03232804
BART,onmt_pg,0.2456423
BART,seneca,0.003942686
onmt_pg,seneca,0.0848051
__REFERENCE__,abssentrw,0.00352518
__REFERENCE__,BART,0.3210514
__REFERENCE__,onmt_pg,0.6683252
__REFERENCE__,seneca,0.000432833
abssentrw,BART,0.05458299
onmt_pg,abssentrw,0.01646698
abssentrw,seneca,0.9949152
BART,onmt_pg,0.5120659
BART,seneca,0.003928665
onmt_pg,seneca,0.002191047
__REFERENCE__,abssentrw,0.0254743
__REFERENCE__,BART,0.6769579
__REFERENCE__,onmt_pg,0.008261898
__REFERENCE__,seneca,0.007412582
BART,abssentrw,0.03866278
abssentrw,onmt_pg,0.6758503
abssentrw,seneca,0.9494602
BART,onmt_pg,0.02004199
BART,seneca,0.01811282
onmt_pg,seneca,0.7133149
__REFERENCE__,abssentrw,0.002657057
__REFERENCE__,BART,0.07066789
__REFERENCE__,onmt_pg,0.003637586
__REFERENCE__,seneca,1.837975e-05
BART,abssentrw,0.03038203
abssentrw,onmt_pg,0.3616731
abssentrw,seneca,0.1375482
BART,onmt_pg,0.1974079
BART,seneca,0.0005888504
onmt_pg,seneca,0.02450527
__REFERENCE__,abssentrw,0.0002304441
__REFERENCE__,BART,0.7618755
__REFERENCE__,onmt_pg,0.9153961
__REFERENCE__,seneca,0.1662254
BART,abssentrw,2.401022e-06
onmt_pg,abssentrw,0.0005376317
seneca,abssentrw,0.00891577
BART,onmt_pg,0.8749922
BART,seneca,0.09736996
onmt_pg,seneca,0.2531237
__REFERENCE__,abssentrw,7.617483e-06
__REFERENCE__,BART,0.3555605
__REFERENCE__,onmt_pg,0.02232932
__REFERENCE__,seneca,4.766225e-05
BART,abssentrw,0.0001674018
onmt_pg,abssentrw,0.0002983063
seneca,abssentrw,0.04439028
BART,onmt_pg,0.1841622
BART,seneca,0.001790466
onmt_pg,seneca,0.02203942
__REFERENCE__,abssentrw,0.0007140879
__REFERENCE__,BART,0.4154472
__REFERENCE__,onmt_pg,0.2386034
__REFERENCE__,seneca,1.768958e-06
BART,abssentrw,0.006194698
onmt_pg,abssentrw,0.01138798
abssentrw,seneca,0.6940442
BART,onmt_pg,0.6851562
BART,seneca,6.599019e-05
onmt_pg,seneca,0.002904133
__REFERENCE__,abssentrw,0.0004936908
__REFERENCE__,BART,0.002865679
__REFERENCE__,onmt_pg,0.01989832
__REFERENCE__,seneca,4.443712e-06
abssentrw,BART,0.6666981
abssentrw,onmt_pg,0.1698953
abssentrw,seneca,0.6266936
BART,onmt_pg,0.2505443
BART,seneca,0.2948709
onmt_pg,seneca,0.02995888
__REFERENCE__,abssentrw,1.087594e-06
__REFERENCE__,BART,0.8552537
__REFERENCE__,onmt_pg,0.111182
__REFERENCE__,seneca,0.000411767
BART,abssentrw,4.451003e-05
onmt_pg,abssentrw,0.0007043375
abssentrw,seneca,0.3111517
BART,onmt_pg,0.1018257
BART,seneca,0.0001855028
onmt_pg,seneca,0.004306375
__REFERENCE__,abssentrw,0.0002112678
__REFERENCE__,BART,0.07334279
__REFERENCE__,onmt_pg,0.08634317
__REFERENCE__,seneca,0.001575984
