,,p_value
__REFERENCE__,abssentrw,0.9361864
BART,__REFERENCE__,0.005728262
__REFERENCE__,onmt_pg,0.7257827
__REFERENCE__,seneca,0.0264532
BART,abssentrw,0.004363962
abssentrw,onmt_pg,0.808465
abssentrw,seneca,0.01440923
BART,onmt_pg,0.03677606
BART,seneca,9.66094e-06
onmt_pg,seneca,0.02804687
__REFERENCE__,abssentrw,0.7100278
BART,__REFERENCE__,0.003320113
onmt_pg,__REFERENCE__,0.04718497
__REFERENCE__,seneca,0.2473563
BART,abssentrw,0.001891221
onmt_pg,abssentrw,0.01424236
abssentrw,seneca,0.4671897
BART,onmt_pg,0.4870766
BART,seneca,0.0005771027
onmt_pg,seneca,0.02144295
__REFERENCE__,abssentrw,0.1101418
__REFERENCE__,BART,0.38488
__REFERENCE__,onmt_pg,0.32126
__REFERENCE__,seneca,0.5199624
BART,abssentrw,0.007050412
onmt_pg,abssentrw,0.004298359
abssentrw,seneca,0.4618496
BART,onmt_pg,0.8119545
BART,seneca,0.10724
onmt_pg,seneca,0.05200489
__REFERENCE__,abssentrw,0.3441181
BART,__REFERENCE__,0.004026975
__REFERENCE__,onmt_pg,0.2447408
__REFERENCE__,seneca,0.01106524
BART,abssentrw,4.053787e-05
abssentrw,onmt_pg,0.8348833
abssentrw,seneca,0.129524
BART,onmt_pg,1.660511e-05
BART,seneca,3.984043e-07
onmt_pg,seneca,0.1677833
__REFERENCE__,abssentrw,0.5914342
__REFERENCE__,BART,0.135747
__REFERENCE__,onmt_pg,0.2027166
__REFERENCE__,seneca,0.4949528
abssentrw,BART,0.279938
abssentrw,onmt_pg,0.3835875
abssentrw,seneca,0.3060218
BART,onmt_pg,0.9830591
BART,seneca,0.03258317
onmt_pg,seneca,0.03398671
__REFERENCE__,abssentrw,0.3671265
BART,__REFERENCE__,0.006510701
__REFERENCE__,onmt_pg,0.5028596
__REFERENCE__,seneca,0.8258851
abssentrw,BART,0.05634555
abssentrw,onmt_pg,0.9800109
abssentrw,seneca,0.4044211
BART,onmt_pg,0.1285635
BART,seneca,0.02244616
onmt_pg,seneca,0.374231
__REFERENCE__,abssentrw,0.2115124
BART,__REFERENCE__,0.004653009
__REFERENCE__,onmt_pg,0.7021547
__REFERENCE__,seneca,0.7120307
BART,abssentrw,0.0003142704
onmt_pg,abssentrw,0.01487047
seneca,abssentrw,0.02074642
BART,onmt_pg,0.1007043
BART,seneca,0.08571893
onmt_pg,seneca,0.9625073
__REFERENCE__,abssentrw,0.006449577
__REFERENCE__,BART,0.6953604
__REFERENCE__,onmt_pg,0.1962587
__REFERENCE__,seneca,0.1772708
BART,abssentrw,0.001810367
onmt_pg,abssentrw,2.041687e-05
abssentrw,seneca,0.2677147
BART,onmt_pg,0.3888596
BART,seneca,0.03080123
onmt_pg,seneca,0.003571317
__REFERENCE__,abssentrw,0.2070009
__REFERENCE__,BART,0.572285
__REFERENCE__,onmt_pg,0.8987068
__REFERENCE__,seneca,0.03569884
abssentrw,BART,0.1900188
abssentrw,onmt_pg,0.1417628
abssentrw,seneca,0.02943725
BART,onmt_pg,0.5916822
BART,seneca,0.001217589
onmt_pg,seneca,0.0002217082
__REFERENCE__,abssentrw,0.4809056
__REFERENCE__,BART,0.1028545
__REFERENCE__,onmt_pg,0.6936894
__REFERENCE__,seneca,0.02215679
BART,abssentrw,0.0267946
abssentrw,onmt_pg,0.2782916
abssentrw,seneca,0.06807497
BART,onmt_pg,0.2656485
BART,seneca,3.925698e-05
onmt_pg,seneca,0.02596353
__REFERENCE__,abssentrw,0.5482352
BART,__REFERENCE__,0.007453789
onmt_pg,__REFERENCE__,0.01736318
__REFERENCE__,seneca,0.3462901
BART,abssentrw,0.006802733
abssentrw,onmt_pg,0.05718106
abssentrw,seneca,0.08056114
BART,onmt_pg,0.7632096
BART,seneca,1.63938e-05
onmt_pg,seneca,0.0009059124
__REFERENCE__,abssentrw,0.04820494
__REFERENCE__,BART,0.736302
__REFERENCE__,onmt_pg,0.0738856
__REFERENCE__,seneca,0.01345666
abssentrw,BART,0.08563863
abssentrw,onmt_pg,0.4871413
abssentrw,seneca,0.8281018
BART,onmt_pg,0.02903595
BART,seneca,0.002399377
onmt_pg,seneca,0.3678577
__REFERENCE__,abssentrw,0.5552652
__REFERENCE__,BART,0.1599713
__REFERENCE__,onmt_pg,0.289958
__REFERENCE__,seneca,0.01347071
abssentrw,BART,0.07449151
abssentrw,onmt_pg,0.1541218
abssentrw,seneca,0.05546645
BART,onmt_pg,0.787304
BART,seneca,0.0009218201
onmt_pg,seneca,0.004167768
__REFERENCE__,abssentrw,0.7062488
BART,__REFERENCE__,0.007312036
__REFERENCE__,onmt_pg,0.4587243
__REFERENCE__,seneca,0.1177286
BART,abssentrw,0.002867463
abssentrw,onmt_pg,0.5643047
abssentrw,seneca,0.1171431
BART,onmt_pg,0.01418721
BART,seneca,0.0007488494
onmt_pg,seneca,0.09809259
__REFERENCE__,abssentrw,0.3926111
__REFERENCE__,BART,0.1622695
__REFERENCE__,onmt_pg,0.620127
__REFERENCE__,seneca,0.2631456
abssentrw,BART,0.8707536
abssentrw,onmt_pg,0.7326343
abssentrw,seneca,0.2166313
BART,onmt_pg,0.3440207
BART,seneca,0.004769542
onmt_pg,seneca,0.08747998
__REFERENCE__,abssentrw,0.4919602
__REFERENCE__,BART,0.1309562
__REFERENCE__,onmt_pg,0.2194672
__REFERENCE__,seneca,0.0936716
BART,abssentrw,0.04185602
onmt_pg,abssentrw,0.01221811
abssentrw,seneca,0.1318502
BART,onmt_pg,0.9027977
BART,seneca,0.004659402
onmt_pg,seneca,0.0001492125
__REFERENCE__,abssentrw,0.1486426
__REFERENCE__,BART,0.09352239
onmt_pg,__REFERENCE__,0.04088568
__REFERENCE__,seneca,0.5286768
abssentrw,BART,0.9098606
abssentrw,onmt_pg,0.6445055
abssentrw,seneca,0.1981306
BART,onmt_pg,0.7081126
BART,seneca,0.0774422
onmt_pg,seneca,0.05586591
__REFERENCE__,abssentrw,0.6236677
__REFERENCE__,BART,0.07067197
onmt_pg,__REFERENCE__,0.03720912
__REFERENCE__,seneca,0.05295202
abssentrw,BART,0.1603872
abssentrw,onmt_pg,0.1128584
abssentrw,seneca,0.01676481
BART,onmt_pg,0.7223506
BART,seneca,0.0003693669
onmt_pg,seneca,0.0002707284
__REFERENCE__,abssentrw,0.7996795
__REFERENCE__,BART,0.5136357
__REFERENCE__,onmt_pg,0.1326575
__REFERENCE__,seneca,0.7878823
abssentrw,BART,0.6389534
abssentrw,onmt_pg,0.3796938
abssentrw,seneca,0.7043907
BART,onmt_pg,0.5411322
BART,seneca,0.4819825
onmt_pg,seneca,0.1134417
__REFERENCE__,abssentrw,0.4180335
__REFERENCE__,BART,0.2584566
__REFERENCE__,onmt_pg,0.1090963
__REFERENCE__,seneca,0.06837438
abssentrw,BART,0.1302564
onmt_pg,abssentrw,0.04084216
abssentrw,seneca,0.3403082
BART,onmt_pg,0.7477246
BART,seneca,0.004845105
onmt_pg,seneca,0.0007759137
__REFERENCE__,abssentrw,0.6047414
BART,__REFERENCE__,0.00821614
onmt_pg,__REFERENCE__,0.006733702
__REFERENCE__,seneca,0.8738763
abssentrw,BART,0.1239244
onmt_pg,abssentrw,0.02410454
abssentrw,seneca,0.2698121
BART,onmt_pg,0.6886249
BART,seneca,0.03947656
onmt_pg,seneca,0.004308462
__REFERENCE__,abssentrw,0.9275216
__REFERENCE__,BART,0.07937866
__REFERENCE__,onmt_pg,0.3742968
__REFERENCE__,seneca,0.2886552
abssentrw,BART,0.1488018
abssentrw,onmt_pg,0.421818
abssentrw,seneca,0.4801057
BART,onmt_pg,0.3114128
BART,seneca,0.008200962
onmt_pg,seneca,0.07098537
__REFERENCE__,abssentrw,0.5126329
__REFERENCE__,BART,0.1816067
__REFERENCE__,onmt_pg,0.605173
__REFERENCE__,seneca,0.0006631336
abssentrw,BART,0.06904759
abssentrw,onmt_pg,0.1956482
abssentrw,seneca,0.03760685
BART,onmt_pg,0.4472961
BART,seneca,0.0001162593
onmt_pg,seneca,1.666518e-05
__REFERENCE__,abssentrw,0.4898508
__REFERENCE__,BART,0.3182358
__REFERENCE__,onmt_pg,0.4221108
__REFERENCE__,seneca,0.07047564
abssentrw,BART,0.2485319
abssentrw,onmt_pg,0.1929567
abssentrw,seneca,0.3490876
BART,onmt_pg,0.7431594
BART,seneca,0.02312595
onmt_pg,seneca,0.00864033
__REFERENCE__,abssentrw,0.2928182
__REFERENCE__,BART,0.0761628
__REFERENCE__,onmt_pg,0.3162575
__REFERENCE__,seneca,0.6641158
abssentrw,BART,0.9243263
abssentrw,onmt_pg,0.6889496
abssentrw,seneca,0.315009
BART,onmt_pg,0.4308851
BART,seneca,0.3303219
onmt_pg,seneca,0.7250728
__REFERENCE__,abssentrw,0.5474223
__REFERENCE__,BART,0.3511611
__REFERENCE__,onmt_pg,0.4843023
__REFERENCE__,seneca,0.641696
abssentrw,BART,0.1542607
abssentrw,onmt_pg,0.2005778
abssentrw,seneca,0.925049
BART,onmt_pg,0.6728113
BART,seneca,0.245652
onmt_pg,seneca,0.2514412
__REFERENCE__,abssentrw,0.6832764
BART,__REFERENCE__,0.02357286
__REFERENCE__,onmt_pg,0.5493031
__REFERENCE__,seneca,0.07235291
abssentrw,BART,0.05867182
abssentrw,onmt_pg,0.7193356
abssentrw,seneca,0.03092364
BART,onmt_pg,0.1508682
BART,seneca,0.0002148969
onmt_pg,seneca,0.04021096
__REFERENCE__,abssentrw,0.6720756
__REFERENCE__,BART,0.1689611
__REFERENCE__,onmt_pg,0.06651548
__REFERENCE__,seneca,0.317221
abssentrw,BART,0.3354335
