,,p_value
__REFERENCE__,abssentrw,0.1354432
BART,__REFERENCE__,4.160251e-15
onmt_pg,__REFERENCE__,0.002686442
__REFERENCE__,seneca,3.942111e-11
BART,abssentrw,8.550747e-07
onmt_pg,abssentrw,2.710331e-06
abssentrw,seneca,0.03498015
BART,onmt_pg,0.002626937
BART,seneca,4.482168e-44
onmt_pg,seneca,1.996951e-14
__REFERENCE__,abssentrw,0.01488925
BART,__REFERENCE__,5.174037e-10
onmt_pg,__REFERENCE__,0.001855278
__REFERENCE__,seneca,0.01164321
BART,abssentrw,1.250328e-17
onmt_pg,abssentrw,8.318397e-09
abssentrw,seneca,0.4921316
BART,onmt_pg,0.0001021857
BART,seneca,1.303095e-20
onmt_pg,seneca,2.336075e-06
__REFERENCE__,abssentrw,0.9575362
BART,__REFERENCE__,3.570943e-13
onmt_pg,__REFERENCE__,1.181407e-05
__REFERENCE__,seneca,0.0007836915
BART,abssentrw,7.37491e-12
onmt_pg,abssentrw,5.965349e-05
abssentrw,seneca,0.00016749
BART,onmt_pg,8.205047e-05
BART,seneca,1.175209e-27
onmt_pg,seneca,6.553021e-18
__REFERENCE__,abssentrw,0.2456854
BART,__REFERENCE__,5.043717e-08
onmt_pg,__REFERENCE__,0.0003503166
__REFERENCE__,seneca,0.002656255
BART,abssentrw,4.033052e-06
onmt_pg,abssentrw,0.0003709235
abssentrw,seneca,0.1849474
BART,onmt_pg,0.09778543
BART,seneca,5.980877e-12
onmt_pg,seneca,1.302265e-05
__REFERENCE__,abssentrw,0.03685947
BART,__REFERENCE__,1.158201e-06
onmt_pg,__REFERENCE__,0.003574121
__REFERENCE__,seneca,7.290642e-13
BART,abssentrw,1.477339e-09
onmt_pg,abssentrw,7.983493e-06
abssentrw,seneca,8.965335e-05
BART,onmt_pg,0.029185
BART,seneca,8.815501e-30
onmt_pg,seneca,1.156721e-19
__REFERENCE__,abssentrw,0.5721439
BART,__REFERENCE__,9.781881e-07
onmt_pg,__REFERENCE__,0.02470627
__REFERENCE__,seneca,3.313075e-08
BART,abssentrw,2.370658e-05
onmt_pg,abssentrw,0.009422153
abssentrw,seneca,0.001141765
BART,onmt_pg,0.003280339
BART,seneca,1.390459e-26
onmt_pg,seneca,1.545719e-09
__REFERENCE__,abssentrw,0.9491112
BART,__REFERENCE__,8.948767e-10
onmt_pg,__REFERENCE__,0.0004114623
__REFERENCE__,seneca,0.006784599
BART,abssentrw,3.23065e-09
onmt_pg,abssentrw,0.0001056637
abssentrw,seneca,0.01433659
BART,onmt_pg,0.00185698
BART,seneca,1.579016e-18
onmt_pg,seneca,8.725406e-10
__REFERENCE__,abssentrw,0.06528793
BART,__REFERENCE__,1.669182e-06
onmt_pg,__REFERENCE__,0.006921293
__REFERENCE__,seneca,0.0008075394
BART,abssentrw,9.88786e-06
onmt_pg,abssentrw,3.048493e-05
abssentrw,seneca,0.2708611
BART,onmt_pg,0.01172095
BART,seneca,1.545538e-18
onmt_pg,seneca,1.29521e-06
__REFERENCE__,abssentrw,0.8754877
BART,__REFERENCE__,2.108198e-08
onmt_pg,__REFERENCE__,4.432376e-05
__REFERENCE__,seneca,0.0003493129
BART,abssentrw,0.0002985777
onmt_pg,abssentrw,0.001593001
abssentrw,seneca,0.02816952
BART,onmt_pg,0.09053538
BART,seneca,5.635558e-22
onmt_pg,seneca,3.873605e-07
__REFERENCE__,abssentrw,0.7003587
BART,__REFERENCE__,1.460235e-07
onmt_pg,__REFERENCE__,0.002263681
__REFERENCE__,seneca,0.0004293118
BART,abssentrw,1.853794e-05
onmt_pg,abssentrw,2.639824e-06
abssentrw,seneca,0.02172291
BART,onmt_pg,0.08722121
BART,seneca,3.183082e-23
onmt_pg,seneca,6.00903e-08
__REFERENCE__,abssentrw,0.03149815
BART,__REFERENCE__,4.024468e-09
onmt_pg,__REFERENCE__,0.0009263387
__REFERENCE__,seneca,0.003651868
BART,abssentrw,1.325796e-12
onmt_pg,abssentrw,1.96164e-06
abssentrw,seneca,0.4874631
BART,onmt_pg,0.002152241
BART,seneca,4.524258e-12
onmt_pg,seneca,4.110739e-06
__REFERENCE__,abssentrw,0.09938572
BART,__REFERENCE__,2.508031e-11
onmt_pg,__REFERENCE__,0.03715341
__REFERENCE__,seneca,0.03052828
BART,abssentrw,5.405124e-08
onmt_pg,abssentrw,2.63141e-05
abssentrw,seneca,0.4867408
BART,onmt_pg,7.363276e-05
BART,seneca,8.870632e-10
onmt_pg,seneca,0.002994995
__REFERENCE__,abssentrw,0.6556658
BART,__REFERENCE__,1.584043e-08
onmt_pg,__REFERENCE__,0.02342034
__REFERENCE__,seneca,0.00175002
BART,abssentrw,8.152591e-06
onmt_pg,abssentrw,0.0189541
abssentrw,seneca,0.06308689
BART,onmt_pg,0.0001793286
BART,seneca,4.141906e-13
onmt_pg,seneca,0.0001371881
__REFERENCE__,abssentrw,0.7433015
BART,__REFERENCE__,2.151468e-08
onmt_pg,__REFERENCE__,2.041075e-05
__REFERENCE__,seneca,0.002153543
BART,abssentrw,1.293579e-09
onmt_pg,abssentrw,8.131916e-05
abssentrw,seneca,0.001157332
BART,onmt_pg,0.002480538
BART,seneca,2.197956e-23
onmt_pg,seneca,1.088282e-09
__REFERENCE__,abssentrw,0.4271166
BART,__REFERENCE__,2.150252e-16
onmt_pg,__REFERENCE__,4.915655e-05
__REFERENCE__,seneca,1.20304e-06
BART,abssentrw,1.398749e-06
onmt_pg,abssentrw,0.0009748674
abssentrw,seneca,0.0001543529
BART,onmt_pg,0.000287946
BART,seneca,6.240146e-26
onmt_pg,seneca,4.086961e-11
__REFERENCE__,abssentrw,0.3916866
BART,__REFERENCE__,5.415551e-12
onmt_pg,__REFERENCE__,0.0003356854
__REFERENCE__,seneca,0.01648521
BART,abssentrw,5.912948e-09
onmt_pg,abssentrw,1.091381e-07
abssentrw,seneca,0.3889149
BART,onmt_pg,0.0797276
BART,seneca,2.40553e-16
onmt_pg,seneca,0.0001289299
__REFERENCE__,abssentrw,0.003448136
BART,__REFERENCE__,5.50503e-09
__REFERENCE__,onmt_pg,0.2200561
__REFERENCE__,seneca,0.0002158918
BART,abssentrw,8.075558e-14
onmt_pg,abssentrw,4.985993e-06
abssentrw,seneca,0.2694783
BART,onmt_pg,8.708729e-06
BART,seneca,1.524326e-16
onmt_pg,seneca,7.046642e-05
__REFERENCE__,abssentrw,0.0332564
BART,__REFERENCE__,9.116544e-09
__REFERENCE__,onmt_pg,0.06308586
__REFERENCE__,seneca,9.828557e-06
BART,abssentrw,4.100924e-13
