,,p_value
__REFERENCE__,abssentrw,0.01356566
__REFERENCE__,BART,0.8692537
__REFERENCE__,onmt_pg,0.308964
__REFERENCE__,seneca,0.003964122
abssentrw,BART,0.06635257
abssentrw,onmt_pg,0.07687634
abssentrw,seneca,0.5481919
BART,onmt_pg,0.5424716
BART,seneca,0.008304437
onmt_pg,seneca,0.01803229
__REFERENCE__,abssentrw,0.8798283
__REFERENCE__,BART,0.6438835
__REFERENCE__,onmt_pg,0.9750085
__REFERENCE__,seneca,0.8588495
abssentrw,BART,0.85478
abssentrw,onmt_pg,0.9216205
abssentrw,seneca,0.9691153
BART,onmt_pg,0.6329497
BART,seneca,0.889341
onmt_pg,seneca,0.8991596
__REFERENCE__,abssentrw,0.4076373
__REFERENCE__,BART,0.8343977
__REFERENCE__,onmt_pg,0.9208259
__REFERENCE__,seneca,0.3545713
abssentrw,BART,0.2759471
abssentrw,onmt_pg,0.3504068
abssentrw,seneca,0.8036748
BART,onmt_pg,0.7549112
BART,seneca,0.254311
onmt_pg,seneca,0.3070352
__REFERENCE__,abssentrw,0.6064926
__REFERENCE__,BART,0.7970326
__REFERENCE__,onmt_pg,0.659408
__REFERENCE__,seneca,0.008536645
abssentrw,BART,0.709789
abssentrw,onmt_pg,0.9175679
abssentrw,seneca,0.08501312
BART,onmt_pg,0.7801687
BART,seneca,0.01691008
onmt_pg,seneca,0.06118581
__REFERENCE__,abssentrw,0.01157604
__REFERENCE__,BART,0.7107247
__REFERENCE__,onmt_pg,0.3031217
__REFERENCE__,seneca,0.2930595
BART,abssentrw,0.004486683
abssentrw,onmt_pg,0.0863433
abssentrw,seneca,0.1958572
BART,onmt_pg,0.1691184
BART,seneca,0.1880613
onmt_pg,seneca,0.9384734
__REFERENCE__,abssentrw,0.4203283
__REFERENCE__,BART,0.3240995
__REFERENCE__,onmt_pg,0.3692412
__REFERENCE__,seneca,0.2150327
abssentrw,BART,0.8521838
abssentrw,onmt_pg,0.9895015
abssentrw,seneca,0.1662737
BART,onmt_pg,0.7906985
BART,seneca,0.2956471
onmt_pg,seneca,0.1673815
__REFERENCE__,abssentrw,0.02432877
__REFERENCE__,BART,0.6731231
__REFERENCE__,onmt_pg,0.1963383
__REFERENCE__,seneca,0.7551756
abssentrw,BART,0.1419334
abssentrw,onmt_pg,0.3360581
abssentrw,seneca,0.2329042
BART,onmt_pg,0.2241165
BART,seneca,0.9655259
onmt_pg,seneca,0.345251
__REFERENCE__,abssentrw,0.2093134
__REFERENCE__,BART,0.3675054
__REFERENCE__,onmt_pg,0.1002754
__REFERENCE__,seneca,0.0633257
abssentrw,BART,0.6821307
abssentrw,onmt_pg,0.4186385
abssentrw,seneca,0.6500623
BART,onmt_pg,0.2504207
BART,seneca,0.4239824
onmt_pg,seneca,0.7780155
__REFERENCE__,abssentrw,0.008773871
__REFERENCE__,BART,0.6698985
__REFERENCE__,onmt_pg,0.6400279
__REFERENCE__,seneca,0.3941656
abssentrw,BART,0.1751356
onmt_pg,abssentrw,0.0273625
abssentrw,seneca,0.1605489
BART,onmt_pg,0.9009764
BART,seneca,0.7241864
onmt_pg,seneca,0.6103176
__REFERENCE__,abssentrw,0.120257
__REFERENCE__,BART,0.9688914
__REFERENCE__,onmt_pg,0.3984983
__REFERENCE__,seneca,0.6950919
BART,abssentrw,0.03799049
abssentrw,onmt_pg,0.317892
abssentrw,seneca,0.0937541
BART,onmt_pg,0.3691908
BART,seneca,0.6021737
onmt_pg,seneca,0.6360071
__REFERENCE__,abssentrw,0.299637
__REFERENCE__,BART,0.526093
__REFERENCE__,onmt_pg,0.951595
__REFERENCE__,seneca,0.1869751
abssentrw,BART,0.4718757
abssentrw,onmt_pg,0.1835393
abssentrw,seneca,0.9435675
BART,onmt_pg,0.4801236
BART,seneca,0.4370797
onmt_pg,seneca,0.1679547
__REFERENCE__,abssentrw,0.2880968
__REFERENCE__,BART,0.2783953
__REFERENCE__,onmt_pg,0.2388152
__REFERENCE__,seneca,0.07112413
abssentrw,BART,0.652419
abssentrw,onmt_pg,0.6234889
abssentrw,seneca,0.8398814
BART,onmt_pg,0.9074374
BART,seneca,0.2294997
onmt_pg,seneca,0.4669164
__REFERENCE__,abssentrw,0.3413858
__REFERENCE__,BART,0.4509636
__REFERENCE__,onmt_pg,0.5094015
__REFERENCE__,seneca,0.04798638
abssentrw,BART,0.6089722
abssentrw,onmt_pg,0.5515011
abssentrw,seneca,0.4847588
BART,onmt_pg,0.8483486
BART,seneca,0.2332166
onmt_pg,seneca,0.200651
__REFERENCE__,abssentrw,0.006687475
__REFERENCE__,BART,0.4915143
__REFERENCE__,onmt_pg,0.04943519
__REFERENCE__,seneca,0.5131379
abssentrw,BART,0.09642323
abssentrw,onmt_pg,0.1147036
abssentrw,seneca,0.1001858
BART,onmt_pg,0.2989165
BART,seneca,0.9763119
onmt_pg,seneca,0.2988052
__REFERENCE__,abssentrw,0.01602581
__REFERENCE__,BART,0.7939061
__REFERENCE__,onmt_pg,0.645898
__REFERENCE__,seneca,0.07110115
abssentrw,BART,0.07039744
onmt_pg,abssentrw,0.03918027
abssentrw,seneca,0.6543025
BART,onmt_pg,0.8926298
BART,seneca,0.0962385
onmt_pg,seneca,0.1327228
__REFERENCE__,abssentrw,0.2156424
__REFERENCE__,BART,0.9977518
__REFERENCE__,onmt_pg,0.8361796
__REFERENCE__,seneca,0.2610325
abssentrw,BART,0.3735954
abssentrw,onmt_pg,0.134376
abssentrw,seneca,0.6476131
BART,onmt_pg,0.8721661
BART,seneca,0.3420638
onmt_pg,seneca,0.1796572
__REFERENCE__,abssentrw,0.670558
__REFERENCE__,BART,0.263551
__REFERENCE__,onmt_pg,0.5330796
__REFERENCE__,seneca,0.2143566
abssentrw,BART,0.2375133
abssentrw,onmt_pg,0.6491994
abssentrw,seneca,0.4099517
BART,onmt_pg,0.4088146
BART,seneca,0.9480552
onmt_pg,seneca,0.5814514
__REFERENCE__,abssentrw,0.008093995
__REFERENCE__,BART,0.3546554
__REFERENCE__,onmt_pg,0.4336664
__REFERENCE__,seneca,0.2650572
abssentrw,BART,0.0520235
abssentrw,onmt_pg,0.1664496
abssentrw,seneca,0.2954811
BART,onmt_pg,0.9997102
BART,seneca,0.7868443
onmt_pg,seneca,0.6411653
__REFERENCE__,abssentrw,0.007634763
__REFERENCE__,BART,0.722904
__REFERENCE__,onmt_pg,0.1463688
__REFERENCE__,seneca,0.1554703
BART,abssentrw,0.03748641
abssentrw,onmt_pg,0.357131
abssentrw,seneca,0.9461198
BART,onmt_pg,0.2304207
BART,seneca,0.1551972
onmt_pg,seneca,0.5038318
__REFERENCE__,abssentrw,0.004897791
__REFERENCE__,BART,0.07842191
__REFERENCE__,onmt_pg,0.02665953
__REFERENCE__,seneca,0.009848871
abssentrw,BART,0.06492561
abssentrw,onmt_pg,0.1715218
abssentrw,seneca,0.7818215
BART,onmt_pg,0.5330283
BART,seneca,0.2759133
onmt_pg,seneca,0.550131
__REFERENCE__,abssentrw,0.08717611
__REFERENCE__,BART,0.4705301
__REFERENCE__,onmt_pg,0.5646799
__REFERENCE__,seneca,0.1155199
BART,abssentrw,0.01890136
abssentrw,onmt_pg,0.4642209
abssentrw,seneca,0.8138176
BART,onmt_pg,0.2502516
BART,seneca,0.03493286
onmt_pg,seneca,0.1610506
__REFERENCE__,abssentrw,0.004542744
__REFERENCE__,BART,0.0305477
__REFERENCE__,onmt_pg,0.3089981
__REFERENCE__,seneca,0.0278875
abssentrw,BART,0.4757825
abssentrw,onmt_pg,0.07636934
abssentrw,seneca,0.4493161
BART,onmt_pg,0.4644536
BART,seneca,0.9266322
onmt_pg,seneca,0.2486595
__REFERENCE__,abssentrw,0.4663688
__REFERENCE__,BART,0.2951794
__REFERENCE__,onmt_pg,0.6390878
__REFERENCE__,seneca,0.07353907
abssentrw,BART,0.5166657
abssentrw,onmt_pg,0.7463809
abssentrw,seneca,0.2141884
BART,onmt_pg,0.5367842
BART,seneca,0.2917743
onmt_pg,seneca,0.1834036
__REFERENCE__,abssentrw,0.006679303
__REFERENCE__,BART,0.4312897
__REFERENCE__,onmt_pg,0.658746
__REFERENCE__,seneca,0.01515755
abssentrw,BART,0.1765433
onmt_pg,abssentrw,0.00321174
abssentrw,seneca,0.4384081
BART,onmt_pg,0.7466227
BART,seneca,0.1684729
onmt_pg,seneca,0.1197864
__REFERENCE__,abssentrw,0.0002098501
__REFERENCE__,BART,0.06213535
__REFERENCE__,onmt_pg,0.005854182
__REFERENCE__,seneca,0.0003513814
abssentrw,BART,0.1009874
abssentrw,onmt_pg,0.3427454
abssentrw,seneca,0.8551988
BART,onmt_pg,0.2031728
BART,seneca,0.142666
onmt_pg,seneca,0.4377234
__REFERENCE__,abssentrw,0.151518
__REFERENCE__,BART,0.7114326
__REFERENCE__,onmt_pg,0.1107604
__REFERENCE__,seneca,0.05954604
abssentrw,BART,0.09757263
abssentrw,onmt_pg,0.571859
abssentrw,seneca,0.9938684
BART,onmt_pg,0.06737672
BART,seneca,0.01195057
onmt_pg,seneca,0.5342059
__REFERENCE__,abssentrw,0.0009457646
__REFERENCE__,BART,0.1418844
__REFERENCE__,onmt_pg,0.1735108
__REFERENCE__,seneca,0.2023427
abssentrw,BART,0.2265717
abssentrw,onmt_pg,0.2555188
abssentrw,seneca,0.4155728
BART,onmt_pg,0.9876854
BART,seneca,0.818314
onmt_pg,seneca,0.8028171
__REFERENCE__,abssentrw,0.1684715
__REFERENCE__,BART,0.2854177
__REFERENCE__,onmt_pg,0.5209665
__REFERENCE__,seneca,0.01408821
abssentrw,BART,0.4456549
abssentrw,onmt_pg,0.2696346
abssentrw,seneca,0.9100168
BART,onmt_pg,0.492703
BART,seneca,0.06113304
onmt_pg,seneca,0.01167591
