,,p_value
__REFERENCE__,abssentrw,0.1085133
BART,__REFERENCE__,2.760677e-13
onmt_pg,__REFERENCE__,0.004682542
__REFERENCE__,seneca,3.733471e-09
BART,abssentrw,7.29487e-17
onmt_pg,abssentrw,3.487286e-07
abssentrw,seneca,3.309891e-05
BART,onmt_pg,1.624546e-06
BART,seneca,6.360691e-32
onmt_pg,seneca,4.548688e-22
__REFERENCE__,abssentrw,0.006561792
BART,__REFERENCE__,2.388633e-07
onmt_pg,__REFERENCE__,0.04278602
__REFERENCE__,seneca,4.58906e-08
BART,abssentrw,3.945663e-15
onmt_pg,abssentrw,1.50274e-06
abssentrw,seneca,0.0006062562
BART,onmt_pg,3.003175e-05
BART,seneca,3.376993e-31
onmt_pg,seneca,2.314462e-16
__REFERENCE__,abssentrw,0.4203131
BART,__REFERENCE__,9.777532e-09
onmt_pg,__REFERENCE__,0.001050576
__REFERENCE__,seneca,6.944791e-07
BART,abssentrw,2.175583e-10
onmt_pg,abssentrw,0.0001313549
abssentrw,seneca,0.0002831981
BART,onmt_pg,0.0008500567
BART,seneca,7.792018e-24
onmt_pg,seneca,1.565043e-15
__REFERENCE__,abssentrw,0.2427505
BART,__REFERENCE__,1.560707e-09
onmt_pg,__REFERENCE__,2.949906e-06
__REFERENCE__,seneca,1.162829e-09
BART,abssentrw,4.334726e-11
onmt_pg,abssentrw,2.363473e-07
abssentrw,seneca,2.86863e-06
BART,onmt_pg,0.02390998
BART,seneca,2.92875e-28
onmt_pg,seneca,6.450259e-20
__REFERENCE__,abssentrw,0.4117303
BART,__REFERENCE__,1.661224e-11
onmt_pg,__REFERENCE__,1.184466e-05
__REFERENCE__,seneca,1.163525e-06
BART,abssentrw,2.089312e-13
onmt_pg,abssentrw,2.850219e-08
abssentrw,seneca,6.081918e-05
BART,onmt_pg,0.0001568163
BART,seneca,8.853257e-28
onmt_pg,seneca,5.977778e-20
__REFERENCE__,abssentrw,0.003476282
BART,__REFERENCE__,3.013434e-07
onmt_pg,__REFERENCE__,0.04148197
__REFERENCE__,seneca,2.264569e-09
BART,abssentrw,2.873275e-15
onmt_pg,abssentrw,1.517192e-08
abssentrw,seneca,0.0005889881
BART,onmt_pg,0.0001092297
BART,seneca,2.798456e-24
onmt_pg,seneca,1.535484e-14
__REFERENCE__,abssentrw,0.03845688
BART,__REFERENCE__,7.453508e-08
onmt_pg,__REFERENCE__,0.0002236031
__REFERENCE__,seneca,2.726296e-06
BART,abssentrw,1.885726e-12
onmt_pg,abssentrw,1.246496e-07
abssentrw,seneca,0.004079439
BART,onmt_pg,0.00500671
BART,seneca,8.253924e-21
onmt_pg,seneca,2.138278e-18
__REFERENCE__,abssentrw,0.1638804
BART,__REFERENCE__,2.526545e-12
onmt_pg,__REFERENCE__,0.0001453331
__REFERENCE__,seneca,0.0002501144
BART,abssentrw,8.885025e-17
onmt_pg,abssentrw,2.033315e-06
abssentrw,seneca,0.008302218
BART,onmt_pg,2.029043e-05
BART,seneca,2.662217e-26
onmt_pg,seneca,3.02248e-11
__REFERENCE__,abssentrw,0.1977033
BART,__REFERENCE__,1.205203e-09
onmt_pg,__REFERENCE__,2.317385e-05
__REFERENCE__,seneca,2.424996e-09
BART,abssentrw,2.403702e-14
onmt_pg,abssentrw,7.585332e-09
abssentrw,seneca,3.36249e-06
BART,onmt_pg,0.07884705
BART,seneca,7.375627e-31
onmt_pg,seneca,9.809338e-24
__REFERENCE__,abssentrw,0.150456
BART,__REFERENCE__,2.619582e-15
onmt_pg,__REFERENCE__,7.692066e-05
__REFERENCE__,seneca,1.477232e-10
BART,abssentrw,1.317387e-21
onmt_pg,abssentrw,1.324439e-08
abssentrw,seneca,4.3776e-07
BART,onmt_pg,1.570703e-05
BART,seneca,4.069101e-39
