,,p_value
__REFERENCE__,abssentrw,1.391961e-19
__REFERENCE__,BART,0.2172507
__REFERENCE__,onmt_pg,0.0004469626
__REFERENCE__,seneca,5.123962e-11
BART,abssentrw,6.856337e-14
onmt_pg,abssentrw,2.063118e-10
seneca,abssentrw,8.159175e-05
BART,onmt_pg,0.01040498
BART,seneca,1.16974e-07
onmt_pg,seneca,0.005389265
__REFERENCE__,abssentrw,1.10365e-20
__REFERENCE__,BART,0.004149783
__REFERENCE__,onmt_pg,1.965102e-06
__REFERENCE__,seneca,7.0782e-19
BART,abssentrw,6.727658e-13
onmt_pg,abssentrw,1.148501e-09
seneca,abssentrw,0.004397887
BART,onmt_pg,0.01456536
BART,seneca,3.389156e-09
onmt_pg,seneca,0.000536653
__REFERENCE__,abssentrw,4.066625e-15
__REFERENCE__,BART,0.003826681
__REFERENCE__,onmt_pg,0.0002873971
__REFERENCE__,seneca,2.928773e-10
BART,abssentrw,1.236794e-07
onmt_pg,abssentrw,5.179318e-08
seneca,abssentrw,0.0179886
BART,onmt_pg,0.3941667
BART,seneca,2.927522e-05
onmt_pg,seneca,0.001697985
__REFERENCE__,abssentrw,3.681563e-14
__REFERENCE__,BART,0.02789673
__REFERENCE__,onmt_pg,0.0002871035
__REFERENCE__,seneca,6.62705e-11
BART,abssentrw,3.909953e-10
onmt_pg,abssentrw,1.901391e-08
seneca,abssentrw,0.02026772
BART,onmt_pg,0.0923922
BART,seneca,8.743253e-07
onmt_pg,seneca,0.0003164036
__REFERENCE__,abssentrw,1.718683e-17
__REFERENCE__,BART,0.006037222
__REFERENCE__,onmt_pg,5.215638e-06
__REFERENCE__,seneca,1.433028e-12
BART,abssentrw,2.542431e-09
onmt_pg,abssentrw,2.52679e-08
seneca,abssentrw,0.01110962
BART,onmt_pg,0.04227042
BART,seneca,1.761461e-05
onmt_pg,seneca,0.02528886
__REFERENCE__,abssentrw,1.463647e-20
__REFERENCE__,BART,6.782008e-06
__REFERENCE__,onmt_pg,2.57779e-07
__REFERENCE__,seneca,2.635561e-17
BART,abssentrw,9.192305e-09
onmt_pg,abssentrw,1.676385e-07
abssentrw,seneca,0.2446396
BART,onmt_pg,0.4393213
BART,seneca,3.068646e-07
onmt_pg,seneca,1.665585e-05
