,,p_value
__REFERENCE__,abssentrw,3.148281e-07
__REFERENCE__,BART,0.5423336
__REFERENCE__,onmt_pg,0.04167179
__REFERENCE__,seneca,0.01686553
BART,abssentrw,2.562737e-06
onmt_pg,abssentrw,1.524899e-07
seneca,abssentrw,1.762843e-09
BART,onmt_pg,0.1250384
BART,seneca,0.05251705
onmt_pg,seneca,0.3817805
__REFERENCE__,abssentrw,0.0002164562
__REFERENCE__,BART,0.1634833
__REFERENCE__,onmt_pg,0.1285252
__REFERENCE__,seneca,5.367305e-06
abssentrw,BART,0.2125708
onmt_pg,abssentrw,0.0296815
abssentrw,seneca,0.4097086
BART,onmt_pg,0.4738031
BART,seneca,3.976721e-05
onmt_pg,seneca,7.159501e-10
__REFERENCE__,abssentrw,9.444842e-17
__REFERENCE__,BART,0.01401706
__REFERENCE__,onmt_pg,0.003625835
__REFERENCE__,seneca,3.933842e-06
BART,abssentrw,0.002862474
onmt_pg,abssentrw,0.002312717
abssentrw,seneca,0.6403456
BART,onmt_pg,0.6606148
BART,seneca,3.138577e-05
onmt_pg,seneca,0.002384327
__REFERENCE__,abssentrw,5.110695e-29
__REFERENCE__,BART,0.7040739
__REFERENCE__,onmt_pg,0.06991653
__REFERENCE__,seneca,0.017519
BART,abssentrw,5.133038e-15
onmt_pg,abssentrw,1.529986e-06
abssentrw,seneca,0.2338959
BART,onmt_pg,0.04172699
BART,seneca,0.007996735
onmt_pg,seneca,0.0252184
__REFERENCE__,abssentrw,1.205128e-07
__REFERENCE__,BART,0.04706233
__REFERENCE__,onmt_pg,0.0002494406
__REFERENCE__,seneca,2.198186e-11
BART,abssentrw,2.625479e-05
onmt_pg,abssentrw,0.0005702811
seneca,abssentrw,0.01871964
BART,onmt_pg,0.3548318
BART,seneca,0.001328984
onmt_pg,seneca,0.001168853
__REFERENCE__,abssentrw,1.116066e-09
__REFERENCE__,BART,0.5053562
__REFERENCE__,onmt_pg,0.3146753
__REFERENCE__,seneca,0.02642087
BART,abssentrw,0.0003012564
onmt_pg,abssentrw,0.0001638218
abssentrw,seneca,0.2014799
BART,onmt_pg,0.4679599
BART,seneca,0.0003730708
onmt_pg,seneca,0.0002787001
__REFERENCE__,abssentrw,2.012105e-06
__REFERENCE__,BART,0.329735
__REFERENCE__,onmt_pg,0.2056192
__REFERENCE__,seneca,0.07143364
BART,abssentrw,0.0002572388
onmt_pg,abssentrw,0.01876443
abssentrw,seneca,0.2200457
BART,onmt_pg,0.2955988
BART,seneca,0.04533434
onmt_pg,seneca,0.1237713
__REFERENCE__,abssentrw,9.407663e-06
__REFERENCE__,BART,0.006005066
__REFERENCE__,onmt_pg,0.01100253
__REFERENCE__,seneca,0.0003920764
BART,abssentrw,0.02074252
onmt_pg,abssentrw,0.03547243
abssentrw,seneca,0.1889237
BART,onmt_pg,0.8310718
BART,seneca,0.011222
onmt_pg,seneca,0.008826015
__REFERENCE__,abssentrw,0.0006274567
__REFERENCE__,BART,2.294929e-05
__REFERENCE__,onmt_pg,4.237275e-07
__REFERENCE__,seneca,1.762798e-07
BART,abssentrw,0.03990141
abssentrw,onmt_pg,0.1182082
abssentrw,seneca,0.8737909
BART,onmt_pg,0.3343983
BART,seneca,0.01368681
onmt_pg,seneca,0.02318071
__REFERENCE__,abssentrw,0.0003642913
__REFERENCE__,BART,0.0933327
__REFERENCE__,onmt_pg,0.02407834
__REFERENCE__,seneca,0.008524367
BART,abssentrw,0.03104124
onmt_pg,abssentrw,0.03706569
abssentrw,seneca,0.1253745
BART,onmt_pg,0.2556415
BART,seneca,0.09010566
onmt_pg,seneca,0.1475731
__REFERENCE__,abssentrw,5.559344e-05
__REFERENCE__,BART,0.02775705
__REFERENCE__,onmt_pg,0.001187814
__REFERENCE__,seneca,1.835916e-05
BART,abssentrw,0.009441498
onmt_pg,abssentrw,0.004835466
seneca,abssentrw,0.02966309
BART,onmt_pg,0.09328373
BART,seneca,0.01833035
onmt_pg,seneca,0.09919201
__REFERENCE__,abssentrw,3.441218e-05
__REFERENCE__,BART,0.265577
__REFERENCE__,onmt_pg,0.0159084
__REFERENCE__,seneca,1.617792e-05
BART,abssentrw,9.544425e-07
onmt_pg,abssentrw,1.90058e-08
seneca,abssentrw,0.02361971
BART,onmt_pg,0.01110423
BART,seneca,4.878006e-06
onmt_pg,seneca,0.1830679
__REFERENCE__,abssentrw,0.1700121
__REFERENCE__,BART,0.001585255
__REFERENCE__,onmt_pg,0.01364526
__REFERENCE__,seneca,0.007280175
abssentrw,BART,0.7635152
abssentrw,onmt_pg,0.8130901
abssentrw,seneca,0.5780008
BART,onmt_pg,0.3668624
BART,seneca,0.5307851
onmt_pg,seneca,0.1276569
__REFERENCE__,abssentrw,3.915049e-08
__REFERENCE__,BART,0.07742692
__REFERENCE__,onmt_pg,0.0003110228
__REFERENCE__,seneca,1.466242e-06
BART,abssentrw,2.689474e-07
onmt_pg,abssentrw,2.596686e-06
abssentrw,seneca,0.05378768
BART,onmt_pg,0.03323941
BART,seneca,0.0006507436
onmt_pg,seneca,0.04228564
__REFERENCE__,abssentrw,5.596218e-10
