,,p_value
__REFERENCE__,abssentrw,1.769011e-08
__REFERENCE__,BART,0.09286282
__REFERENCE__,onmt_pg,0.04756769
__REFERENCE__,seneca,0.0001189049
BART,abssentrw,0.0006739397
onmt_pg,abssentrw,0.0001141164
abssentrw,seneca,0.1329332
BART,onmt_pg,0.8273301
BART,seneca,0.004779593
onmt_pg,seneca,0.004511403
__REFERENCE__,abssentrw,1.299436e-12
__REFERENCE__,BART,0.00168215
__REFERENCE__,onmt_pg,0.008412452
__REFERENCE__,seneca,1.046597e-08
BART,abssentrw,2.273965e-07
onmt_pg,abssentrw,4.219049e-09
abssentrw,seneca,0.06939551
BART,onmt_pg,0.6935036
BART,seneca,7.882939e-05
onmt_pg,seneca,1.576451e-05
__REFERENCE__,abssentrw,1.323652e-11
__REFERENCE__,BART,2.656155e-05
__REFERENCE__,onmt_pg,0.0008272353
__REFERENCE__,seneca,7.217175e-08
BART,abssentrw,0.0002105083
onmt_pg,abssentrw,2.47893e-07
seneca,abssentrw,0.01908818
BART,onmt_pg,0.2262254
BART,seneca,0.09751321
onmt_pg,seneca,0.002452504
__REFERENCE__,abssentrw,9.934448e-13
__REFERENCE__,BART,0.0008565603
__REFERENCE__,onmt_pg,1.217651e-05
__REFERENCE__,seneca,1.373873e-12
BART,abssentrw,6.255465e-05
onmt_pg,abssentrw,0.0003776343
abssentrw,seneca,0.2992209
BART,onmt_pg,0.3263692
BART,seneca,0.0009083982
onmt_pg,seneca,0.002420314
__REFERENCE__,abssentrw,1.05365e-08
__REFERENCE__,BART,0.002904136
__REFERENCE__,onmt_pg,0.08885495
__REFERENCE__,seneca,3.318138e-09
BART,abssentrw,0.0005489109
onmt_pg,abssentrw,8.850869e-05
abssentrw,seneca,0.4376795
BART,onmt_pg,0.4408398
BART,seneca,0.0004083511
onmt_pg,seneca,0.0001703197
__REFERENCE__,abssentrw,1.307331e-12
__REFERENCE__,BART,0.0351194
__REFERENCE__,onmt_pg,0.0006600137
__REFERENCE__,seneca,4.382514e-09
BART,abssentrw,7.517691e-07
onmt_pg,abssentrw,4.441766e-06
seneca,abssentrw,0.007876164
BART,onmt_pg,0.1145708
BART,seneca,0.0007921245
onmt_pg,seneca,0.02061226
__REFERENCE__,abssentrw,3.272937e-11
__REFERENCE__,BART,0.0120475
__REFERENCE__,onmt_pg,0.003232105
__REFERENCE__,seneca,6.797277e-14
BART,abssentrw,2.086475e-06
onmt_pg,abssentrw,1.128956e-06
abssentrw,seneca,0.08639473
BART,onmt_pg,0.4776047
BART,seneca,7.659424e-07
onmt_pg,seneca,3.807523e-05
__REFERENCE__,abssentrw,3.893324e-15
__REFERENCE__,BART,0.01490775
__REFERENCE__,onmt_pg,0.006970205
__REFERENCE__,seneca,4.885346e-11
BART,abssentrw,9.109331e-11
onmt_pg,abssentrw,5.947135e-09
abssentrw,seneca,0.07252017
BART,onmt_pg,0.4192943
BART,seneca,1.296555e-08
onmt_pg,seneca,0.0001353554
__REFERENCE__,abssentrw,3.065183e-18
__REFERENCE__,BART,0.03852723
__REFERENCE__,onmt_pg,2.355723e-05
__REFERENCE__,seneca,2.321671e-08
BART,abssentrw,2.389207e-09
onmt_pg,abssentrw,2.07394e-07
seneca,abssentrw,0.002174014
BART,onmt_pg,0.02951885
BART,seneca,0.0003560769
onmt_pg,seneca,0.04305299
__REFERENCE__,abssentrw,1.0
__REFERENCE__,BART,1.0
__REFERENCE__,onmt_pg,1.0
__REFERENCE__,seneca,1.0
abssentrw,BART,1.0
abssentrw,onmt_pg,1.0
abssentrw,seneca,1.0
BART,onmt_pg,1.0
BART,seneca,1.0
onmt_pg,seneca,1.0
__REFERENCE__,abssentrw,8.13781e-19
__REFERENCE__,BART,0.01542561
__REFERENCE__,onmt_pg,0.003795312
__REFERENCE__,seneca,3.738893e-11
BART,abssentrw,6.404287e-07
onmt_pg,abssentrw,5.705303e-08
seneca,abssentrw,0.04250806
BART,onmt_pg,0.7444394
BART,seneca,7.594641e-05
onmt_pg,seneca,0.0002124089
__REFERENCE__,abssentrw,2.397929e-12
__REFERENCE__,BART,0.001672351
__REFERENCE__,onmt_pg,0.001005405
__REFERENCE__,seneca,1.424688e-08
BART,abssentrw,8.322955e-09
onmt_pg,abssentrw,9.432814e-11
seneca,abssentrw,0.001998581
BART,onmt_pg,0.9112675
BART,seneca,0.0002269085
onmt_pg,seneca,0.0005918135
__REFERENCE__,abssentrw,1.500544e-20
__REFERENCE__,BART,0.1191309
__REFERENCE__,onmt_pg,2.351334e-05
__REFERENCE__,seneca,1.372098e-09
BART,abssentrw,1.559571e-15
onmt_pg,abssentrw,2.571505e-11
seneca,abssentrw,2.408713e-08
BART,onmt_pg,0.002410977
BART,seneca,8.814751e-08
onmt_pg,seneca,0.007872946
__REFERENCE__,abssentrw,2.338384e-10
__REFERENCE__,BART,0.2361601
__REFERENCE__,onmt_pg,0.006559616
__REFERENCE__,seneca,0.0004627622
BART,abssentrw,1.062926e-05
onmt_pg,abssentrw,3.429735e-05
seneca,abssentrw,0.001900475
BART,onmt_pg,0.08896753
BART,seneca,0.008188683
onmt_pg,seneca,0.2484006
__REFERENCE__,abssentrw,5.284013e-21
__REFERENCE__,BART,0.02491804
__REFERENCE__,onmt_pg,0.0203946
__REFERENCE__,seneca,1.003755e-09
BART,abssentrw,2.43826e-13
onmt_pg,abssentrw,3.584895e-10
seneca,abssentrw,0.001472394
BART,onmt_pg,0.8783849
BART,seneca,1.809544e-06
onmt_pg,seneca,0.0003367979
__REFERENCE__,abssentrw,3.473565e-13
__REFERENCE__,BART,0.3414082
__REFERENCE__,onmt_pg,0.003393596
__REFERENCE__,seneca,2.419975e-09
BART,abssentrw,2.008489e-09
onmt_pg,abssentrw,1.146232e-07
abssentrw,seneca,0.05255429
BART,onmt_pg,0.03421062
BART,seneca,1.076084e-08
onmt_pg,seneca,3.441076e-05
__REFERENCE__,abssentrw,7.974301e-17
__REFERENCE__,BART,0.0002730902
__REFERENCE__,onmt_pg,4.595142e-05
__REFERENCE__,seneca,2.347955e-12
BART,abssentrw,1.694265e-08
onmt_pg,abssentrw,2.805365e-11
abssentrw,seneca,0.4545312
BART,onmt_pg,0.5158593
BART,seneca,3.324642e-07
onmt_pg,seneca,9.003895e-06
__REFERENCE__,abssentrw,1.0
__REFERENCE__,BART,1.0
__REFERENCE__,onmt_pg,1.0
__REFERENCE__,seneca,1.0
abssentrw,BART,1.0
abssentrw,onmt_pg,1.0
abssentrw,seneca,1.0
BART,onmt_pg,1.0
BART,seneca,1.0
onmt_pg,seneca,1.0
__REFERENCE__,abssentrw,6.957498e-17
__REFERENCE__,BART,0.07123553
__REFERENCE__,onmt_pg,0.005129312
__REFERENCE__,seneca,3.928673e-11
BART,abssentrw,6.720399e-09
onmt_pg,abssentrw,6.690622e-10
seneca,abssentrw,0.02857704
BART,onmt_pg,0.3757432
BART,seneca,2.760183e-06
onmt_pg,seneca,3.069183e-05
